area,tecnologia,defecto,causa,division,proyecto,,
SMD,SX2_2,ADICIONALES,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,BARRIDA,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,CANTO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE DE CABEZA,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE GIRADO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,CONTAMINACION,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,DESPLAZADOS,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,FALTANTES,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,FALTA DE MATERIAL,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,MAL MANEJO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,PANEL ABORTADO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,PANEL ATORADO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,PIN ELEVADO,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,POLARIDAD INVERTIDA,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,SET UP,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,TOMBSTONE,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS,,
SMD,SX2_2,ADICIONALES,METODO,B&S,PEPS,,
SMD,SX2_2,BARRIDA,METODO,B&S,PEPS,,
SMD,SX2_2,CANTO,METODO,B&S,PEPS,,
SMD,SX2_2,COMPONENTE DE CABEZA,METODO,B&S,PEPS,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,METODO,B&S,PEPS,,
SMD,SX2_2,COMPONENTE GIRADO,METODO,B&S,PEPS,,
SMD,SX2_2,CONTAMINACION,METODO,B&S,PEPS,,
SMD,SX2_2,DESPLAZADOS,METODO,B&S,PEPS,,
SMD,SX2_2,FALTANTES,METODO,B&S,PEPS,,
SMD,SX2_2,FALTA DE MATERIAL,METODO,B&S,PEPS,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,METODO,B&S,PEPS,,
SMD,SX2_2,MAL MANEJO,METODO,B&S,PEPS,,
SMD,SX2_2,PANEL ABORTADO,METODO,B&S,PEPS,,
SMD,SX2_2,PANEL ATORADO,METODO,B&S,PEPS,,
SMD,SX2_2,PIN ELEVADO,METODO,B&S,PEPS,,
SMD,SX2_2,POLARIDAD INVERTIDA,METODO,B&S,PEPS,,
SMD,SX2_2,SET UP,METODO,B&S,PEPS,,
SMD,SX2_2,TOMBSTONE,METODO,B&S,PEPS,,
SMD,SX2_2,UNIDAD CAIDA,METODO,B&S,PEPS,,
SMD,SX2_2,ADICIONALES,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,BARRIDA,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,CANTO,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,COMPONENTE DE CABEZA,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,COMPONENTE GIRADO,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,CONTAMINACION,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,DESPLAZADOS,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,FALTANTES,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,FALTA DE MATERIAL,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,MAL MANEJO,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,PANEL ABORTADO,PROVEEDOR,B&S,PEPS,,
SMD,SX2_2,PANEL ATORADO,PROVEEDOR,B&S,PEPS,,
