area,tecnologia,defecto,causa,division,proyecto
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S,ESCL
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S,WEBASTO
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,CBC
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,CORPORATE
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,CUSW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,CUSW UF PASE
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,CUSW UF RFHM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,IGNM CUSW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,LF
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,PASE FOB CUSW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,RFHM CUSW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,RKE FOB CUSW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,SKREEK
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,SPDJB
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG1C DCX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG1C UNIVERSAL
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS 1D CHRYSLER
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS 1D GM K2XX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS 1D MMC
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS1C127 GM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,WIN
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,WK_WD RFHUB
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,DCU
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG DCX
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG1C HYUNDAI
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG1C NISSAN
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIMP-JUAREZ
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIPM LOGIC
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIPM MEDIUM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,BMW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS1C127 BMW
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,BMW FBD 3
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,ACURA ECU
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,ACURA FOB
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,ANTENA
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,FOB SLOT
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,HONDA HL LL SP37
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,HYUNDAI TPMS ECU
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,INMMO
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,RXM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,SMART ECU
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,SMART FOB
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG ECU
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TG1C HONDA
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS TLS
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS1C127 HMC
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TIS1C127 NISSAN
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 2,TXK
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 3,BIDIR FOB HONDA MY14
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 3,FOB HONDA MY14
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 3,PCU HONDA MY14
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,B&S 3,TRX HONDA MY14
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,ACM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,ACM 2.1 MCM2
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,B299
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,CEC
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,ECM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,EMS 2208
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,EMS 2212
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,EMS 2213
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,EMS 2214
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,IDM
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,M3C
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SID903
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SID904
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SID908
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SID910
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SID913
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SIMOS 12.2
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,SIMOS 18.2
SMD,HORNO DE REFLUJO,UNIDAD CAIDA,MAQUINA,PE,V8 V10
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,ABM
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,BCM K2XX
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,EXTERNAL RECEIVER K2XX
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,EZKEY
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,FOB K2XX
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,GLOBAL A
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,GM RKE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,INTERNAL RECEIVER K2XX
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PATS
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PEPS
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PK MY 13 FORD
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PK MY14 LINCOLN
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,BCM
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,BCM SQUARE D
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,CMF1
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,FOB READER
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,KEY FOB
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NIMOCO RECEIVER NISZZDIVRE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN BCM 4TH BUNDLE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN KEY FOB 4TH BUNDLE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN KEY FOB 5TH BUNDLE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN KEY FOB CMF1
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN KEY FOB SQUARE D
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,NISSAN STEPS
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,RF TUNER
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PQ GATEWAY MY13
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PQ25
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PQ25 LP3
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,PQ35 6ta Gen
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,KWANG JIN
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,ESCL
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S,WEBASTO
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,CBC
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,CORPORATE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,CUSW
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,CUSW UF PASE
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,CUSW UF RFHM
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,IGNM CUSW
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,LF
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,PASE FOB CUSW
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,RFHM CUSW
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,RKE FOB CUSW
SMD,ICT,COMPONENTE ARRANCADO,MAQUINA,B&S 2,SKREEK
