area,tecnologia,defecto,causa,division,proyecto,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA QUEBRADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA QUEBRADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA RAYADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA RAYADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA ABIERTA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA ABIERTA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA ABIERTA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA QUEBRADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA QUEBRADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA QUEBRADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA RAYADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA RAYADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA RAYADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCASA RAYADA,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCAZA DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCAZA DAÑADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,CARCAZA DAÑADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL ENSAMBLADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL ENSAMBLADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL ENSAMBLADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL FLUJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL FLUJO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,MAL FLUJO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD DAÑADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD DAÑADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD GOLPEADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,UNIDAD GOLPEADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,HEAD STAKE,MAL ENSAMBLADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,HEAD STAKE,MAL ENSAMBLADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE EQUIVOCADO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
