area,tecnologia,defecto,causa,division,proyecto,,TIS1C127 HMC,TIS1C127 GM
BACKEND/ENSAMBLE FINAL,RF MIX,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PU DAÑADOS POR CHAROLAS,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PU,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PU DERRAMADO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DERRAMADO,METODO,B&S2,TIS1C127 GM,,,
