area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,ATORNILLADO_2 (Conector),B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,MINI OLA,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,FOB SLOT
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,HONDA HL LL SP37
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,LASER WELDING,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,B&S 2,HYUNDAI TPMS ECU
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,IGNM CUSW
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,HOT TEST,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,INMMO
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,LF
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,LF
BACKEND/ENSAMBLE FINAL,DISPENSADO DE PU,B&S 2,LF
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,LF
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,LF
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,LF
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,LF
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,LF
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S 2,LF
BACKEND/ENSAMBLE FINAL,MINI OLA,B&S 2,LF
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,LF
BACKEND/ENSAMBLE FINAL,CURADO,B&S 2,LF
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,PASE FOB CUSW
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,PASE FOB CUSW
