No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
424861	3/7/2014	ZSCR	551	050-3	NA	'054	A2C82541900	NA	A2C82542000	1	3011	054	 	1503	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO	
424862	3/7/2014	ZSCR	551	040-3	NA	'054	A2C89563200	NA	A2C89563400	2	3011	054	 	1403	MRS*Z3 OPEL GMB PCP TOPSIDE MAN. ASSEMBL	NA	HALB	S.Real	304.94	PSAD_OPEL 3i_J.JOSE ORT	NO	
424863	3/7/2014	ZSCR	551	040-1	NA	'054	A2C82540900	NA	A2C82541000	1	3011	054	 	1401	pcb assy OPLA4400 4401XESA	NA	HALB	S.Real	240.57	PSAD_OPEL 4400_J.JOSE O	NO	
424867	3/7/2014	ZSCR	551	040-1	NA	'054	A2C83014200	NA	A2C83014300	1	3011	054	 	1401	pcb assy OPLA3 300 AU/SN	NA	HALB	S.Real	232.82	PSAD_OPEL 4400_J.JOSE O	NO	
424872	3/7/2014	ZSCR	551	034-2	NA	'054	A2C91085700	NA	A2C91085700	1	3011	054	 	1342	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM10+_C.CAROLINA OT	NO	
424873	3/7/2014	ZSCR	551	040-1	NA	'054	5WK44675	NA	A2C53408763	1	3011	054	 	1401	pcb assy FIA326 OCS V15	NA	HALB	S.Real	154.96	PS_FIAT BRAZIL_E.EDWIN	NO	
424875	3/7/2014	ZSCR	551	040-1	NA	'054	5WK44675	NA	A2C53408763	2	3011	054	 	1401	pcb assy FIA326 OCS V15	NA	HALB	S.Real	309.92	PS_FIAT BRAZIL_E.EDWIN	NO	
424877	3/7/2014	ZSCR	551	040-1	NA	'054	A2C32453901	NA	A2C35116100	1	3011	054	 	1401	pcb assy DAGSTAR2 D_2	NA	HALB	S.Real	383.01	PSAD_DAIMLER STAR 2_A.A	NO	
424879	3/7/2014	ZSCR	551	040-2	NA	'054	5WK44551	NA	A2C53287874	1	3011	054	 	1402	pcb assy	NA	HALB	S.Real	54.85	OC_OCS NISSAN_A.ANA TAP	NO	
424883	3/7/2014	ZSCR	551	034-3	NA	'054	5WK44292	NA	A2C53395077	2				1343	pcb assy	NA	HALB	S.Real	133.56	OC_BOSE BMW_A.ANA TAPIA	NO	4975876460
424886	3/7/2014	ZSCR	551	040-1	NA	'054	5WK44285	NA	A2C53367544	1	3011	054	 	1401	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	208.93	PS_VW10 LC_U.ULISES VIL	NO	
424889	3/7/2014	ZSCR	551	040-1	NA	'054	A2C89521000	NA	A2C89521000	1	3011	054	 	1401	MRS*Z/G3IOZ/4/ADXL GMB VIVA PC HAND ASS.	NA	HALB	S.Real	191.55	PSAD_OPEL 3i_J.JOSE ORT	NO	
424896	3/7/2014	ZSCR	551	034-2	NA	'054	A2C84370400	NA	A2C84370500	9				1342	MRS*C3 AML-VH400 PCB TOP MAN. ASSEMBLY	NA	HALB	S.Real	3011.58	PSAD_VOLVO P15_J.JOSE O	NO	4975876299
424898	3/7/2014	ZSCR	551	040-3	NA	'054	A2C84370400	NA	A2C84370500	3	3011	054	 	1403	MRS*C3 AML-VH400 PCB TOP MAN. ASSEMBLY	NA	HALB	S.Real	1003.86	PSAD_VOLVO P15_J.JOSE O	NO	
424901	3/7/2014	ZSCR	551	040-3	NA	'054	A2C83008900	NA	A2C83009000	3	3011	054	 	1403	pcb assy VOLP1X P1007 P15	NA	HALB	S.Real	1543.08	PSAD_VOLVO P15_J.JOSE O	NO	
424902	3/7/2014	ZSCR	551	042-4	NA	'054	A2C83014200	NA	A2C83014300	1	3011	054	 	1424	pcb assy OPLA3 300 AU/SN	NA	HALB	S.Real	232.82	PSAD_OPEL 4400_J.JOSE O	NO	
425138	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44551	NA	8800680101	8	3011	054	 	1342	Double-Tail Adapter 2035	NA	ROH	NA	2076.4	OC_OCS SUZUKI_A.ANA TAP	NO	4975876723
425138	3/8/2014	ZSCR	551	034-2	NA	'054	5WK44078	NA	A2C00016838	2100	3011	054	 	1342	connector pin	NA	ROH	NA	588	OC_OCS SUZUKI_A.ANA TAP	NO	
425140	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82735500	NA	A2C40000025	3	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	20.49	PS_SDM10+_C.CAROLINA OT	NO	
425140	3/8/2014	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C53333520	200	3011	054	 	1342	TYPE LABLE	NA	ROH	NA	76	PS_SDM10+_C.CAROLINA OT	NO	
425140	3/8/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	102	3011	054	 	1342	contact element	NA	ROH	NA	104.04	PS_SDM10+_C.CAROLINA OT	NO	
425140	3/8/2014	ZSCR	551	034-2	NA	'054	A2C82134800	NA	A2C53395713	1	3011	054	 	1342	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO	
