No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
102717	ZSCR	551	030-1	NA	5WS40900	NA	A2C53311295	1	3011	073		1301	multipoint connector 196P H 2SYS 1	NA	ROH	NA	109.37	4955034443
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6576372038	2	3011	073		1402	"INDUCTOR, 4.7UH, 12.7X30.5"	NA	ROH	NA	10.3	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6521017002	1	3011	073		1402	CONECTOR X2 CEC I	NA	ROH	NA	61.38	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6521017001	1	3011	073		1402	CONECTOR X1 CEC I	NA	ROH	NA	61.38	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6521011304	7	3011	073		1402	TUERCA M4	NA	ROH	NA	0.84	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	A2C00040366	2	3011	073		1402	"1,N_CHAN,MOS,POWER,200V,7A,400mOhm,TO-22"	NA	ROH	NA	5.86	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	A2C00065102	8	3011	073		1402	"1RANSISTOR, IRF9640, TO 220"	NA	ROH	NA	37.36	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	A2C00022085	2	3011	073		1402	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	NA	ROH	NA	23.52	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6596672047	1	3011	073		1402	"IC, LMB1029, TO 220"	NA	ROH	NA	0.3	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	A2C00011060	4	3011	073		1402	"60V,30mOhm,TO220-AB/5,GENERAL PURPOSE,HI"	NA	ROH	NA	30.44	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6594602092	1	3011	073		1402	"TRANSISTOR,MJE15031,TO220 AB"	NA	ROH	NA	2.44	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6594312007	3	3011	073		1402	"DIODO, MUR840, TO 220"	NA	ROH	NA	6	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6594392053	1	3011	073		1402	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	1.65	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6594602055	6	3011	073		1402	BIP TRANSISTOR / TIP32C_______	NA	ROH	NA	9.6	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6593352097	2	3011	073		1402	"0R12,1%,TK0,10W,R_TO220,FIX RE"	NA	ROH	NA	18.82	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6593352098	1	3011	073		1402	"0R5,1%,TK0,10W,R_TO220,FIX RES"	NA	ROH	NA	9.41	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6592392085	2	3011	073		1402	"330UF,30%,63V,HOL,AL,ELEC CAP/"	NA	ROH	NA	35.68	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6521010709	7	3011	073		1402	PERNO DE UNION NAVYSTAR	NA	ROH	NA	23.03	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6591602099	2	3011	073		1402	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	8.54	4955034521
102771	ZSCR	551	040-2	NA	5WY7050RU	NA	6521010706	1	3011	073		1402	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	1.02	4955034521
102786	ZSCR	551	050-3	NA	5WY8465	NA	A2C53390573	4	3011	073		1503	laminated PCB FOR MY10 V8/V	NA	ROH	NA	399.04	4955034550
102786	ZSCR	551	050-3	NA	5WY8745	NA	A2C53255998	4	3011	073		1503	multipoint connector 190P H 3SYS DCC	NA	ROH	NA	224.4	4955034567
