No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
198876	30/08/2012	ZSCR	551	040-2	NA	'054	5WK44675	NA	A2C53408763	1				1402	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	NO	4960823485	
198878	30/08/2012	ZSCR	551	040-2	NA	'054	5WK44252	NA	A2C53364457	1				1402	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	NO	4960823465	
198880	30/08/2012	ZSCR	551	040-2	NA	'054	5WK44739	NA	A2C53375496MI2	1				1402	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	NO	4960823538	
198881	30/08/2012	ZSCR	551	040-1	NA	'054	5WK44739	NA	A2C53375496MI2	1				1401	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	NO	4960823543	
198882	30/08/2012	ZSCR	551	040-2	NA	'054	5WK44426	NA	A2C53399620	2				1402	pcb assy	NA	HALB	S.Real	465.28	PS_HONDA HRS5_GERARDO E	NO	4960823603	
198884	30/08/2012	ZSCR	551	040-2	NA	'054	5WK44385	NA	A2C53390474	1				1402	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_GERARDO ECHE	NO	4960823607	
198885	30/08/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C32509000	1				1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	NO	4960823776	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WY78170	NA	A2C00018779	2	3011	054		1342	"56uH,480mA,HOL,COIL/B78148-S3563-J"	NA	ROH	NA	0.7	PS_VW10 LC_GERARDO ECHE	NO	PRODUCT VERSION	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WY73060	NA	A2C00022954	1	3011	054		1342	"22uH,1.25A,HOL,COIL/B82144-F"	NA	ROH	NA	0.89	PS_VW10 LC_GERARDO ECHE	NO	4960823215	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WY70770	NA	A2C00023541	1	3011	054		1342	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	2.85	PS_VW10 LC_GERARDO ECHE	NO	4960823209	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44318	NA	A2C00023738	1	3011	054		1342	"47uF,20%,50V,HOL,AL,ELEC CAP/"	NA	ROH	NA	0.33	PS_VW10 LC_GERARDO ECHE	NO	4960823134	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44214	NA	A2C00026379	1	3011	054		1342	"3.2mF,30%,35V,HOL,AL,ELEC CAP/"	NA	ROH	NA	7.26	PS_VW10 LC_GERARDO ECHE	NO	4960823125	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	A2C53416946	NA	A2C00030441	2	3011	054		1342	"120uF,20%,16V,HOL,AL,ELEC CAP/"	NA	ROH	NA	0.88	PS_VW10 LC_GERARDO ECHE	NO	4960823250	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00034839	5	3011	054		1342	"150uH,540mA,HOL,COIL/Choke"	NA	ROH	NA	1.75	PS_VW10 LC_GERARDO ECHE	NO	4960823165	
198891	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44508	NA	A2C00040428	5	3011	054		1342	"100uH,330mA,HOL,COIL/"	NA	ROH	NA	1.75	PS_VW10 LC_GERARDO ECHE	NO	4960823144	
198954	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C8021770092	1				1095	pcb assy HONHRS6 V20 BOTTOM	NA	HALB	S.Real/AutoBF	55.46	PS_HONDA HRS6_GERARDO E	NO	4960823802	
198963	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070092	1				1095	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	132.15	PS_CHRYSLER MY2013_GERA	NO	4960823794	
198964	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1				1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_GERA	NO	4960823682	
198965	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C53412223	1				1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	NO	4960823722	
198966	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31748900	1				1095	GM Brazil SMT BOTTOM side	NA	HALB	S.Real/AutoBF	81.66	PSAD_GM BRASIL_GERARDO	NO	4960823813	
198994	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53399620A	NA	A2C53399620B	6				1301	circuit board assy	NA	HALB	S.Real/AutoBF	349.8	PS_HONDA HRS5_GERARDO E	NO	4960823448	
198995	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	2				1301	SMD assy W/S 212 WITH PPS/RO side B	NA	HALB	S.Real/AutoBF	244.76	PS_ARAMIS II MCG_GERARD	NO	4960823421	
198997	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
198998	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	2				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	771.82	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199003	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199005	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199006	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199008	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
