No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
165293	08/06/2012	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	3				1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	142.62	S5_TG1C HONDA_MIGUEL QU	NO	4958878585
165294	08/06/2012	ZSCR	551	034-2	NA	S180052012	NA	A2C53311707	23	3011	015		1342	housing	NA	ROH	NA	61.41	S5_TG1C HONDA_MIGUEL QU	NO	4958879119
165295	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	4				1342	module assy TPM	NA	HALB	S.Real/AutoBF	192	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165296	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	48	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165297	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	96	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165298	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	2				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165299	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	1				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	57.92	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165300	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	3				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	173.76	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165301	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	3				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	173.76	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165302	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	3				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	173.76	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165303	08/06/2012	ZSCR	551	040-2	NA	5WY8547	NA	A2C53348715	2				1402	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1_TG1C DCX_JAIME JIMEN	NO	4958878642
165304	08/06/2012	ZSCR	551	034-2	NA	A2C31499100	NA	A2C31499100	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	47.88	S5_TG1C HONDA_MIGUEL QU	NO	4958878467
165305	08/06/2012	ZSCR	551	042-4	NA	5WY8547	NA	A2C53348715	1				1424	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	57.92	S1_TG1C DCX_JAIME JIMEN	NO	4958878665
165306	08/06/2012	ZSCR	551	040-2	NA	5WY8547	NA	A2C53348715	1				1402	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	57.92	S1_TG1C DCX_JAIME JIMEN	NO	4958878642
165307	08/06/2012	ZSCR	551	034-3	NA	A2C32309500	NA	A2C32309500	3				1343	circuit board assy TPM	NA	HALB	S.Real/AutoBF	103.41	S5_TG1C HONDA_MIGUEL QU	NO	4958878615
165309	09/06/2012	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	4				1342	module assy TPM	NA	HALB	S.Real/AutoBF	192	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165310	09/06/2012	ZSCR	551	034-2	NA	A2C53402100	NA	A2C53402100	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	94.3	S1_TG1C HYUNDAI_CARLOS	NO	4958878573
165311	09/06/2012	ZSCR	551	040-2	NA	S180052041	NA	A2C00510300	3	3011	015		1402	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	27.99	S1_TG1C HYUNDAI_CARLOS	NO	4958879211
165312	09/06/2012	ZSCR	551	042-4	NA	A2C30723201	NA	A2C30723201	1				1424	module assy TPM	NA	HALB	S.Real/AutoBF	47.88	S5_TG1C HONDA_MIGUEL QU	NO	4958878679
165313	09/06/2012	ZSCR	551	034-2	NA	A2C30723401	NA	A2C30723401	2				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	97.34	S5_TG1C HONDA_MIGUEL QU	NO	4958878436
165314	09/06/2012	ZSCR	551	034-2	NA	S180052042	NA	A2C30723401	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.67	S5_TG1C HONDA_MIGUEL QU	NO	4958878436
165315	09/06/2012	ZSCR	551	034-2	NA	A2C34828200	NA	A2C34828200	3				1342	circuit board assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	120.51	S1_TG1C UNIVERSAL_JAIME	NO	4958878485
165316	09/06/2012	ZSCR	551	040-3	NA	5WY8547	NA	A2C53348715	2				1403	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1_TG1C DCX_JAIME JIMEN	NO	4958878654
165317	09/06/2012	ZSCR	551	034-2	NA	A2C53395969	NA	S120121001	69	3011	015		1342	Tire Guard grey cap	NA	ROH	NA	55.89	S5_TIS TLS_MIGUEL QUEZA	NO	4958879089
165318	09/06/2012	ZSCR	551	034-2	NA	A2C53395969	NA	S120121001	52	3011	015		1342	Tire Guard grey cap	NA	ROH	NA	42.12	S5_TIS TLS_MIGUEL QUEZA	NO	4958879089
165319	09/06/2012	ZSCR	551	034-2	NA	5WY8742	NA	S222140001	67	3011	015		1342	Tire Guard black CAP	NA	ROH	NA	54.94	S1_TG1C UNIVERSAL_JAIME	NO	4958878953
165320	09/06/2012	ZSCR	551	034-2	NA	5WY8890	NA	A2C53278172	19	3011	015		1342	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	29.83	S5_TIS TLS_MIGUEL QUEZA	NO	4958879036
165320	09/06/2012	ZSCR	551	034-2	NA	5WY8827	NA	A2C80693200	1	3011	015		1342	connection piece	NA	ROH	NA	0.86	S5_TIS TLS_MIGUEL QUEZA	NO	4958878966
165320	09/06/2012	ZSCR	551	034-2	NA	5WY7567	NA	S120121001	3	3011	015		1342	Tire Guard grey cap	NA	ROH	NA	2.43	S5_TIS TLS_MIGUEL QUEZA	NO	4958878932
165321	09/06/2012	ZSCR	551	034-2	NA	5WY8828	NA	A2C53278194	1	3011	015		1342	"sealing ring 10,45x 4,4 S300Pb"	NA	ROH	NA	1.64	S5_TIS TLS_MIGUEL QUEZA	NO	4958878980
165321	09/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53401335	2	3011	015		1342	valve assy	NA	ROH	NA	15.78	S5_TIS TLS_MIGUEL QUEZA	NO	4958878943
