No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	A	B	C	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
665787	23/09/2015	ZSCR	551	040-1	NA	'054	A2C30910808	A2C30910808	NA	A2C32509000	1	3011	054	 	1401	pcb assy VW20 V01	6	HALB	S.Real	140.87	PSAD_VW20_.	NO	4994384430
665790	23/09/2015	ZSCR	551	040-2	NA	'054	A2C91763800	A2C91763800	2800	A2C91763800	1	3011	054	 	1402	ACU GMSDM30 MY14 S15 06 XX 0 0 0 000	17	FERT	NA	214.95	PS_SDM30_.	NO	
665791	23/09/2015	ZSCR	551	040-5	NA	'054	A2C91764100	A2C91764100	2800	A2C91764100	1	3011	054	 	1405	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	10	FERT	NA	335.11	PS_SDM30_.	NO	
665792	23/09/2015	ZSCR	551	040-2	NA	'054	A2C30910808	A2C30910808	3	A2C30910808	1	3011	054	 	1402	ACU VWAE MY12 S15 04 00 0 0 0 000	6	FERT	NA	161.57	PSAD_VW20_.	NO	
665804	23/09/2015	ZSCR	551	040-3	NA	'054	5WK44285	5WK44285	NA	A2C00027016	3	3011	054	 	1403	housing	19	ROH	NA	44.73	PS_VW10 LC_.	NO	4994363474
665804	23/09/2015	ZSCR	551	040-3	NA	'054	5WK44285	5WK44285	NA	A2C00027389	2	3011	054	 	1403	cover	19	ROH	NA	5.66	PS_VW10 LC_.	NO	4994363474
665806	23/09/2015	ZSCR	551	040-4	NA	'054	5WK44508	5WK44508	1	5WK44508	3	3011	054	 	1404	ACU VW10 MY09 M35	59	FERT	NA	743.67	PS_VW10 LC_.	NO	
665809	23/09/2015	MB1A	551	040-5	K96019	'054	NA	#N/A	NA	A2C87246300	2	3011	054	 	1095	"holder assy PTPSS CAPAssy5,7"	NA	ROH	NA	25.78	PS_VW11_.	NO	4994305002
665809	23/09/2015	MB1A	551	040-5	K96019	'054	NA	#N/A	NA	A2C92444800	2	3011	054	 	1095	pin header 100P H 4R PF 1018	NA	ROH	NA	103.52	PS_VW11_.	NO	4994305002
665810	23/09/2015	ZSCR	551	035-1	NA	'054	5WK43025	5WK43025	NA	6593331401	80	3011	054	 	1351	ETIQUETA DE IDENTIFIC. HONDA	1	ROH	NA	21.6	PS_HONDA HRS5_.	NO	
