No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
285987	4/4/2013	ZSCR	551	034-2	NA	'015	A2C34828400	NA	A2C34828600	2	3011	´015	 	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	89.28	S1_TG1C UNIVERSAL_JAIME	NO	4966270590
285991	4/4/2013	ZSCR	551	034-2	NA	'015	A2C34828100	NA	A2C34828100	6	3011	´015	 	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	268.08	S1_TG1C UNIVERSAL_JAIME	NO	4966270534
285994	4/4/2013	ZSCR	551	034-2	NA	'015	A2C84455900	NA	A2C84455900	1	3011	´015	 	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.91	S1_TG1C UNIVERSAL_JAIME	NO	
285996	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53402231	NA	A2C53402230	7	3011	´015	 	1342	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	303.94	S5_TG1C HONDA_MIGUEL QU	NO	4966270882
285998	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73637001	NA	A2C73637001	4	3011	´015	 	1301	SUB-ASS. MECH PARTS CHRY CBC PV	NA	HALB	S.Real/AutoBF	154.24	S1_CBC_PABLO PALMER-CAS	NO	4966270360
285998	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73801403	NA	A2C73801403	1	3011	´015	 	1301	BCU CHR MY13 max SER/TEST/DS/WK	NA	FERT	NA	1016.44	S1_CBC_PABLO PALMER-CAS	NO	
285998	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73801404	NA	A2C73801404	1	3011	´015	 	1301	BCU CHR MY13 max DJ/DD/DP/D2	NA	FERT	NA	1014.3	S1_CBC_PABLO PALMER-CAS	NO	
285998	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73849703	NA	A2C73849703	2	3011	´015	 	1301	pcb top PF BCU CHR high SER/TEST	NA	HALB	S.Real/AutoBF	977.96	S1_CBC_PABLO PALMER-CAS	NO	4966270368
286003	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C31109500	1	3011	´015	 	1342	valve housing assy	NA	ROH	NA	6.28	S1_TG1C NISSAN_JAIME JI	NO	
286003	4/4/2013	ZSCR	551	034-2	NA	'015	A2C37350900	NA	A2C37350900	1	3011	´015	 	1342	housing assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.03	S1_TG1C NISSAN_JAIME JI	NO	4966270611
286003	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C53352996	1	3011	´015	 	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	2.28	S1_TG1C NISSAN_JAIME JI	NO	
