No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6591602081	1	1351	"NPN,DIGITAL,100MA,50V,R<B>=22K"		ROH	NA	0.1	4956269700
124659	ZSCR	551	035-1	0	A2C53350875	NA	6592312049	1	1351	"600V,1.5A,SMB, POWER, DIODES R"		ROH	NA	0.32	4956269663
124659	ZSCR	551	035-1	0	A2C53350875	NA	6592362075	1	1351	"QUARTZES / 455KHZ/0,5%/"		ROH	NA	3.4	4956269663
124659	ZSCR	551	035-1	0	A2C53350875	NA	6594312024	1	1351	DIODES STABILIZED / 16V/400W/		ROH	NA	0.4	4956269663
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6594602046	1	1351	"60V, 0.5A,SOT223 NPN DARL. BIP"		ROH	NA	0.88	4956269700
124659	ZSCR	551	035-1	0	A2C53350875	NA	6596312047	1	1351	"40V,3A,SMC, SCHOTTKY,RECT DIOD"		ROH	NA	0.53	4956269663
124659	ZSCR	551	035-1	0	A2C53350875	NA	6598740701	66	1351	MD RF SHIELD FOR SMD RX SKREE		ROH	NA	98.34	4956269663
124659	ZSCR	551	035-1	0	A2C53350875B	NA	9151010	1	1351	"15K,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.01	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	9151223	1	1351	"8K2,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.01	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	9153001	1	1351	"47K,5%,TK250,250MW,1206,FIX RE"		ROH	NA	0.02	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	9166568	1	1351	"4K99,1%,TK100,125MW,0805,FIX R"		ROH	NA	0.02	4956269700
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000191	27	1351	"6.2V,350mW,SOT23,ZENER/BZX84-C6V2/T1"		ROH	NA	2.7	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000262	116	1351	"Dual 40W,22V,SOT23, common cathode SUP D"		ROH	NA	17.4	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000345	139	1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	9.73	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000376	180	1351	"75V,200mA,1,FAST,MINIMELF_D,RECT DIODE/L"		ROH	NA	10.8	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000429	139	1351	"40V,1A,1,SCHOTTKY,DO214AA,RECT DIODE/MBR"		ROH	NA	55.6	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00000563	13	1351	"1,NPN,NORMAL,500mA,45V,SOT23,BIP/BC817-4"		ROH	NA	1.17	4956269623
124659	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00000797	1	1351	"4,OP AMP,4.5MHz,SO14,OP-COMP/MC33074"		ROH	NA	2.49	4956269700
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00002102	2	1351	"220pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.04	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00002201	29	1351	"10nF,10%,50V,X7R,0603,TINNED,CER CAP/++"		ROH	NA	0.58	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00002334	405	1351	"2.7nF,2%,100V,C0G,1206,TINNED,CER CAP/++"		ROH	NA	133.65	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00003685	52	1351	"R LIN,10K,5%,TK200,100mW,0603"		ROH	NA	0.52	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00003692	76	1351	"R LIN,47K,5%,TK200,100mW,0603"		ROH	NA	0.76	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00003752	7	1351	"680R,5%,TK250,63mW,0603,LIN RES/"		ROH	NA	0.07	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00003824	1	1351	"62K,5%,TK250,63mW,0603,LIN RES/"		ROH	NA	0.01	4956269623
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00003848	202	1351	"47R,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	2.02	4956269623
124659	ZSCR	551	035-1	0	A2C53350875B	NA	A2C00004265	1	1351	"0R05,125mW,2A,0805,JUMPER/MCR"		ROH	NA	0.01	4956269700
124659	ZSCR	551	035-1	0	A2C53349876	NA	A2C00004324	7	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.07	4956269623
