No.Item	Fecha	 	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
541723	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541724	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541726	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541728	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541729	29/10/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070092	1				1301	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	111.08	PS_CHRYSLER MY2013_E.ED	NO	4983476592		
541730	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8522140093	NA	A2C82768800	1				1301	pcb 4-lay FR-4 DAG Smart	NA	ROH	NA	19.66	PSAD_DAIMLER SMART_F.FE	NO	4983483201		
541747	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	2				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	163.5	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541748	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541750	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	11				1301	pcb	NA	ROH	NA	251.79	PS_SDM30_.	NO	4983482831		
541751	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	48				1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	451.2	OC_BOSE VW_A.ANA TAPIA-	NO	4983481220		
541756	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770092	1				1301	pcb assy HONHRS6 V20 BOTTOM	NA	HALB	S.Real/AutoBF	51.56	PS_HONDA HRS6_J.JUAN CH	NO	4983476775		
541784	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	12				1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	112.8	OC_BOSE VW_A.ANA TAPIA-	NO	4983481220		
541789	29/10/2014	ZSCR	551	030-1	NA	'054	5WY88020	NA	A2C53412213	1				1301	pcb assy	NA	HALB	S.Real/AutoBF	149.72	PSAD_GM BRASIL_A.ANA TA	NO	4983476649		
541796	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541797	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541798	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541800	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541801	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541802	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541805	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541807	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541808	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541809	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541810	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541811	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541812	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541813	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541814	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C92572700	2				1301	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	774.36	PS_SDM30_.	NO	4983476922		
541815	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541816	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541817	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4983483455		
541818	29/10/2014	ZSCR	551	030-1	NA	'054	A2C91764200	NA	A2C9257240093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	357.36	PS_SDM30_.	NO	4983483427		
541820	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257240093	NA	A2C9257240092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	81.94	PS_SDM30_.	NO	4983476873		
541821	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257240093	NA	A2C9257240092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	81.94	PS_SDM30_.	NO	4983476873		
541823	29/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92711900	30				1095	pcb assy DAGSTAR2 ISC D_25	NA	HALB	S.Real	12313.8	PSAD_DAIMLER STAR2_ISC_	NO			
541824	29/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92711900	25				1095	pcb assy DAGSTAR2 ISC D_25	NA	HALB	S.Real	10261.5	PSAD_DAIMLER STAR2_ISC_	NO			
541826	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541827	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541829	29/10/2014	ZSCR	551	030-1	NA	'054	A2C81543200	NA	A2C53388687	1				1301	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2013_E.EDWIN	NO	4983482184		
541833	29/10/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070092	1				1301	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	111.08	PS_CHRYSLER MY2013_E.ED	NO	4983476592		
541834	29/10/2014	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C3108070092	1				1301	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	111.08	PS_CHRYSLER MY2013_E.ED	NO	4983476592		
541836	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541837	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541838	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541839	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541840	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541841	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541842	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541844	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541845	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4983481200		
541846	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1				1301	circuit board assy	NA	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO	4983481695		
541848	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541849	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541851	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541852	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541853	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541854	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541855	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541856	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541857	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541858	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541860	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541864	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541865	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541866	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541867	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541868	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541869	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541870	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541871	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00023541	1				1301	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	2.4	PS_VW10 LC_U.ULISES VIL	NO	4983481788		
541871	29/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1				1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	4983481788		
541874	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	12				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	981	PS_ARAMIS III_E.EDWIN R	NO	4983476811		
541876	29/10/2014	ZSCR	551	030-1	NA	'054	A2C8522140093	NA	A2C82768800	6				1301	pcb 4-lay FR-4 DAG Smart	NA	ROH	NA	117.96	PSAD_DAIMLER SMART_F.FE	NO	4983483201		
541926	29/10/2014	ZSCR	551	040-1	NA	'054	5WY88050	NA	A2C53417787	1				1401	pcb assy	NA	HALB	S.Real/AutoBF	148.49	PSAD_GM BRASIL_A.ANA TA	NO	4983477195		
541932	29/10/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C40000025	2				1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	13.66	PS_SDM30_.	NO	4983483455		
541932	29/10/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53338471	2				1342	contact element	NA	ROH	NA	2.04	PS_SDM30_.	NO	4983483455		
541932	29/10/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	2				1342	housing WIC P BK A-D	NA	ROH	NA	72.94	PS_SDM30_.	NO	4983483455		
541939	29/10/2014	ZSCR	551	034-8	NA	'054	A2C8483530092	NA	A2C53367683	12				1348	pcb VW ZZDIV AC VW10G RdW 1	NA	ROH	NA	219.12	PS_VW10 LC_U.ULISES VIL	NO	4983484181		
541956	29/10/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C40000025	6				1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	40.98	PS_SDM10+_.	NO	4983483455		
541989	29/10/2014	ZSCR	551	034-9	NA	'054	A2C8021770003	NA	A2C8021770003	1				1349	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	4983485289		
541990	29/10/2014	ZSCR	551	034-2	NA	'054	5WK44508	1	5WK44508	1				1342	ACU VW10 MY09 M35	NA	FERT	NA	235.03	PS_VW10 LC_U.ULISES VIL	NO	4983476204		
541995	29/10/2014	ZSCR	551	034-2	NA	'054	A2C91764400	2800	A2C91764400	1				1342	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO	4983476449		
541998	29/10/2014	ZSCR	551	034-2	NA	'054	A2C86852400	87AB	A2C86852400	1				1342	ACU HMCUD MY13 S10 12 XX 0 0 0 000	NA	FERT	NA	228.84	PS_HYUNDAI_.	NO	4983476242		
542008	29/10/2014	ZSCR	551	034-2	NA	'054	A2C8021770003	NA	A2C8021770003	2				1342	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	614.96	PS_HONDA HRS6_J.JUAN CH	NO	4983485289		
542010	29/10/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	1				1403	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4983477352		
