No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143692	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	241.23	S5_FOB ACURA 08_ENRIQUE	4957511155		
143693	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	80.41	S5_FOB ACURA 08_ENRIQUE	4957511155		
143694	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	80.41	S5_FOB ACURA 08_ENRIQUE	4957511155		
143695	ZSCR	551	034-2	NA	5WK49521	NA	A2C53295352B	1342	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	241.23	S5_FOB ACURA 08_ENRIQUE	4957511333		
143696	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	80.41	S5_FOB ACURA 08_ENRIQUE	4957511155		
143697	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	80.41	S5_FOB ACURA 08_ENRIQUE	4957511155		
143698	ZSCR	551	022-2	NA	5WY9012	NA	A2C32880400	1222	housing assy TPM	NA	HALB	S.Real/AutoBF	197.5	S1_TIS1D_ (APROBACION	4957510406		
143700	ZSCR	551	022-2	NA	5WY9012	NA	A2C32880100	1222	module assy TPM	NA	HALB	S.Real/AutoBF	377.7	S1_TIS1D_ (APROBACION	4957510324		
143712	ZSCR	551	040-3	NA	5WY8842	NA	A2C53428271	1403	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	782.25	S1_TIPM LOGIC_ (APROBA	4957511643		
143713	ZSCR	551	040-3	NA	5WY8842	NA	A2C53428271	1403	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	S1_TIPM LOGIC_ (APROBA	4957511643		
143714	ZSCR	551	034-2	NA	5WY9011M	NA	A2C31231100	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957511238		
