No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
640151	09/07/2015	ZSCR	551	040-1	NA	'015	A2C53328411	NA	A2C53328411	2	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914281
640153	09/07/2015	ZSCR	551	040-1	NA	'015	A2C53328412	NA	A2C53328412	1	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914290
640188	10/07/2015	ZSCR	551	030-1	NA	'050	A2C8673320193	NA	A2C8673320193	5	1301	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916702
640201	10/07/2015	ZSCR	551	034-2	NA	'050	A2C8314420093	NA	A2C8314420093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
640202	10/07/2015	ZSCR	551	034-2	NA	'050	A2C8314440093	NA	A2C8314440093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916295
640339	10/07/2015	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53328411	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
640340	10/07/2015	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53328411	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
640342	10/07/2015	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	1	1301	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914274
640363	10/07/2015	ZSCR	551	034-2	NA	'015	5WY8302	NA	A2C53310663	2	1342	HALB	S.Real	S1_LF_A.ADRIAN CEBALLOS	4991914553
640366	10/07/2015	ZSCR	551	034-2	NA	'015	A2C83144100	NA	A2C8314440093	2	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916295
640378	10/07/2015	ZSCR	551	034-2	NA	'015	A2C9609150093	NA	A2C9609150093	8	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916344
640382	10/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	27	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
640383	10/07/2015	ZSCR	551	050-1	NA	'015	6598177662	NA	6598177662	35	1501	HALB	S.Real	S1_SKREEK_. (APROBACIO	4991914585
