No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
519039	11/09/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
519060	11/09/2014	ZSCR	551	034-2	NA	'054	5WK44252	2	5WK44252	3	3011	054	 	1342	BoSe VW	NA	FERT	NA	312.09	OC_BOSE VW_A.ANA TAPIA-	NO	
519091	11/09/2014	ZSCR	551	042-4	NA	'054	A2C94819900	NA	A2C94819900	5	3011	054	 	1424	ACU HONHRS5 MY15 S10 10 04 0 1 0 000	NA	FERT	NA	1781.05	PS_HONDA HRS6_J.JUAN CH	NO	
519099	11/09/2014	ZSCR	551	050-1	NA	'054	A2C94819900	NA	A2C94819900	1	3011	054	 	1501	ACU HONHRS5 MY15 S10 10 04 0 1 0 000	NA	FERT	NA	356.21	PS_HONDA HRS6_J.JUAN CH	NO	
519109	11/09/2014	ZSCR	551	042-4	NA	'054	A2C90500000	NA	A2C90247200	1	3011	054	 	1424	pcb assy HONHRS6 D_14	NA	HALB	S.Real	173.22	PS_HONDA HRS6_J.JUAN CH	NO	
519330	12/09/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	1	3011	054	 	1342	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	57.79	PSAD_DAIMLER STAR 2_A.A	NO	
519363	12/09/2014	ZSCR	551	030-1	NA	'054	A2C53095265	NA	A2C53094752	2	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	320.1	PS_FORD_.	NO	4981983164
519425	12/09/2014	ZSCR	551	030-1	NA	'054	A2C92704000	NA	A2C9271190093	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC D_25 Top	NA	HALB	S.Real	332.16	PSAD_DAIMLER STAR2_ISC_	NO	
519431	12/09/2014	ZSCR	551	030-1	NA	'054	A2C89730900	NA	A2C8021660093	1	3011	054	 	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
519447	12/09/2014	MB1A	551	010-4	95000069	'054	NA	NA	A2C80644602	2				1104	ACU DAGARM3 MY12 M35 24 XX 0 1 0 000	QN410105455	FERT	NA	922.52	410105455_ARAMIS	NO	
519451	12/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
519454	12/09/2014	ZSCR	551	040-3	NA	'054	A2C80644602	NA	A2C80644602	1	3011	054	 	1403	ACU DAGARM3 MY12 M35 24 XX 0 1 0 000	NA	FERT	NA	461.26	PS_ARAMIS III_E.EDWIN R	NO	
519459	12/09/2014	ZSCR	551	042-4	NA	'054	A2C91085500	NA	A2C91085500	2	3011	054	 	1424	ACU MY11 G40 12 XX 0 1 0 000	NA	FERT	NA	781.8	PS_SDM10+_.	NO	
