No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
528591	02/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C53422372	1	1342	NA	ROH	2.37	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
528596	02/10/2014	ZSCR	551	034-2	NA	'015	A2C86718800	NA	A2C86176400	10	1342	NA	ROH	87.1	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528600	02/10/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C00052450	2	1342	NA	ROH	14.78	S1_TIS 1D MMC_J.JAIME J	NO	4982656331		
528611	02/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	118	1253	VUG148864	ROH	322.14	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
528651	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53410558	NA	A2C00064603	4	1342	NA	ROH	73.08	S1_DCU_A.ADRIAN CEBALLO	NO	4982655835		
528832	02/10/2014	ZSCR	551	030-1	NA	'050	A2C53338452T	NA	A2C53306326	16	1301	NA	ROH	136	S1_DCU_A.ADRIAN CEBALLO	NO	4982655877		
528856	02/10/2014	ZSCR	551	034-2	NA	'015	A2C53328411	NA	A2C53322135	800	1342	NA	ROH	72	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
528856	02/10/2014	ZSCR	551	034-2	NA	'015	A2C53328412T	NA	A2C53322437	800	1342	NA	ROH	176	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
528859	02/10/2014	ZSCR	551	034-2	NA	'050	A2C32714700	NA	A2C00049143	82	1342	NA	ROH	56.58	S4_BMW FBD 3_. (APROBA	NO	4982656467		
528861	02/10/2014	ZSCR	551	034-2	NA	'050	A2C37521600	NA	A2C00062500	17	1342	NA	ROH	273.02	S4_BMW FBD 3_. (APROBA	NO	4982656475		
528863	02/10/2014	ZSCR	551	034-2	NA	'050	A2C82208300	NA	A2C00912700	6	1342	NA	ROH	89.4	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528980	02/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304050	33	1253	VUG148864	ROH	81.84	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
528980	02/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	113	1253	VUG148864	ROH	308.49	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
528981	02/10/2014	ZSCR	551	040-2	NA	'015	A2C53304026	NA	A2C53304052	7	1402	NA	ROH	19.11	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
528986	02/10/2014	MB1A	951	025-3	NA	'015	NA	2800	A2C92270500	47	1253	ECN102425	FERT	2228.74	S1_TG1C NISSAN_J.JAIME	NO	4982656622		
529080	02/10/2014	ZSCR	551	034-2	NA	'050	5WY8836	NA	A2C00046274	31	1342	NA	ROH	23.25	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
529080	02/10/2014	ZSCR	551	034-2	NA	'050	5WY8835	NA	A2C00053178	3	1342	NA	ROH	25.95	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
529080	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53410546S	NA	A2C40022068	1	1342	NA	ROH	9.87	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
529083	02/10/2014	ZSCR	551	034-2	NA	'050	A2C83143000	NA	A2C00763900	4	1342	NA	ROH	95	S1_TG1C UNIVERSAL_J.JAI	NO	4982656265		
529083	02/10/2014	ZSCR	551	034-2	NA	'050	A2C30485400	NA	A2C53295502	1	1342	NA	ROH	0.68	S1_TG1C UNIVERSAL_J.JAI	NO	4982656207		
