No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad					Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
94271	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4954739976
94273	ZSCR	551	040-1	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1401	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4954740078
94275	ZSCR	551	040-2	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1402	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4954740029
94666	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1402	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4954739993
95272	ZSCR	551	030-1	NA	S122736090A	NA	A2C53371606	12	3011	045		1301	pcb TLS_BCM_2010	NA	ROH	NA	454.08	4954739912
95319	ZSCR	551	030-1	NA	S122736090A	NA	A2C53371606	15	3011	045		1301	pcb TLS_BCM_2010	NA	ROH	NA	567.6	4954739912
95431	MB1A	551	050-3	B30301-00495	NA	NA	A2C34172100	18	3011	045		1095	DCM*GM PWE	NA	FERT	NA	1217.88	
95466	ZSCR	551	030-1	NA	A2C53386111	NA	A2C53371606	3	3011	045		1301	pcb TLS_BCM_2010	NA	ROH	NA	113.52	4954739901
95671	ZSCR	551	040-2	NA	S122736090A	NA	A2C53158470	2	3011	045		1402	pin header 3P V SP THP BK	NA	ROH	NA	10.02	4954739363
95677	ZSCR	551	040-2	NA	S122736070B	NA	A2C00038250	1	3011	045		1402	"MINI,SINGLE,9V,RELAY/CP1-12V-H97"	NA	ROH	NA	5.34	4954739339
95681	ZSCR	551	040-2	NA	S122736090A	NA	A2C53278143	1	3011	045		1402	pin header 40P V 2R GY 2	NA	ROH	NA	7.62	4954739363
95683	ZSCR	551	040-2	NA	S122736030C	NA	A2C00035652	1	3011	045		1402	"MICRO,TWIN,12V,RELAY/G8ND-2UK"	NA	ROH	NA	8.67	4954739322
95687	ZSCR	551	040-2	NA	S122736090A	NA	A2C00038445	12	3011	045		1402	"1mF,20%,25V,HOL,AL,ELEC CAP/"	NA	ROH	NA	19.2	4954739363
95689	ZSCR	551	040-2	NA	S122736090A	NA	A2C00020183	7	3011	045		1402	"MICRO,SINGLE,12V,RELAY/G8N-1H"	NA	ROH	NA	32.13	4954739363
95691	ZSCR	551	040-2	NA	S122736090A	NA	A2C53158472	1	3011	045		1402	pin header 16P V 2R THP NC	NA	ROH	NA	6.79	4954739363
95694	ZSCR	551	040-1	NA	S122736070B	NA	A2C00030497	11	3011	045		1401	"EM OTH POLY FUSE/13.5*2.5*LS5.1,16V,9A"	NA	ROH	NA	33.66	4954739423
95926	ZSCR	551	030-1	NA	S122736090A	NA	A2C53371606	18	3011	045		1301	pcb TLS_BCM_2010	NA	ROH	NA	681.12	4954739912
96436	ZSCR	551	040-2	NA	S122736090A	NA	A2C53154516	1	3011	045		1402	bracket	NA	ROH	NA	2.99	4954739363
96436	ZSCR	551	040-2	NA	S122736090A	NA	A2C53167830	1	3011	045		1402	bracket	NA	ROH	NA	3.01	4954739363
96436	ZSCR	551	040-2	NA	S122736090A	NA	A2C53283034	1	3011	045		1402	housing	NA	ROH	NA	6.58	4954739363
96868	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172100	37	3011	045		1095	DCM*GM PWE	NA	FERT	NA	2503.42	
