No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Adp		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C81507400	NA	A2C82493901	3	3011	45		1402	housing cover assy	NA	ROH	NA	48.9	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34524701	3	3011	45		1402	housing bottom assy	NA	ROH	NA	8.67	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34971300	6	3011	45		1402	clip	NA	ROH	NA	2.94	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	5WK48900	NA	A2C00004906	6	3011	45		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.84	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525301	3	3011	45		1402	housing bottom assy	NA	ROH	NA	8.67	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34525500	7	3011	45		1402	Side caps	NA	ROH	NA	90.37	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34525401	3	3011	45		1402	Up Level Housing 4 Button	NA	ROH	NA	47.64	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	8800630143	6	3011	45		1402	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.36	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	A2C81507400	NA	A2C82493901	2	3011	45		1402	housing cover assy	NA	ROH	NA	32.6	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34971300	6	3011	45		1402	clip	NA	ROH	NA	2.94	S1_FOB K2XX_L.LUIS LOPE	NO	
451651	01/05/2014	ZSCR	551	040-2	NA	'045	5WK48900	NA	A2C00004906	6	3011	45		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.84	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525900	8	3011	45		1402	O-ring	NA	ROH	NA	2.4	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525600	8	3011	45		1402	cover	NA	ROH	NA	19.28	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	8800630143	2	3011	45		1402	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.12	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C81507400	NA	A2C82493901	2	3011	45		1402	housing cover assy	NA	ROH	NA	32.6	S1_FOB K2XX_L.LUIS LOPE	NO	
451652	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525301	2	3011	45		1402	housing bottom assy	NA	ROH	NA	5.78	S1_FOB K2XX_L.LUIS LOPE	NO	
