No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00004144	2	3011	050		1351	"7K68,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004144	2	3011	050		1351	"7K68,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00004347	10	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.1	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00004347	4	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00004347	1	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004347	1	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00004347	10	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.1	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00004347	4	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00004347	1	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004347	1	3011	050		1351	"82K5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004349	2	3011	050		1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.02	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004349	2	3011	050		1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.02	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00004368	11	3011	050		1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.11	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004368	11	3011	050		1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.11	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00004368	11	3011	050		1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.11	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004368	11	3011	050		1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.11	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004448	2	3011	050		1351	"499R,1%,TK100,250mW,1206,LIN RES/RC"		ROH	NA	0.06	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00004448	2	3011	050		1351	"499R,1%,TK100,250mW,1206,LIN RES/RC"		ROH	NA	0.06	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00004486	438	3011	050		1351	"470K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	4.38	ES_V8 V10_NA	4958241255
