area,tecnologia,defecto,causa,division,proyecto
SMD,LASER,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,PROVEEDOR,PSAD,HYUNDAI
SMD,SIPLACE,CORTOS,METODO,PSAD,HYUNDAI
SMD,SIPLACE,CORTOS,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,CORTOS,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE FALTANTE,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE FALTANTE,METODO,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE BOCA BAJO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE BOCA BAJO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DE CANTO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE DE CANTO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,DESPLAZADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,TOMBSTONE,METODO,PSAD,HYUNDAI
SMD,SIPLACE,TOMBSTONE,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE CON POLARIDAD INVERTIDA,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE CON POLARIDAD INVERTIDA,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,MAQUINA,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,METODO,PSAD,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,PROVEEDOR,PSAD,HYUNDAI
