No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
164491	ZSCR	551	034-2	NA	A2C53106457	NA	6590160301	50	1342	Housing Ford Airbags	NA	ROH	NA	848	PS_FORD_GERARDO ECHEAGA	
164491	ZSCR	551	034-2	NA	A2C53106455	NA	6590160701	50	1342	COVER VN127 RCM3V	NA	ROH	NA	128.5	PS_FORD_GERARDO ECHEAGA	
164517	ZSCR	551	034-2	NA	A2C53334920MI	NA	A2C00023738	24	1342	"47UF,20%,50V,HOL,AL,ELEC CAP/"	NA	ROH	NA	7.92	PS_ARAMIS I_GERARDO ECH	
164517	ZSCR	551	034-2	NA	A2C53108384MI	NA	A2C00049991	25	1342	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	29.5	PS_ARAMIS I_GERARDO ECH	
164517	ZSCR	551	034-2	NA	A2C53183948MI	NA	A2C53125028	246	1342	pcb DC 70 LP PRO NU	NA	ROH	NA	341.94	PS_ARAMIS I_GERARDO ECH	
164517	ZSCR	551	034-2	NA	A2C53108380MI	NA	A2C53125063	1	1342	multipoint connector 96P H 2SYS B-B	NA	ROH	NA	21.84	PS_ARAMIS I_GERARDO ECH	
164517	ZSCR	551	034-2	NA	A2C53367457MI	NA	A2C53125066	1	1342	multipoint connector 96P H 2SYS E-B	NA	ROH	NA	21.59	PS_ARAMIS I_GERARDO ECH	
164517	ZSCR	551	034-2	NA	A2C30930101	NA	A2C53345664	1	1342	multipoint connector 96P H 2SYS A-A	NA	ROH	NA	33.16	PS_ARAMIS I_GERARDO ECH	
164558	ZSCR	551	034-2	NA	5WK43611	NA	A2C53108379	3	1342	cover FIP T GY	NA	ROH	NA	9.96	PS_ARAMIS 2011_GERARDO	4958790781
164561	ZSCR	551	034-2	NA	5WY70340	NA	6593810302	53	1342	CARCASA ECS_1 TIPO I	NA	ROH	NA	1671.62	PSAD_EPSILON_GERARDO EC	
164764	ZSCR	551	034-4	NA	5WK44354	NA	A2C53412057	6	1344	multipoint connector 66P H 2SYS 7036	NA	ROH	NA	161.34	PSAD_GM BRASIL_GERARDO	
164786	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790300
164787	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790300
164788	ZSCR	551	030-1	NA	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	4958789603
164789	ZSCR	551	030-1	NA	A2C53108385MI	NA	A2C53108385	1	1301	circuit board assy	NA	HALB	S.Real	246.86	PS_ARAMIS I_GERARDO ECH	4958789603
164829	ZSCR	551	030-1	NA	A2C53374378	NA	A2C53374378A	1	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PSAD_VW20_GERARDO ECHEA	4958790180
164831	ZSCR	551	030-1	NA	A2C53374378	NA	A2C53374378A	1	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4958790180
