No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	 	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
597775	10/03/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00039707	4	1351	"24V,0W,SOD323,ZENER/PESD1LIN"		ROH	NA	1.8	OC_BOSE VW_N.NORTON MAR	NO	4987640584		
597775	10/03/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00046806	7	1351	"1M2,1%,TK100,100mW,0603,LIN RES/"		ROH	NA	0.07	OC_BOSE VW_N.NORTON MAR	NO	4987640584		
597775	10/03/2015	ZSCR	551	035-1	0	'054	A2C53395077	NA	A2C00055060	6	1351	"Capacitive Occupant Detection,OTHER IC/B"		ROH	NA	208.2	OC_BOSE VW_N.NORTON MAR	NO	4987640584		
597776	10/03/2015	ZSCR	551	035-1	0	'054	A2C53287874	NA	A2C00039265	18	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	12.42	OC_OCS NISSAN_N.NORTON	NO	4987640521		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C5344039293	NA	A2C00004500	2	1351	"R LIN,56K2,1%,TK100,100mW,0603"		ROH	NA	0.02	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399620B	NA	A2C00007729	1	1351	"R LIN,12K4,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_HONDA HRS5_N.NORTON	NO	4987640666		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C9449080092	NA	A2C00011220	2	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.02	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00011220	13	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.13	PS_HONDA HRS5_N.NORTON	NO	4987640645		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53404914B	NA	A2C00011220	11	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.11	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C5343547792	NA	A2C00011220	36	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.36	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C5339962992	NA	A2C00011220	10	1351	"R LIN,33K2,1%,TK100,63mW,0402"		ROH	NA	0.1	PS_HONDA HRS5_N.NORTON	NO	4987640681		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399620B	NA	A2C00019939	2	1351	"18V,200mW,SOD323,ZENER/GDZ18B 3kpcs reel"		ROH	NA	0.26	PS_HONDA HRS5_N.NORTON	NO	4987640666		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53404914A	NA	A2C00033507	2	1351	"11K,0.1%,TK25,63mW,0603,LIN RES/"		ROH	NA	0.42	PS_HONDA HRS5_N.NORTON	NO	4987640718		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00037882	98	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.98	PS_HONDA HRS5_N.NORTON	NO	4987640645		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53404914B	NA	A2C00039384	2	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"		ROH	NA	2.76	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399617B	NA	A2C00041199	66	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.66	PS_HONDA HRS5_N.NORTON	NO	4987640645		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53404914B	NA	A2C00041199	80	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.8	PS_HONDA HRS5_N.NORTON	NO			
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399620B	NA	A2C00041199	3	1351	"1K5,1%,TK100,63mW,0402,LIN RES/ERJ R"		ROH	NA	0.03	PS_HONDA HRS5_N.NORTON	NO	4987640666		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C5339962993	NA	A2C00044582	4	1351	"L COIL/-,22uH,1.25A,SMD"		ROH	NA	4.96	PS_HONDA HRS5_N.NORTON	NO	4987640690		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399620B	NA	A2C00054422	3	1351	"0R12,5%,TK50,1W,MELF0207,LIN RES/MMB 020"		ROH	NA	2.01	PS_HONDA HRS5_N.NORTON	NO	4987640666		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53399617A	NA	A2C00059546	8	1351	"1,0V,0Ohm,QFP80,GENERAL PURPOSE,Combined"		ROH	NA	305.44	PS_HONDA HRS5_N.NORTON	NO	4987640603		
597777	10/03/2015	ZSCR	551	035-1	0	'054	A2C53404914A	NA	A2C00059546	2	1351	"1,0V,0Ohm,QFP80,GENERAL PURPOSE,Combined"		ROH	NA	76.36	PS_HONDA HRS5_N.NORTON	NO	4987640718		
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00002056	42	1351	"15nF,5%,50V,X7R,0603,Sn,CER CAP/CC"		ROH	NA	1.26	PS_VW10 LC_N.NORTON MAR	NO	4987640562		
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00003779	37	1351	"R LIN,100R,5%,TK200,100mW,0603"		ROH	NA	0.37	PS_VW10 LC_N.NORTON MAR	NO	4987640562		
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00006609	1001	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	10.01	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00006616	107	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	1.07	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00007695	2	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.32	PS_VW10 LC_N.NORTON MAR	NO	4987640562		
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00010444	17	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.17	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00017564	7	1351	"0R2,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	4.69	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00017564	4	1351	"0R2,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	2.68	PS_VW10 LC_N.NORTON MAR	NO	4987640562		
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00017750	101	1351	"2,BOTH,NORMAL,100mA,45V,SOT363,BIP/BC847"		ROH	NA	15.15	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00025460	1	1351	"R LIN,330R,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00037377	167	1351	"6.8uH,570mA,SMD,COIL/SIMID 1210-H100"		ROH	NA	48.43	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00039384	9	1351	"1,N_CHAN,MOS,POWER,55V,7A,68mOhm,SOT223,"		ROH	NA	12.42	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53417068A	NA	A2C00046196	3	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	1.86	PS_VW10 LC_N.NORTON MAR	NO			
597779	10/03/2015	ZSCR	551	035-1	0	'054	A2C53374378A	NA	A2C00057908	1	1351	"SN65HVDA540 and TLE6250 3,3 V logic lev"		ROH	NA	2.1	PS_VW10 LC_N.NORTON MAR	NO	4987640562		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00003956	1	1351	"953R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.09	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00003974	13	1351	"R LIN,20R,5%,TK200,125mW,0805"		ROH	NA	0.13	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00003974	51	1351	"R LIN,20R,5%,TK200,125mW,0805"		ROH	NA	0.51	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00003974	85	1351	"R LIN,20R,5%,TK200,125mW,0805"		ROH	NA	0.85	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00003974	66	1351	"R LIN,20R,5%,TK200,125mW,0805"		ROH	NA	0.66	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00003999	55	1351	"R LIN,681R,1%,TK100,125mW,0805"		ROH	NA	0.55	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00003999	60	1351	"R LIN,681R,1%,TK100,125mW,0805"		ROH	NA	0.6	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00004240	32	1351	"2K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.64	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00004240	78	1351	"2K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	1.56	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00004240	11	1351	"2K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.22	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050093	NA	A2C00004288	22	1351	"R LIN,4K99,1%,TK100,125mW,0805"		ROH	NA	0.44	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00004288	90	1351	"R LIN,4K99,1%,TK100,125mW,0805"		ROH	NA	1.8	PS_FIAT BRAZIL_N.NORTON	NO	4987640407		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950093	NA	A2C00004288	51	1351	"R LIN,4K99,1%,TK100,125mW,0805"		ROH	NA	1.02	PS_FIAT BRAZIL_N.NORTON	NO	4987639569		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00006609	3	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.03	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00006609	13	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.13	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00006609	49	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.49	PS_FIAT BRAZIL_N.NORTON	NO	4987640407		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430092	NA	A2C00006609	125	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	1.25	PS_FIAT BRAZIL_N.NORTON	NO	4987640382		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050093	NA	A2C00006616	4	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.04	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050092	NA	A2C00006616	100	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	1	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00006616	14	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.14	PS_FIAT BRAZIL_N.NORTON	NO	4987640407		
