No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
552566	19/11/2014	ZSCR	551	042-4	NA	'054	A2C85901111	NA	A2C87057001	2	3011	054	 	1424	pcb assy DAGSTAR2 D_18	NA	HALB	S.Real	840.66	PSAD_DAIMLER STAR 2_A.A	NO		
552568	19/11/2014	ZSCR	551	040-1	NA	'054	A2C34527200	NA	A2C53388687	1	3011	054	 	1401	circuit board assy	NA	HALB	S.Real	359.32	PS_ARAMIS 2012_.	NO		
552569	19/11/2014	ZSCR	551	040-1	NA	'054	A2C30910806	NA	A2C32509000	1	3011	054	 	1401	pcb assy VW20 V01	NA	HALB	S.Real	137.33	PSAD_VW20_U.ULISES VILL	NO	4984277976	
552571	19/11/2014	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1401	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO	4984277874	
552574	19/11/2014	ZSCR	551	040-3	NA	'054	5WY88030	NA	A2C53417786	1				1403	pcb assy	NA	HALB	S.Real/AutoBF	149.73	PSAD_GM BRASIL_A.ANA TA	NO	4984277158	
552575	19/11/2014	ZSCR	551	040-1	NA	'054	5WY88030	NA	A2C53417786	1				1401	pcb assy	NA	HALB	S.Real/AutoBF	149.73	PSAD_GM BRASIL_A.ANA TA	NO	4984276845	
552578	19/11/2014	ZSCR	551	040-3	NA	'054	5WY90360	NA	A2C34805100	4				1403	pcb assy	NA	HALB	S.Real/AutoBF	646.6	PSAD_GM BRASIL_A.ANA TA	NO	4984277118	
552580	19/11/2014	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4984276871	
552581	19/11/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1401	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_.	NO		
552840	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83007800	NA	A2C8300780093	1	3011	054	 	1301	pcb assy VOLP1X P11P12P14 lado top	NA	HALB	S.Real	256.79	PSAD_VOLVO P15_J.JOSE O	NO		
552841	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83007800	NA	A2C8300780093	1	3011	054	 	1301	pcb assy VOLP1X P11P12P14 lado top	NA	HALB	S.Real	256.79	PSAD_VOLVO P15_J.JOSE O	NO		
552842	20/11/2014	ZSCR	551	030-1	NA	'054	A2C83007800	NA	A2C8300780093	1	3011	054	 	1301	pcb assy VOLP1X P11P12P14 lado top	NA	HALB	S.Real	256.79	PSAD_VOLVO P15_J.JOSE O	NO		
552843	20/11/2014	ZSCR	551	030-1	NA	'054	A2C37964110	NA	A2C3511620193	5	3011	054	 	1301	pcb assy DAGSTAR2 D_13 SMD TOP	NA	HALB	S.Real	1594.55	PSAD_DAIMLER STAR 2_A.A	NO		
552846	20/11/2014	ZSCR	551	030-1	NA	'054	A2C96660500	NA	A2C96660500	1	3011	054	 	1301	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	156.04	PS_FIAT BRAZIL_E.EDWIN	NO		
