No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
439424	4/5/2014	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	1401	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	212.5	PS_VW10 LC_U.ULISES VIL	NO				
439431	4/5/2014	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53408763	1342	pcb assy FIA326 OCS V15	NA	HALB	S.Real	154.96	PS_FIAT BRAZIL_E.EDWIN	NO				
439435	4/5/2014	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53408763	1342	pcb assy FIA326 OCS V15	NA	HALB	S.Real	309.92	PS_FIAT BRAZIL_E.EDWIN	NO				
439438	4/5/2014	ZSCR	551	040-2	NA	'054	A2C81625900	NA	A2C5339961702	1402	pcb assy V1B	NA	HALB	S.Real/AutoBF	209.64	PS_HONDA HRS5_.	NO				
439441	4/5/2014	ZSCR	551	042-4	NA	'054	5WK44461	NA	A2C53404914	1424	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	326.89	PS_HONDA HRS5_.	NO				
439454	4/5/2014	ZSCR	551	040-1	NA	'054	A2C85621800	NA	A2C53412214	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO				
439463	4/5/2014	ZSCR	551	034-3	NA	'054	A2C85606200	NA	A2C3268040002	1343	pcb assy HONHRS6 V11B	NA	HALB	S.Real/AutoBF	308.02	PS_HONDA HRS6_J.JUAN CH	NO				
439504	4/5/2014	ZSCR	551	034-2	NA	'054	A2C86852400	NA	A2C87110200	1342	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	1837.8	PS_HYUNDAI_.	NO				
439519	4/5/2014	ZSCR	551	040-1	NA	'054	A2C84851600	NA	A2C84835300	1401	pcb assy VW10 V08	NA	HALB	S.Real	261.65	PS_VW10 LC_U.ULISES VIL	NO				
439523	4/5/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1342	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO				
439609	4/5/2014	ZSCR	551	034-2	NA	'054	5WK43521	NA	A2C53106605	1342	keypad assy	NA	HALB	S.Real/AutoBF	1077.86	OC_OCS SUZUKI_A.ANA TAP	NO				
439786	4/6/2014	ZSCR	551	030-1	NA	'054	A2C83014300	NA	A2C8301430093	1301	pcb assy OPLA3 300 AU/SN lado top	NA	HALB	S.Real	184.09	PSAD_OPEL 3300_J.JOSE O	NO				
439787	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535000	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
439790	4/6/2014	ZSCR	551	030-1	NA	'054	A2C82535000	NA	A2C8253520093	1301	pcb assy OPLA4400 XESA lado top	NA	HALB	S.Real	188.75	PSAD_OPEL 4400_J.JOSE O	NO				
