No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C00004906	20	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	27.4	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C30115900	21	3011	045		1095	housing bottom	NA	ROH	NA	79.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53358639	21	3011	045		1095	contact spring	NA	ROH	NA	11.76	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171746	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53405271	5	3011	045		1095	Foam PEPS PK MY11	NA	ROH	NA	1.9	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171746	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53408731	7	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	326.13	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C00004906	12	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	16.44	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C30115900	12	3011	045		1095	housing bottom	NA	ROH	NA	45.48	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C53358639	12	3011	045		1095	contact spring	NA	ROH	NA	6.72	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171757	25/06/2012	ZSCR	551	030-1	NA	S180039015	NA	A2C53212557	144	3011	045		1301	pcb panel 1-up	NA	ROH	NA	694.08	S2_RF TUNER_ANTONIO ALA	NO	4959329739	
171761	25/06/2012	ZSCR	551	022-2	NA	5WY8392	NA	A2C53299805	6	3011	045		1222	pcb GM EZKEY PA	NA	ROH	NA	149.1	S2_RF TUNER_ANTONIO ALA	NO	4959329074	
172020	26/06/2012	ZSCR	551	030-1	NA	5WY8806	NA	A2C53349876	1	3011	045		1301	circuit board assy GM EZKEY P NA/JP PC	NA	HALB	S.Real	137.43	S1_EZKEY_LUIS LIZARRAGA	NO	4959329512	
172069	26/06/2012	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	3	3011	045		1342	housing	NA	ROH	NA	5.1	S2_RF TUNER_ANTONIO ALA	NO	4959330429	
172073	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141929	6	3011	045		1342	LOWER HOUSING CID Rev. C	NA	ROH	NA	47.94	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172074	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141903	1	3011	045		1342	UPPER HOUSING 5 BUTTON	NA	ROH	NA	3.87	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172075	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141003	1	3011	045		1342	Logo Cadillac	NA	ROH	NA	10.48	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172076	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	A2C00004906	6	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.22	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172094	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53405271	1	3011	045		1095	Foam PEPS PK MY11	NA	ROH	NA	0.38	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172094	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53408731	1	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	46.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172099	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53103663	2	3011	045		1095	certification label	NA	ROH	NA	14.16	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172099	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53358639	1	3011	045		1095	contact spring	NA	ROH	NA	0.56	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172099	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53394918	2	3011	045		1095	certification label	NA	ROH	NA	9.54	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172099	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430062	2	3011	045		1095	housing assy ISU L/UL/PBD	NA	ROH	NA	31.48	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C00004906	10	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	13.7	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C30115900	10	3011	045		1095	housing bottom	NA	ROH	NA	37.9	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53103663	4	3011	045		1095	certification label	NA	ROH	NA	28.32	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53358639	10	3011	045		1095	contact spring	NA	ROH	NA	5.6	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53394918	5	3011	045		1095	certification label	NA	ROH	NA	23.85	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430062	3	3011	045		1095	housing assy ISU L/UL/PBD	NA	ROH	NA	47.22	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430063	3	3011	045		1095	housing assy ISU L/UL/T H	NA	ROH	NA	47.22	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430065	1	3011	045		1095	housing assy ISU RES/L/UL	NA	ROH	NA	16.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430066	1	3011	045		1095	housing assy DPFX_NISSAN RES/L/UL	NA	ROH	NA	16.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172116	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53430067	1	3011	045		1095	housing assy ISU RES/L/UL	NA	ROH	NA	16.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172118	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C00004906	11	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	15.07	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172118	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C30115900	11	3011	045		1095	housing bottom	NA	ROH	NA	41.69	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172118	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C53394918	3	3011	045		1095	certification label	NA	ROH	NA	14.31	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172118	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C53430067	3	3011	045		1095	housing assy ISU RES/L/UL	NA	ROH	NA	49.77	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172119	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C00004906	9	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	12.33	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172119	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C30115900	9	3011	045		1095	housing bottom	NA	ROH	NA	34.11	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172119	26/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C53358639	9	3011	045		1095	contact spring	NA	ROH	NA	5.04	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172120	26/06/2012	ZSCR	551	040-2	NA	5WK49670C	NA	A2C00004906	1	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	S2_KEY FOB_ANTONIO ALAR	NO	4959331018	
172120	26/06/2012	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53319341	3	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.12	S2_KEY FOB_ANTONIO ALAR	NO	4959331018	
172120	26/06/2012	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323911	1	3011	045		1402	housing	NA	ROH	NA	1.08	S2_KEY FOB_ANTONIO ALAR	NO	4959331018	
172120	26/06/2012	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323916	1	3011	045		1402	slide	NA	ROH	NA	0.81	S2_KEY FOB_ANTONIO ALAR	NO	4959331018	
172120	26/06/2012	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53358639	6	3011	045		1402	contact spring	NA	ROH	NA	3.36	S2_KEY FOB_ANTONIO ALAR	NO	4959331018	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C00004906	17	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	23.29	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53319341	16	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.64	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53323911	16	3011	045		1402	housing	NA	ROH	NA	17.28	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53323916	16	3011	045		1402	slide	NA	ROH	NA	12.96	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53358639	24	3011	045		1402	contact spring	NA	ROH	NA	13.44	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53365041	1	3011	045		1402	housing	NA	ROH	NA	1.02	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53365044	10	3011	045		1402	pushbutton	NA	ROH	NA	141.1	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172123	26/06/2012	ZSCR	551	040-2	NA	5WK49622C	NA	A2C53394918	12	3011	045		1402	certification label	NA	ROH	NA	57.24	S2_KEY FOB_ANTONIO ALAR	NO	4959330993	
172124	26/06/2012	ZSCR	551	034-2	NA	5WK49622C	NA	A2C00004906	7	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.59	S2_KEY FOB_ANTONIO ALAR	NO	4959330099	
172124	26/06/2012	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53319341	7	3011	045		1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.28	S2_KEY FOB_ANTONIO ALAR	NO	4959330099	
172124	26/06/2012	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323911	7	3011	045		1342	housing	NA	ROH	NA	7.56	S2_KEY FOB_ANTONIO ALAR	NO	4959330099	
172124	26/06/2012	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323916	7	3011	045		1342	slide	NA	ROH	NA	5.67	S2_KEY FOB_ANTONIO ALAR	NO	4959330099	
172124	26/06/2012	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53358639	7	3011	045		1342	contact spring	NA	ROH	NA	3.92	S2_KEY FOB_ANTONIO ALAR	NO	4959330099	
172124	26/06/2012	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	7	3011	045		1342	housing bottom	NA	ROH	NA	6.79	S2_KEY FOB_ANTONIO ALAR	NO	4959330449	
172141	26/06/2012	ZSCR	551	030-1	NA	5WK49622C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	47.62	S2_KEY FOB_ANTONIO ALAR	NO	4959329372	
172142	26/06/2012	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	4	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	190.48	S2_KEY FOB_ANTONIO ALAR	NO	4959329372	
172143	26/06/2012	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	47.62	S2_KEY FOB_ANTONIO ALAR	NO	4959329372	
172168	26/06/2012	ZSCR	551	030-1	NA	5WY8513	NA	A2C53350875	1	3011	045		1301	GM EZ KEY ECU PCB Vette NAM/JPN	NA	HALB	S.Real	164.95	S1_EZKEY_LUIS LIZARRAGA	NO	4959329525	
172183	26/06/2012	ZSCR	551	040-1	NA	S180064013	NA	A2C53184512	1	3011	045		1401	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	S2_FOB READER_ANTONIO A	NO	4959330716	
172184	26/06/2012	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	3011	045		1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.26	S2_FOB READER_ANTONIO A	NO	4959329270	
172368	27/06/2012	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	4	3011	045		1342	housing	NA	ROH	NA	6.8	S2_RF TUNER_ANTONIO ALA	NO	4959330429	
172368	27/06/2012	ZSCR	551	034-2	NA	S180039013	NA	A2C53121776	2	3011	045		1342	COVER	NA	ROH	NA	2.38	S2_RF TUNER_ANTONIO ALA	NO	4959330429	
172383	27/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C31221300	150	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	7365	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
172404	27/06/2012	ZSCR	551	040-2	NA	5WY8418	NA	A2C53139537	2	3011	045		1402	housing BK	NA	ROH	NA	4.28	S1_EZKEY_LUIS LIZARRAGA	NO	4959331078	
172408	27/06/2012	ZSCR	551	040-2	NA	5WY8418	NA	A2C53139544	1	3011	045		1402	GM EZ Key CTS 4B Keypad	NA	ROH	NA	23.65	S1_EZKEY_LUIS LIZARRAGA	NO	4959331078	
172413	27/06/2012	ZSCR	551	040-2	NA	5WY8418	NA	A2C00004906	2	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	S1_EZKEY_LUIS LIZARRAGA	NO	4959331078	
172439	27/06/2012	MB1A	551	040-4	K96019	NA	NA	A2C34684200	1	3011	045		1095	GLOBAL-A_BCM_TOP_HOUSING	NA	ROH	NA	6.64	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172439	27/06/2012	MB1A	551	040-4	K96019	NA	NA	A2C34685400	2	3011	045		1095	GLOBAL-A_BCM_BOTTOM_HOUSING	NA	ROH	NA	11.18	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172441	27/06/2012	MB1A	551	040-4	K96019	NA	NA	A2C34685500	200	3011	045		1095	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	196	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172443	27/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C34710800	1	3011	045		1095	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	464.91	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172445	27/06/2012	ZSCR	551	030-1	NA	A2C34710700	NA	A2C34710800	1	3011	045		1301	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	464.91	S1_GLOBAL A_LUIS LIZARR	NO	4959329660	
172447	27/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C34710800	1	3011	045		1095	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	464.91	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172451	27/06/2012	MB1A	551	030-1	K96019	NA	NA	A2C34710800	4	3011	045		1095	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	1859.64	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
172494	27/06/2012	ZSCR	551	030-1	NA	S180039010	NA	A2C53184073	5	3011	045		1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	329.65	S2_RF TUNER_ANTONIO ALA	NO	4959329669	
172494	27/06/2012	ZSCR	551	030-1	NA	S180039014	NA	A2C53184074	21	3011	045		1301	pcb NISD-PLATUN ICT TEST ASS	NA	HALB	S.Real/AutoBF	1536.36	S2_RF TUNER_ANTONIO ALA	NO	4959329679	
172516	27/06/2012	ZSCR	551	030-1	NA	S180039002	NA	A2C53121774	1	3011	045		1301	circuit board assy NISD-PLATU	NA	HALB	S.Real	38.92	S2_RF TUNER_ANTONIO ALA	NO	4959329280	
172540	27/06/2012	ZSCR	551	030-1	NA	5WY8420	NA	A2C53309877	1	3011	045		1301	GM EZ Key Trans PCB NAM	NA	HALB	S.Real	45.76	S1_EZKEY_LUIS LIZARRAGA	NO	4959329398	
172560	27/06/2012	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	3011	045		1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	S2_BCM_RODRIGO CERVANTE	NO	4959330881	
172562	27/06/2012	ZSCR	551	030-1	NA	S122736040C	NA	A2C53334349	1	3011	045		1301	module assy USM IKEY RHD	NA	HALB	S.Real	298.23	S2_BCM_RODRIGO CERVANTE	NO	4959329466	
172565	27/06/2012	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1301	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_RODRIGO CERVANTE	NO	4959329543	
172567	27/06/2012	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386111	1	3011	045		1401	electronic assy USM L42A NAM	NA	HALB	S.Real	171.12	S2_BCM_RODRIGO CERVANTE	NO	4959330790	
172577	27/06/2012	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	47.62	S2_KEY FOB_ANTONIO ALAR	NO	4959329372	
172579	27/06/2012	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	1	3011	045		1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	47.62	S2_KEY FOB_ANTONIO ALAR	NO	4959329372	
172580	27/06/2012	ZSCR	551	022-2	NA	5WY7700	NA	A2C53114671	15	3011	045		1222	housing	NA	ROH	NA	39	S2_FOB READER_ANTONIO A	NO	4959329100	
172580	27/06/2012	ZSCR	551	022-2	NA	5WY7700	NA	A2C53124003	15	3011	045		1222	sticker	NA	ROH	NA	2.25	S2_FOB READER_ANTONIO A	NO	4959329100	
172580	27/06/2012	ZSCR	551	022-2	NA	5WY7700	NA	A2C53141571	15	3011	045		1222	housing assy NIS D-PLAT	NA	ROH	NA	449.25	S2_FOB READER_ANTONIO A	NO	4959329100	
172580	27/06/2012	ZSCR	551	022-2	NA	5WY7700	NA	A2C53184512	16	3011	045		1222	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	628.8	S2_FOB READER_ANTONIO A	NO	4959329127	
172587	27/06/2012	MB1A	551	030-1	K96019	NA	NA	A2C53408731	2	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	93.18	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
