No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
163845	05/06/2012	ZSCR	551	030-1	NA	A2C53387020	NA	A2C53328412	3	circuit board assy	NA	HALB	S.Real	279.39	S1_DCU_ADRIAN CEBALLOS	NO	4958767988		
163846	05/06/2012	ZSCR	551	030-1	NA	A2C53338452	NA	A2C53338452	10	circuit board assy	NA	HALB	S.Real	598.9	S1_DCU_ADRIAN CEBALLOS	NO	4958768012		
163847	05/06/2012	ZSCR	551	030-1	NA	A2C53338452	NA	A2C53338452	3	circuit board assy	NA	HALB	S.Real	179.67	S1_DCU_ADRIAN CEBALLOS	NO	4958768012		
163848	05/06/2012	ZSCR	551	030-1	NA	A2C53387020	NA	A2C53328412	1	circuit board assy	NA	HALB	S.Real	93.13	S1_DCU_ADRIAN CEBALLOS	NO	4958767988		
163853	05/06/2012	ZSCR	551	030-1	NA	A2C53249399	NA	A2C53249282	12	circuit board assy HONDA ZZDI	NA	HALB	S.Real	2176.44	S5_ECU 08_ENRIQUE GARCI	NO	4958767969		
163854	05/06/2012	ZSCR	551	030-1	NA	A2C5333838492	NA	A2C5333838492	4	circuit board HONDA ECU TX4 - TX6 BOTTOM	NA	HALB	S.Real/AutoBF	233.32	S5_ECU 09_ENRIQUE GARCI	NO	4958767608		
163855	05/06/2012	ZSCR	551	040-1	NA	5WK49210	NA	A2C53190307	2	circuit board assy	NA	HALB	S.Real	168.6	S5_RXM_JORGE AGUILAR (A	NO	4958768089		
163868	05/06/2012	ZSCR	551	030-1	NA	5WK50228	NA	A2C3752390093	16	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	1080	S1_BMW_ADRIAN CEBALLOS	NO	4958767943		
163879	05/06/2012	ZSCR	551	030-1	NA	5WK50226	NA	A2C3752200093	14	circuit board assy BMWZZDIV 902MHZ	NA	HALB	S.Real	936.88	S1_BMW_ADRIAN CEBALLOS	NO	4958767933		
163886	05/06/2012	ZSCR	551	034-2	NA	5WK49830	NA	A2C53335967B	2	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	148.82	S5_FOB ACURA 08_ENRIQUE	NO	4958768071		
163887	05/06/2012	ZSCR	551	034-2	NA	5WK49308	NA	A2C53215449-B	10	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	335.7	S5_TXK_JORGE AGUILAR (A	NO	4958768045		
163890	05/06/2012	ZSCR	551	034-2	NA	5WK49393	NA	A2C53242673	10	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	519.7	S5_INMMO_JORGE AGUILAR	NO	4958767657		
163900	05/06/2012	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	2	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	S1_TIPM LOGIC_CARLOS MU	NO	4958767620		
163917	05/06/2012	ZSCR	551	050-3	NA	5WY8834	NA	A2C53328412	8	circuit board assy	NA	HALB	S.Real	745.04	S1_DCU_ADRIAN CEBALLOS	NO	4958768163		
163945	05/06/2012	ZSCR	551	050-3	NA	5WY8835	NA	A2C53328411	8	circuit board assy	NA	HALB	S.Real	704.16	S1_DCU_ADRIAN CEBALLOS	NO	4958768155		
163949	05/06/2012	ZSCR	551	050-3	NA	5WY8833	NA	A2C53338452	128	circuit board assy	NA	HALB	S.Real	7665.92	S1_DCU_ADRIAN CEBALLOS	NO	4958768174		
163951	05/06/2012	ZSCR	551	050-3	NA	5WY7821	NA	A2C53164055	66	engine control el	NA	HALB	S.Real	6963	S1_WIN_ADRIANA REYES (A	NO	4958768136		
163962	05/06/2012	ZSCR	551	050-3	NA	5WY8303	NA	A2C53305115	18	circuit board assy CHR (DCX)	NA	HALB	S.Real	1899	S1_WIN_ADRIANA REYES (A	NO	4958768145		
163971	05/06/2012	ZSCR	551	050-3	NA	5WY8833	NA	A2C53338452	288	circuit board assy	NA	HALB	S.Real	17248.32	S1_DCU_ADRIAN CEBALLOS	NO	4958768174		
