No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP		
138392	ZSCR	551	030-1	NA	A2C53428272	NA	A2C53428196	15	1301	"CONN,1 ROW,7CONT,1 ROW,MALE,7CONT,2.54MM"	NA	ROH	NA	98.4	4957112111		
138394	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	4957110389		
138395	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	4957110389		
138766	ZSCR	551	030-1	NA	A2C31231300	NA	A2C31231300	6	1301	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	1340.88	4957110268		
138767	ZSCR	551	034-2	NA	A2C31231300	NA	A2C31231300	2	1342	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	446.96	4957110281		
138835	MB1A	551	022-2	B30301-01495	NA	NA	A2C00019750	600	1095	"470K,1%,TK100,63mW,0402,LIN RES/Thick Fi"	NA	ROH	NA	6			
138835	MB1A	551	022-2	B30301-01495	NA	NA	A2C30840000	624	1095	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	861.12			
138944	ZSCR	551	030-1	NA	A2C53329740	NA	A2C53249431	12	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	305.64	4957111993		
139010	ZSCR	551	035-1	0	A2C3752200093	NA	A2C00029439	7	1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR169"		ROH	NA	0.91	4957111708		
139010	ZSCR	551	035-1	0	A2C3752390093	NA	A2C00040351	23	1351	"24nH,500mA,SMD,COIL/LQW18AN24NJ00"		ROH	NA	1.84	4957111711		
139010	ZSCR	551	035-1	0	A2C3752390093	NA	A2C00042287	23	1351	"1uF,10%,16V,X7R,0603,CER CAP/"		ROH	NA	1.61	4957111711		
139010	ZSCR	551	035-1	0	A2C3752390093	NA	A2C00043269	23	1351	"56nH,360mA,SMD,COIL/LQW18A"		ROH	NA	8.51	4957111711		
139012	ZSCR	551	035-1	0	A2C53249282	NA	A2C00000198	9	1351	"12V,350mW,SOT23,ZENER/BZX84C12/T1"		ROH	NA	0.9	4957111775		
139012	ZSCR	551	035-1	0	A2C53249282	NA	A2C00021642	27	1351	"1,GATE,SOT353,LOGIC/Xor 74AHC1G86"		ROH	NA	7.83	4957111775		
139012	ZSCR	551	035-1	0	A2C53249282	NA	A2C00036125	9	1351	"2.2uH,7A,SMD,COIL/B82476-A1222-M"		ROH	NA	20.61	4957111775		
139012	ZSCR	551	035-1	0	A2C53249282	NA	A2C00039698	9	1351	"5V,450mA,STEP DOWN,DPAK,VOLT REG/NCV4275"		ROH	NA	26.1	4957111775		
139012	ZSCR	551	035-1	0	A2C53249282	NA	A2C00041938	8	1351	"S912XDT512J1CAG,1L15Y,LQFP144,FLASH,16bi"		ROH	NA	456.16	4957111775		
139012	ZSCR	551	035-1	0	A2C53249282B	NA	A2C00047459	8	1351	"14V,40V,2220,VARISTOR/CT2220S14BAUTOE2G2"		ROH	NA	42.08	4957111775		
139013	ZSCR	551	035-1	0	A2C53249259	NA	A2C00021642	21	1351	"1,GATE,SOT353,LOGIC/Xor 74AHC1G86"		ROH	NA	6.09	4957111761		
139013	ZSCR	551	035-1	0	A2C53249259	NA	A2C00036125	8	1351	"2.2uH,7A,SMD,COIL/B82476-A1222-M"		ROH	NA	18.32	4957111761		
139013	ZSCR	551	035-1	0	A2C53249259	NA	A2C00039698	6	1351	"5V,450mA,STEP DOWN,DPAK,VOLT REG/NCV4275"		ROH	NA	17.4	4957111761		
139013	ZSCR	551	035-1	0	A2C53249259B	NA	A2C00047459	8	1351	"14V,40V,2220,VARISTOR/CT2220S14BAUTOE2G2"		ROH	NA	42.08	4957111761		
139015	ZSCR	551	035-1	0	A2C53426161	NA	A2C00017679	1	1351	contact spring		ROH	NA	1.02	4957112060		
139015	ZSCR	551	035-1	0	A2C53426161	NA	A2C00056009	8	1351	"IC OTH/PCF7953ATT/ M1AC1700, TSSOP28, A"		ROH	NA	246.08	4957112060		
139015	ZSCR	551	035-1	0	A2C53426161B	NA	A2C00156400	8	1351	"L COIL/CAS143,2.36mH,5mA,SMD"		ROH	NA	12.32	4957112060		
139015	ZSCR	551	035-1	0	A2C53300685-B	NA	A2C53042942	4	1351	"WHITE,0nm,SIDELED,101 ... 120grd,LED/LW"		ROH	NA	5.16	4957111909		
139016	ZSCR	551	035-1	0	A2C53300685	NA	A2C00046196	4	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	3	4957111909		
139017	ZSCR	551	035-1	0	A2C31231300T	NA	A2C40009952	239	1351	"D ZEN/MMSZ39T1,39V,500mW,SOD 123"		ROH	NA	31.07	4957111670		
139017	ZSCR	551	035-1	0	A2C31231300T	NA	A2C40012828	1060	1351	"T FET/VNN1NV04,MOS,POWER,SOT223"		ROH	NA	1452.2	4957111670		
139017	ZSCR	551	035-1	0	A2C31231300T	NA	A2C53428220	589	1351	"CONN,0CONT,NEW MATL FRET RCPT"		ROH	NA	400.52	4957111670		
139018	ZSCR	551	035-1	0	A2C53428272T	NA	A2C40002167	74	1351	"R LIN,2R4,5%,TK200,100mW,0603"		ROH	NA	0.74	4957112111		
139018	ZSCR	551	035-1	0	A2C53428700T	NA	A2C40002181	71	1351	"R LIN,39K,5%,TK200,100mW,0603"		ROH	NA	0.71	4957112137		
139018	ZSCR	551	035-1	0	A2C53428272T	NA	A2C40002181	154	1351	"R LIN,39K,5%,TK200,100mW,0603"		ROH	NA	1.54	4957112111		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00000561	1	1351	"1,PNP,NORMAL,500mA,45V,SOT23,BIP/BC807-4"		ROH	NA	0.08	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00003848	1	1351	"47R,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00003851	1	1351	"56K,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00004540	1	1351	"5K6,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00025363	1	1351	"22nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	4957111938		
139019	ZSCR	551	035-1	0	A2C53328412B	NA	A2C00032447	3	1351	"68nF,10%,50V,X8R,0805,CER CAP/++ open mo"		ROH	NA	0.33	4957111956		
139019	ZSCR	551	035-1	0	A2C53328412B	NA	A2C00032447	3	1351	"68nF,10%,50V,X8R,0805,CER CAP/++ open mo"		ROH	NA	0.33	4957111956		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00032447	1	1351	"68nF,10%,50V,X8R,0805,CER CAP/++ open mo"		ROH	NA	0.11	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00034366	1	1351	"2,60V,1.8Ohm,SC74,Relay Driver for coils"		ROH	NA	0.62	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00039430	1	1351	"F BEAD/MMZ2012Y202B,500mOhm,2KOhm,400mA,"		ROH	NA	0.07	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C00039707	1	1351	"24V,0W,SOD323,ZENER/PESD1LIN"		ROH	NA	0.48	4957111938		
139019	ZSCR	551	035-1	0	A2C53328411B	NA	A2C53041436	1	1351	"1,NPN,RET,R<b>=10k,R<e-b>=47k,100mA,50V,"		ROH	NA	0.09	4957111938		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00002174	1	1351	"47nF,10%,100V,X7R,1206,TINNED,CER CAP/++"		ROH	NA	0.24	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00002189	1	1351	"470pF,10%,100V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.02	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00003455	1	1351	"2K,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.02	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00003528	1	1351	"2K4,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.02	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00003873	2	1351	"12R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.04	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00006610	1	1351	"10K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.01	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00006952	1	1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	0.02	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00017677	2	1351	"R LIN,470R,1%,TK100,100mW,0603"		ROH	NA	0.02	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00024522	1	1351	"1uF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.1	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C00047805	1	1351	"1nF,10%,200V,X7R,0805,Sn,CER CAP/ ++ Ope"		ROH	NA	0.1	4957111697		
139020	ZSCR	551	035-1	0	A2C3229560093	NA	A2C53375403	1	1351	receiver DIVZZDIV RXI-35-4		ROH	NA	33.45	4957111697		
139024	ZSCR	551	030-1	NA	5WK47833	NA	A2C53249259	1	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real	202.67	4957111028		
139025	ZSCR	551	040-4	NA	5WK47833	NA	A2C53249259	1	1404	circuit board assy HONDA ZZDI	NA	HALB	S.Real	202.67	4957111338		
139026	ZSCR	551	034-2	NA	5WK47834	NA	A2C53249282	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	189.27	4957111277		
139027	ZSCR	551	034-2	NA	A2C53249398	NA	A2C53249259	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	202.67	4957111268		
139027	ZSCR	551	034-2	NA	A2C53249398	NA	A2C53249431	1	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	4957111850		
139028	ZSCR	551	034-2	NA	5WK47833	NA	A2C53249259	1	1342	circuit board assy HONDA ZZDI	NA	HALB	S.Real	202.67	4957111268		
139029	ZSCR	551	030-1	NA	A2C53249259	NA	A2C53216585	4	1301	pcb panel multiple 4-up	NA	ROH	NA	94.24	4957111761		
139031	ZSCR	551	050-1	NA	A2C53278291	NA	A2C00004906	7	1501	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.59	4957111875		
139032	ZSCR	551	030-1	NA	A2C53427189	NA	A2C53426149	200	1301	pcb HON HONDA F	NA	ROH	NA	822	4957112081		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00010059	9	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	0.72	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00010059	8	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	0.64	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00010059	6	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	0.48	4957112319		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00019139	3	1351	"47uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	2.82	4957112319		
139059	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00019139	27	1351	"47uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	25.38	4957112269		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00020895	18	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.62	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00020895	16	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.44	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00020895	11	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	0.99	4957112319		
139059	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00039698	27	1351	"5V,450mA,STEP DOWN,DPAK,VOLT REG/NCV4275"		ROH	NA	78.3	4957112269		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00051824	9	1351	"12V,500mW,SOD123,ZENER/MMSZ5242BT"		ROH	NA	1.17	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00051824	8	1351	"12V,500mW,SOD123,ZENER/MMSZ5242BT"		ROH	NA	1.04	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00051824	6	1351	"12V,500mW,SOD123,ZENER/MMSZ5242BT"		ROH	NA	0.78	4957112319		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00057184	4	1351	"L COIL/Wire wound Chip Inductor,23nH,0A,"		ROH	NA	1.92	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00057184	3	1351	"L COIL/Wire wound Chip Inductor,23nH,0A,"		ROH	NA	1.44	4957112319		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00061943	27	1351	"IC SMART POW/VN5E010NAHTR-E,7 pins HPAK,"		ROH	NA	139.59	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00061943	25	1351	"IC SMART POW/VN5E010NAHTR-E,7 pins HPAK,"		ROH	NA	129.25	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00061943	17	1351	"IC SMART POW/VN5E010NAHTR-E,7 pins HPAK,"		ROH	NA	87.89	4957112319		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00062609	18	1351	"IC SMART POW/VND5E025NAY-E,PowerSSO-36"		ROH	NA	127.08	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00062609	16	1351	"IC SMART POW/VND5E025NAY-E,PowerSSO-36"		ROH	NA	112.96	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C00062609	11	1351	"IC SMART POW/VND5E025NAY-E,PowerSSO-36"		ROH	NA	77.66	4957112319		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C32118900	4	1351	"PCB, MY12 SPDJB W/LOOP ANTENNA ST DRV"		ROH	NA	259.4	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C32119500	4	1351	PCB -MY12 1SPDJB W/ HELIX ANTENNA ST DRV		ROH	NA	259.4	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C32119500	3	1351	PCB -MY12 1SPDJB W/ HELIX ANTENNA ST DRV		ROH	NA	194.55	4957112319		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40000569	4	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.08	4957112613		
139059	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40000569	4	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.08	4957112416		
139059	ZSCR	551	035-1	0	A2C8083440093	NA	A2C40000569	3	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.06	4957112319		
139059	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40000569	27	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.54	4957112269		
139059	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40000930	13	1351	"C CER,C0G,100pF,5%,50V,1.05*0.55*0.55,-"		ROH	NA	0.26	4957112613		
