No.Item	Fecha	zSCR	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
431224	3/20/2014	ZSCR	551	034-2	NA	'054	A2C8301690092	NA	A2C83017500	8	3011	054	 	1342	pcb 4-lay main	NA	ROH	NA	130.96	PSAD_PSA MAGNA_J.JOSE O	NO	
431225	3/20/2014	ZSCR	551	034-2	NA	'054	A2C83377700	NA	A2C83044300	2	3011	054	 	1342	MULTI CONNECTOR 64 PIN	NA	ROH	NA	53.38	PSAD_LAND ROVER_J.JOSE	NO	
431225	3/20/2014	ZSCR	551	034-2	NA	'054	A2C83046100	NA	A2C83046400	3	3011	054	 	1342	multipoint connector 64P H 2SYS A-H	NA	ROH	NA	109.11	PSAD_LAND ROVER_J.JOSE	NO	
431232	3/20/2014	ZSCR	551	030-1	NA	'054	A2C86816901	NA	A2C86617300	1	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
431234	3/20/2014	ZSCR	551	030-1	NA	'054	A2C81622000	NA	A2C53399629	1	3011	054	 	1301	pcb assy HONHRS5 RO V13	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS6_J.JUAN CH	NO	4976209462
431235	3/20/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
431236	3/20/2014	ZSCR	551	030-1	NA	'054	A2C83377600	NA	A2C83377700	1	3011	054	 	1301	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	466.91	PSAD_LAND ROVER_J.JOSE	NO	4976209637
431245	3/20/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO	
431246	3/20/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO	
431247	3/20/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	66.78	OC_BOSE BMW_A.ANA TAPIA	NO	
431248	3/20/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	66.78	OC_BOSE BMW_A.ANA TAPIA	NO	
431249	3/20/2014	ZSCR	551	030-1	NA	'054	5WK44292	NA	A2C53395077	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	66.78	OC_BOSE BMW_A.ANA TAPIA	NO	
431269	3/20/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_C.CAROLINA OTA	NO	
431272	3/20/2014	ZSCR	551	030-1	NA	'054	A2C83045900	NA	A2C8304610092	4	3011	054	 	1301	pcb assy JAGX150 PED lado bottom	NA	HALB	S.Real/AutoBF	414.12	PSAD_JAGUAR X1_J.JOSE O	NO	4976209552
431272	3/20/2014	ZSCR	551	030-1	NA	'054	A2C8304700093	NA	A2C8304700092	4	3011	054	 	1301	MRSZ3 JAGUAR PCB TOP MAN.asy lado bottom	NA	HALB	S.Real/AutoBF	545.64	PSAD_JAGUAR X1_J.JOSE O	NO	4976209628
431273	3/20/2014	ZSCR	551	030-1	NA	'054	5WY89080	NA	A2C53342620	6	3011	054	 	1301	pcb DC main	NA	ROH	NA	110.28	PS_ARAMIS 2012_E.EDWIN	NO	
431275	3/20/2014	ZSCR	551	030-1	NA	'054	A2C8522140093	NA	A2C82768800	6	3011	054	 	1301	pcb 4-lay FR-4 DAG Smart	NA	ROH	NA	117.96	PSAD_DAIMLER STAR 2_A.A	NO	
431276	3/20/2014	ZSCR	551	030-1	NA	'054	A2C83046100	NA	A2C8304610093	1	3011	054	 	1301	pcb assy JAGX150 PED lado top	NA	HALB	S.Real	180.92	PSAD_PSA CAN_J.JOSE ORT	NO	
431278	3/20/2014	ZSCR	551	030-1	NA	'054	A2C83046100	NA	A2C8304610093	1	3011	054	 	1301	pcb assy JAGX150 PED lado top	NA	HALB	S.Real	180.92	PSAD_PSA CAN_J.JOSE ORT	NO	
431280	3/20/2014	ZSCR	551	030-1	NA	'054	5WK44748	NA	A2C80256400	1	3011	054	 	1301	pcb assy HONHRS6 D_7	NA	HALB	S.Real	181.29	PS_HONDA HRS6_J.JUAN CH	NO	
431299	3/20/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_C.CAROLINA OTA	NO	
431301	3/20/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO	
431302	3/20/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO	
431304	3/20/2014	ZSCR	551	030-1	NA	'054	A2C53404914A	NA	A2C53404914B	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real/AutoBF	56.93	PS_HONDA HRS5_.	NO	4976209501
431305	3/20/2014	ZSCR	551	030-1	NA	'054	A2C53404914	NA	A2C53404914A	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	276.38	PS_HONDA HRS5_.	NO	
