No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP								
561660	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561663	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561731	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561734	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561735	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561784	08/12/2014	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1401	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO	4985063203								
561786	08/12/2014	ZSCR	551	040-1	NA	'054	5WK44749	NA	A2C8021770003	1	3011	054	 	1401	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	4985062565								
561788	08/12/2014	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO									
561790	08/12/2014	ZSCR	551	040-1	NA	'054	5WK44771	NA	A2C81531200	1	3011	054	 	1401	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	4985062698								
561793	08/12/2014	ZSCR	551	040-5	NA	'054	5WY88050	NA	A2C53417787	2				1405	pcb assy	NA	HALB	S.Real/AutoBF	296.98	PSAD_GM BRASIL_A.ANA TA	NO									
561794	08/12/2014	ZSCR	551	040-1	NA	'054	A2C33330515	NA	A2C96631500	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	502.96	PSAD_DAIMLER STAR2_ISC_	NO	4985064886								
561799	08/12/2014	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1401	airbag	NA	HALB	S.Real	331.82	PSAD_DAIMLER STAR2_ISC_	NO	4985063249								
561813	08/12/2014	ZSCR	551	040-3	NA	'054	5WK44374	NA	A2C53296568	1				1403	keypad assy	NA	HALB	S.Real/AutoBF	471.98	OC_OCS NISSAN_A.ANA TAP	NO									
561814	08/12/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO									
561817	08/12/2014	ZSCR	551	034-2	NA	'054	5WK44245	NA	A2C53353898	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	485.13	OC_OCS NISSAN_A.ANA TAP	NO									
561819	08/12/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO									
561821	08/12/2014	ZSCR	551	050-1	NA	'054	5WK44040	NA	A2C53279728	1				1501	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO									
561830	08/12/2014	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1				1342	pcb assy	NA	HALB	S.Real/AutoBF	96.25	PS_FIAT BRAZIL_E.EDWIN	NO									
561833	08/12/2014	ZSCR	551	034-9	NA	'054	A2C91764200	2800	A2C91764200	1				1349	ACU MY14 S15 12 XX 0 1 0 000	NA	FERT	NA	413.51	PS_SDM30_.	NO	4985060138								
561835	08/12/2014	ZSCR	551	034-9	NA	'054	A2C91764200	2800	A2C91764200	1				1349	ACU MY14 S15 12 XX 0 1 0 000	NA	FERT	NA	413.51	PS_SDM30_.	NO	4985060138								
561836	08/12/2014	ZSCR	551	034-9	NA	'054	A2C91764200	2800	A2C91764200	1				1349	ACU MY14 S15 12 XX 0 1 0 000	NA	FERT	NA	413.51	PS_SDM30_.	NO	4985060138								
