No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	APD	Espacio	Reason Code	Descripción	g	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
543513	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	7	HALB	S.Real	158.84	PS_HYUNDAI_.	NO	
543518	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86887711	NA	A2C86884501	1	3011	054	 	1301	pcb assy DAGSTAR2 D_14	3	HALB	S.Real	499.67	PSAD_DAIMLER STAR 2_A.A	NO	
543520	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86887710	NA	A2C86884501	1	3011	054	 	1301	pcb assy DAGSTAR2 D_14	2	HALB	S.Real	499.67	PSAD_DAIMLER STAR 2_A.A	NO	
543536	01/11/2014	ZSCR	551	034-2	NA	'054	A2C53435477	NA	A2C5343547793	4	3011	054	 	1342	pcb assy HONHRS5 V36 top side	5	HALB	S.Real	716.12	PS_HONDA HRS5_.	NO	
543614	01/11/2014	ZSCR	551	034-8	NA	'054	A2C94490800	NA	A2C94490800	2	3011	054	 	1348	pcb assy HONHRS5 V37	5	HALB	S.Real	361.24	PS_HONDA HRS6_J.JUAN CH	NO	
543616	01/11/2014	ZSCR	551	040-1	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1401	pcb assy HONHRS5 V37	5	HALB	S.Real	180.62	PS_HONDA HRS6_J.JUAN CH	NO	
543903	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	2	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	7	HALB	S.Real	317.68	PS_HYUNDAI_.	NO	
543906	02/11/2014	ZSCR	551	030-1	NA	'054	A2C8665110093	NA	A2C8665110093	2	3011	054	 	1301	ARMADA 12 BR 171 PCB SMD ASSEMBLY	1	HALB	S.Real	839	OES_ARMADA_.	NO	
543985	02/11/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770093	1	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	6	HALB	S.Real	265.24	PS_HONDA HRS6_J.JUAN CH	NO	
544012	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53374378	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	7	HALB	S.Real	166.4	PS_VW10 LC_U.ULISES VIL	NO	
544013	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53374378	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	7	HALB	S.Real	166.4	PS_VW10 LC_U.ULISES VIL	NO	
544034	02/11/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1301	pcb assy	16	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
544065	02/11/2014	ZSCR	551	030-1	NA	'054	5WK44058	NA	A2C53296378MI	10	3011	054	 	1301	Manual insertion assy for CCG (V25)	2	HALB	S.Real	4431	OES_ARAMIS I_E.EDWIN RO	NO	
544066	02/11/2014	ZSCR	551	030-1	NA	'054	5WK44058	NA	A2C53296378MI	2	3011	054	 	1301	Manual insertion assy for CCG (V25)	2	HALB	S.Real	886.2	OES_ARAMIS I_E.EDWIN RO	NO	
544068	02/11/2014	ZSCR	551	030-1	NA	'054	5WK43877	NA	A2C53216801MI	1	3011	054	 	1301	Manual insertion assy for CCG (V16)	2	HALB	S.Real	443.1	OES_ARAMIS I_E.EDWIN RO	NO	
544069	02/11/2014	ZSCR	551	030-1	NA	'054	5WK43877	NA	A2C53216801MI	1	3011	054	 	1301	Manual insertion assy for CCG (V16)	2	HALB	S.Real	443.1	OES_ARAMIS I_E.EDWIN RO	NO	
544071	02/11/2014	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054	 	1401	pcb assy	16	HALB	S.Real	415.2	PS_ARAMIS 2013_E.EDWIN	NO	
544079	02/11/2014	ZSCR	551	034-2	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1342	pcb assy HONHRS6 D_20_SW	8	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
544091	02/11/2014	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C53367544	1	3011	054	 	1342	ACU VW10 MY10 M35 08 04 0 0 0 000	12	HALB	S.Real	208.93	PS_VW10 LC_U.ULISES VIL	NO	4983915616
544099	02/11/2014	ZSCR	551	034-2	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1342	pcb assy HONHRS5 V37	5	HALB	S.Real	180.62	PS_HONDA HRS5_.	NO	
544100	02/11/2014	ZSCR	551	040-3	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1403	pcb assy HONHRS5 V37	5	HALB	S.Real	180.62	PS_HONDA HRS5_.	NO	
544109	02/11/2014	ZSCR	551	040-3	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1403	Hyundai circuit board assy 12FL SMD Top	7	HALB	S.Real	158.84	PS_HYUNDAI_.	NO	
544114	02/11/2014	ZSCR	551	040-3	NA	'054	A2C82097900	NA	A2C53405780	1	3011	054	 	1403	housing	1	ROH	NA	26.37	PS_HONDA HRS6_J.JUAN CH	NO	
544117	02/11/2014	ZSCR	551	034-1	NA	'054	A2C91764300	NA	A2C40000025	6	3011	054	 	1341	"C ELEC,AL,6.8mF,20%,35V"	10	ROH	NA	40.98	PS_SDM10+_.	NO	
544119	02/11/2014	ZSCR	551	034-2	NA	'054	A2C82134600	NA	A2C53333520	50	3011	054	 	1342	TYPE LABLE	3	ROH	NA	19	PS_SDM10+_.	NO	
544155	02/11/2014	ZSCR	551	034-2	NA	'054	A2C83016100	NA	A2C82535500	150	3011	054	 	1342	certification label identificati	1	ROH	NA	37.5	PSAD_OPEL 4400_J.JOSE O	NO	
544156	02/11/2014	ZSCR	551	034-2	NA	'054	A2C83046900	NA	A2C83043900	75	3011	054	 	1342	label identificati	2	ROH	NA	84.75	PSAD_LAND ROVER_J.JOSE	NO	
544157	02/11/2014	ZSCR	551	034-2	NA	'054	A2C86329900	NA	A2C83008400	60	3011	054	 	1342	label identificati	1	ROH	NA	12.6	PSAD_VOLVO P15_J.JOSE O	NO	
544158	02/11/2014	ZSCR	551	034-2	NA	'054	A2C89711901	NA	A2C83021500	20	3011	054	 	1342	label identificati	2	ROH	NA	543.2	PSAD_ARMIN_J.JOSE ORTIZ	NO	
544174	02/11/2014	ZSCR	551	030-1	NA	'054	5WY85260	NA	A2C53345102	3	3011	054	 	1301	ACU MY09 M20 10	1	HALB	S.Real	863.04	PSAD_EPSILON_O.OSCAR FO	NO	
544177	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53345102	NA	A2C53183409	6	3011	054	 	1301	circuit board assy	2	HALB	S.Real	1131.06	PSAD_EPSILON_O.OSCAR FO	NO	
544180	02/11/2014	ZSCR	551	030-1	NA	'054	A2C53389850	NA	A2C53391886	1	3011	054	 	1301	circuit board assy	1	HALB	S.Real	202.75	PSAD_EPSILON_O.OSCAR FO	NO	
