No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	 Valor 	No.Docto.SAP
123073	ZSCR	551	034-2	NA	5WK44385	NA	A2C53163642	32	3011	054		1342	housing FIP	NA	ROH	NA	 $602.24 	
124191	ZSCR	551	040-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1401	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287809
124230	ZSCR	551	040-5	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1405	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287795
124231	ZSCR	551	042-4	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1424	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287757
124232	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287826
124288	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287826
124448	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287826
124523	ZSCR	551	042-4	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1424	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287768
124524	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	3011	054		1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	 $568.38 	4956287826
124534	ZSCR	551	034-1	NA	5WY8749	1	5WY8749	1	3011	054		1341	OPEL EPS AEPSOPGA04M00	NA	FERT	NA	 $521.74 	
123746	ZSCR	551	040-1	NA	A2C37820600	NA	A2C37820600	1	3011	054		1401	ACU DAGARM2 MY08 RO 18 W/S 212	NA	FERT	NA	 $520.29 	
122662	ZSCR	551	040-5	NA	5WK43767	NA	A2C53142626	2	3011	054		1405	airbag control elect MY07	NA	HALB	S.Real	 $516.88 	4956287993
123827	ZSCR	551	040-3	NA	5WK43766	NA	A2C53142579	2	3011	054		1403	airbag control elect MY07	NA	HALB	S.Real	 $516.88 	4956288035
120025	ZSCR	551	030-1	NA	5WK44014	NA	5WK44014	1	3011	054		1301	AIRBAG HONDA CRV07 HE R	NA	FERT	NA	 $500.89 	
120037	ZSCR	551	040-1	NA	5WK44016	NA	5WK44016	1	3011	054		1401	AIRBAG HONDA CRV07 HE R	NA	FERT	NA	 $500.89 	
88017	MB1A	951	025-3	NA	NA	2	5WK44526	1	3011	054		1253	X204 WS212W/PyroPPSg W/RO WO/PO Aramis 3	VUG014969	FERT	NA	 $494.50 	
123571	ZSCR	551	034-2	NA	5WY72980	NA	A2C00022224	32	3011	054		1342	housing	NA	ROH	NA	 $486.72 	
123607	ZSCR	551	040-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1401	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	 $486.10 	4956287945
