No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	d	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C53333520	200				1342	TYPE LABLE	2	ROH	NA	76	PS_SDM10+_.	NO	
543379	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	6				1301	circuit board assy	9	HALB	S.Real	762	PSAD_GM BRASIL_A.ANA TA	NO	
543381	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	12	3011	054	 	1301	pcb IEEZZDIV BOSE IEE VW3	18	ROH	NA	112.8	OC_BOSE VW_A.ANA TAPIA-	NO	4983653738
543388	01/11/2014	ZSCR	551	030-1	NA	'054	A2C8021730002	NA	A2C8021730093	1				1301	pcb assy HONHRS6 V06 TOP	1	HALB	S.Real	142.19	PS_HONDA HRS6_J.JUAN CH	NO	
543389	01/11/2014	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	17	HALB	S.Real	256.95	PS_SDM30_.	NO	
543390	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543391	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	1				1301	pcb assy DAGARM3 RO V17EDR	3	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
543392	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1				1301	pcb assy DAGARM3 RO V17EDR	8	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
543393	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	2				1301	pcb assy DAGARM3 RO V17EDR	8	HALB	S.Real	853.14	PS_ARAMIS III_E.EDWIN R	NO	
543397	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	11	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
543399	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	11	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
543401	01/11/2014	ZSCR	551	030-1	NA	'054	5WK44285	NA	A2C53367544	1				1301	ACU VW10 MY10 M35 08 04 0 0 0 000	4	HALB	S.Real	208.93	PS_VW10 LC_U.ULISES VIL	NO	
543402	01/11/2014	ZSCR	551	030-1	NA	'054	A2C5340491402	NA	A2C5340491402	1				1301	pcb assy HONHRS5 V30 REV 02	6	HALB	S.Real	326.89	PS_HONDA HRS5_.	NO	
543404	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
543406	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543407	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	2	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	739.04	PS_ARAMIS III_E.EDWIN R	NO	
543408	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543410	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644601	NA	A2C8153120093	1				1301	pcb assy DAGARM3 V14 TOP	7	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543411	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543412	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
543413	01/11/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	2	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	739.04	PS_ARAMIS III_E.EDWIN R	NO	
543443	01/11/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	3011	054	 	1301	pcb assy HONHRS6 V04 TOP	17	HALB	S.Real	264.89	PS_HONDA HRS6_J.JUAN CH	NO	
543445	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53374378A	NA	A2C53374377	1	3011	054	 	1301	pcb VW ZZDIV AC	20	ROH	NA	15.86	PS_VW10 LC_U.ULISES VIL	NO	4983653783
543450	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
543461	01/11/2014	ZSCR	551	030-1	NA	'054	A2C3511610092	NA	A2C35115900	18				1301	pcb 6-lay FR-4 main	1	ROH	NA	453.96	PSAD_DAIMLER STAR 2_A.A	NO	
543466	01/11/2014	ZSCR	551	030-1	NA	'054	A2C32453910	NA	A2C3511610193	1				1301	pcb assy DAGSTAR2 D_12 SMD TOP	2	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	
