No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
559528	03/12/2014	MB1A	551	062-4	NA	'054	NA	NA	A2C31769100	2				1624	pin header 50P H 2R PF 1018 13	NA	ROH	NA	26.52	PSAD_VW20_U.ULISES VILL	NO			
559583	03/12/2014	MB1A	551	025-3	K96019	'054	NA	NA	A2C94832301	8				1095	pcb assy DAGSTAR22 D_2-1	NA	HALB	S.Real	4778.08	PSAD_DAIMLER STAR2_ISC_	NO			
559650	03/12/2014	ZSCR	551	040-3	NA	'054	A2C83021100	NA	A2C83021100	1				1403	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real/AutoBF	318.38	PSAD_ARMIN_J.JOSE ORTIZ	NO			
559807	04/12/2014	ZSCR	551	030-1	NA	'054	A2C8021770002	NA	A2C8021770092	1				1301	pcb assy HONHRS6 V20 BOTTOM	NA	HALB	S.Real/AutoBF	51.56	PS_HONDA HRS6_J.JUAN CH	NO			
559818	04/12/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559823	04/12/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559824	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559826	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559827	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559829	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559830	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559833	04/12/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559834	04/12/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559835	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559837	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559838	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO			
559840	04/12/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1				1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_.	NO	4984758113		
559842	04/12/2014	ZSCR	551	030-1	NA	'054	A2C8337810093	NA	A2C8337810092	2				1301	pcb assy JAGX150 RCM lado bottom	NA	HALB	S.Real/AutoBF	272.82	PSAD_JAGUAR X1_J.JOSE O	NO			
559843	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080093	NA	A2C9449080093	1				1301	pcb assy HONHRS5 V28 TOP	NA	HALB	S.Real	144.44	PS_HONDA HRS6_J.JUAN CH	NO	4984758212		
559844	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080093	NA	A2C9449080093	1				1301	pcb assy HONHRS5 V28 TOP	NA	HALB	S.Real	144.44	PS_HONDA HRS6_J.JUAN CH	NO	4984758212		
559845	04/12/2014	ZSCR	551	030-1	NA	'054	A2C9449080092	NA	A2C9449080092	1				1301	pcb assy HONHRS5 V37 BOTTOM	NA	HALB	S.Real/AutoBF	49.8	PS_HONDA HRS6_J.JUAN CH	NO			
559853	04/12/2014	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	4				1301	pcb assy	NA	HALB	S.Real/AutoBF	385	OC_BOSE VW_A.ANA TAPIA-	NO			
559854	04/12/2014	ZSCR	551	030-1	NA	'054	A2C53395077	NA	A2C53395076	14				1301	pcb IEEZZDIV	NA	ROH	NA	102.76	OC_BOSE BMW_A.ANA TAPIA	NO	4984757039		
