No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00046692	2	1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.04	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00000407	4	1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	0.88	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00563300	28	1351	"MMSZ4681/-,2.4V,500mW,SOD-123"		ROH	NA	4.2	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00022031	21	1351	"4,EQ ISO,konvex 1206,7K5,1%,63mW,NET RES"		ROH	NA	1.05	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00004364	18	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.18	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00032168	10	1351	"R LIN,1K3,1%,TK100,63mW,0402"		ROH	NA	0.1	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00019595	14	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.14	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00060691	61	1351	"T BIP/BCR35PN or PUMD9,SOT363"		ROH	NA	9.15	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00059117	7	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"		ROH	NA	0.35	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00020588	1	1351	"R LIN,82R5,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00010918	1	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00007695	66	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	9.9	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257220092	NA	A2C00292100	10	1351	"SEN/SYCAMORE,ACC, XY, 100g,OHT"		ROH	NA	128	PS_SDM30_L.LPL AUTOMATI	NO	
