No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
623728	25/05/2015	ZSCR	551	040-1	NA	'054	A2C53364457	NA	A2C53364457A	4	3011	054	 	1401	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	309.08	OC_BOSE VW_A.ANA TAPIA-	NO	
623861	26/05/2015	ZSCR	551	030-1	NA	'054	A2C90500300	NA	A2C90247200	1	3011	054	 	1301	pcb assy HONHRS6 D_14	NA	HALB	S.Real	177.38	PS_HONDA HRS6_J.JUAN CH	NO	4990393865
623863	26/05/2015	ZSCR	551	030-1	NA	'054	6592827601V02	NA	A2C53287874	6	3011	054	 	1301	pcb assy	NA	HALB	S.Real	344.64	OC_OCS NISSAN_A.ANA TAP	NO	4990393744
623895	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623902	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623904	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623906	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623908	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623911	26/05/2015	ZSCR	551	030-1	NA	'054	A2C38070400	NA	A2C3320950093	1	3011	054	 	1301	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	126.2	PS_FIAT BRAZIL_.	NO	4990393695
623917	26/05/2015	ZSCR	551	030-1	NA	'054	A2C81625900	NA	A2C53399617A	1	3011	054	 	1301	circuit board assy	NA	HALB	S.Real	178.36	PS_HONDA HRS5_.	NO	
623923	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00049991	1	3011	054	 	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.86	PS_VW10 LC_.	NO	
623923	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53417068A	NA	A2C53374377	1	3011	054	 	1301	pcb VW ZZDIV AC	NA	ROH	NA	17.1	PS_VW10 LC_.	NO	
623924	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00049991	1	3011	054	 	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.86	PS_VW10 LC_.	NO	
623924	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
623925	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00049991	1	3011	054	 	1301	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	0.86	PS_VW10 LC_.	NO	
623925	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
623927	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C00023541	1	3011	054	 	1301	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	2.26	PS_VW10 LC_.	NO	
623927	26/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
