Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc.HeaderTex	No.Docto.SAP
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429645	28	1342	"14 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	60.48	S1TIPMMEDIUMPABLOPA	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429649	9	1342	"TERM,CONN,F,6CONT,CONNECTORS, FORK"	NA	ROH	NA	50.58	S1TIPMMEDIUMPABLOPA	4957735041
ZSCR	551	035-1	0	A2C53300685	NA	A2C00004580	4	1351	"309K,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	S5RXM	4957734801
ZSCR	551	035-1	0	A2C53300685	NA	A2C00043666	4	1351	"33uF,10%,35V,SMD,TA, Case E, ELEC CAP/"		ROH	NA	32.08	S5RXM	4957734801
ZSCR	551	035-1	0	A2C53300685	NA	A2C00046196	4	1351	"47uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	3.36	S5RXM	4957734801
ZSCR	551	035-1	0	A2C53300685	NA	A2C53042942	4	1351	"WHITE,0nm,SIDELED,101 ... 120grd,LED/LW"		ROH	NA	4.68	S5RXM	4957734801
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00043735	8	1351	"1,N_CHAN,MOS,POWER,60V,2.6A,150mOhm,SOT2"		ROH	NA	10.96	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00044973	7	1351	"8,BUFFER,TSSOP20,LOGIC/74AHCT244PW"		ROH	NA	4.97	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00057053	7	1351	"TRANSCEIVER,High Speed CAN/Lin,HTSSOP32,"		ROH	NA	99.75	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00000380	7	1351	"600V,3A,1,STANDARD,SMC DO214AB,RECT DIOD"		ROH	NA	3.64	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00038238	15	1351	"47R,1%,TK50,1W,MELF0207,LIN RES/"		ROH	NA	3.6	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00049779	7	1351	"22uH,3.5A,SMD,COIL/SLF12565"		ROH	NA	23.66	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C53331174	7	1351	antenna		ROH	NA	11.55	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C53331175	7	1351	antenna		ROH	NA	11.2	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C53341943	7	1351	receiver bleifrei		ROH	NA	188.09	S5ECU08	4957734869
ZSCR	551	035-1	0	A2C53364288	NA	A2C00026738	12	1351	"18pF,1%,50V,C0G,0603,TINNED,CER CAP/++RF"		ROH	NA	0.6	S5FOBSLOT08	4957734860
ZSCR	551	035-1	0	A2C53335967B	NA	A2C00034525	10	1351	"2.36mH,30mA,SMD,COIL/CAS11D28 ++PLS USE"		ROH	NA	23.5	S5FOBSLOT08	4957734843
ZSCR	551	035-1	0	A2C53426161	NA	A2C00040850	20	1351	"100nH,300mA,SMD,COIL/LQG18"		ROH	NA	2.8	S5FOBSLOT08	4957734880
ZSCR	551	035-1	0	A2C53426161B	NA	A2C00156400	19	1351	"L COIL/CAS143,2.36mH,5mA,3-D SMD Transpo"		ROH	NA	308.75	S5FOBSLOT08	4957734890
ZSCR	551	035-1	0	A2C53428700T	NA	A2C40002181	46	1351	"R LIN,39K,5%,TK200,100mW,0603"		ROH	NA	0.46	S1TIPMLOGIC	4957734906
ZSCR	551	035-1	0	A2C53328411B	NA	A2C00004446	5	1351	"15K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.05	S1DCU	4957734819
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00004446	10	1351	"15K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.1	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53328411B	NA	A2C00018230	10	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	1.7	S1DCU	4957734819
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00018230	40	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	6.8	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00018230	21	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	3.57	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00025110	20	1351	"15uF,10%,10V,SMD,TA,ELEC CAP/LOW ESR +++"		ROH	NA	12	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00030938	21	1351	"4,EQ ISO,konvex 1206,1K,5%,63mW,NET RES/"		ROH	NA	1.05	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53338452T	NA	A2C00034366	40	1351	"2,60V,1.8Ohm,SC74,Relay Driver for coils"		ROH	NA	24.8	S1DCU	4957734852
ZSCR	551	035-1	0	A2C53328412B	NA	A2C00034366	11	1351	"2,60V,1.8Ohm,SC74,Relay Driver for coils"		ROH	NA	6.82	S1DCU	4957734835
ZSCR	551	035-1	0	A2C53328411B	NA	A2C00039430	10	1351	"F BEAD/MMZ2012Y202B,500mOhm,2KOhm,400mA,"		ROH	NA	0.7	S1DCU	4957734819
ZSCR	551	035-1	0	A2C8016300092	NA	A2C00006610	6	1351	"10K,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.06	S1RKEFOBCUSW	4957734933
ZSCR	551	035-1	0	A2C8016280093	NA	A2C00018230	1	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.17	S1RKEFOBCUSW	4957734917
ZSCR	551	035-1	0	A2C8016280092	NA	A2C00032055	1	1351	"680R,1%,TK100,63mW,0402,LIN RES/Resistor"		ROH	NA	0.01	S1RKEFOBCUSW	4957734776
ZSCR	551	035-1	0	A2C8016300092	NA	A2C00032055	2	1351	"680R,1%,TK100,63mW,0402,LIN RES/Resistor"		ROH	NA	0.02	S1RKEFOBCUSW	4957734933
ZSCR	551	035-1	0	A2C8016280092	NA	A2C40000660	1	1351	"IC MCU BLK/MC9S12XEG384CAL,3M25J,LQFP112"		ROH	NA	24.46	S1RKEFOBCUSW	4957734776
ZSCR	551	035-1	0	A2C8016280093	NA	A2C53331174	1	1351	antenna		ROH	NA	1.65	S1RKEFOBCUSW	4957734917
ZSCR	551	035-1	0	A2C8058480093	NA	A2C00064595	17	1351	"SEN/SP37 A4 450kPa Villach+Horten,ATIC12"		ROH	NA	393.55	S1RKEFOBCUSW	4957734943
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00000380	7	1351	"600V,3A,1,STANDARD,SMC DO214AB,RECT DIOD"		ROH	NA	3.64	S5TGECU	4957734869
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00038238	15	1351	"47R,1%,TK50,1W,MELF0207,LIN RES/"		ROH	NA	3.6	S5TGECU	4957734869
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00043735	8	1351	"1,N_CHAN,MOS,POWER,60V,2.6A,150mOhm,SOT2"		ROH	NA	10.96	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00043735	8	1351	"1,N_CHAN,MOS,POWER,60V,2.6A,150mOhm,SOT2"		ROH	NA	10.96	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00044973	7	1351	"8,BUFFER,TSSOP20,LOGIC/74AHCT244PW"		ROH	NA	4.97	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00044973	7	1351	"8,BUFFER,TSSOP20,LOGIC/74AHCT244PW"		ROH	NA	4.97	S5TGECU	4957734873
ZSCR	551	035-1	0	A2C53406354A	NA	A2C00049779	7	1351	"22uH,3.5A,SMD,COIL/SLF12565"		ROH	NA	23.66	S5TGECU	4957734869
ZSCR	551	035-1	0	A2C53406354B	NA	A2C00057053	7	1351	"TRANSCEIVER,High Speed CAN/Lin,HTSSOP32,"		ROH	NA	99.75	S5TGECU	4957734873
