No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
119111	ZSCR	551	030-1	NA	A2C53390797T	NA	A2C53390797T	5	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	486.7	4955970440
119113	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	2	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	78.6	4955970511
119117	ZSCR	551	030-1	NA	S122736040	NA	A2C53334349	1	1301	module assy USM IKEY RHD	NA	HALB	S.Real	298.23	4955970325
119119	ZSCR	551	030-1	NA	5WK50244	NA	A2C53361994	1	1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	336.29	4955970351
119163	ZSCR	551	040-2	NA	5WY7700	NA	A2C00039070	1	1402	"100mA,12V,HOL,OTHER,SWITCH/"	NA	ROH	NA	8.34	4955969539
119163	ZSCR	551	040-2	NA	5WY7700	NA	A2C53117565	6	1402	male connector 12P H 2R THP	NA	ROH	NA	20.64	4955969539
119163	ZSCR	551	040-2	NA	5WY7700	NA	A2C53117567	5	1402	"pan head screw 3,0 x 6,00 heat"	NA	ROH	NA	0.75	4955969539
119219	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386110	1	1402	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969695
119221	ZSCR	551	040-2	NA	5WY7700	NA	A2C53184512	1	1402	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4955969677
119243	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111B	3	1301	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	227.1	4955970571
119244	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	3	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	167.58	4955970294
119248	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	1	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	55.86	4955970294
119260	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119263	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119264	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119266	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297306B	2	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4955970306
119268	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	1	1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955969357
119270	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119272	ZSCR	551	040-3	NA	5WK49613C	NA	A2C53297308B	1	1403	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	50.79	4955969370
119274	ZSCR	551	030-1	NA	5WK49894C	NA	A2C53359316B	1	1301	Subassy KOR 3B 2nd bundle BOT	NA	HALB	S.Real	50.79	4955970339
119277	ZSCR	551	030-1	NA	5WK50316C	NA	A2C53367590B	3	1301	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	152.58	4955970380
119279	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119281	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119283	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119285	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119287	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119289	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119292	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	2	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4955970285
119294	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119296	ZSCR	551	030-1	NA	5WK49670C	NA	A2C53285996B	1	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955970285
119298	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	1	1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4955969357
119299	ZSCR	551	040-2	NA	5WK49611	NA	A2C53297308B	1	1402	SMD Subassy NIS EUR 433. 2bundle	NA	HALB	S.Real	50.79	4955969558
119300	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53297309B	1	1402	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4955969569
119301	ZSCR	551	040-3	NA	5WK50316C	NA	A2C53367590B	4	1403	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	203.44	4955969419
119303	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53323916	1	1403	slide	NA	ROH	NA	0.8	4955969327
119303	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53358639	3	1403	contact spring	NA	ROH	NA	1.68	4955969327
119303	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53385463	1	1403	pushbutton	NA	ROH	NA	10.18	4955969327
