No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
557005	28/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74094301	13				1232	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	1061.06	S1_PASE FOB CUSW_A.ADRI	NO				
557005	28/11/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	6				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	495.66	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C73752902	NA	A2C73752902	4	3011	015	 	1505	transmitter CHR PASE 433 GV#01 5B	NA	HALB	S.Real	388.68	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C73753002	NA	A2C73753002	3	3011	015	 	1505	transmitter CHR PASE 433 GV#04 5B	NA	HALB	S.Real	291.51	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C73753202	NA	A2C73753202	5	3011	015	 	1505	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	479.7	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C73753502	NA	A2C73753502	5	3011	015	 	1505	transmitter CHR PASE 433 GV#09 3B	NA	HALB	S.Real	452.35	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C73753602	NA	A2C73753602	31	3011	015	 	1505	transmitter CHR PASE 433 GV#10 3B	NA	HALB	S.Real	2822.55	S1_PASE FOB CUSW_A.ADRI	NO				
557007	28/11/2014	ZSCR	551	050-5	NA	'015	A2C74510000	NA	A2C74510000	1				1505	transmitter CHR PASE 315 GV#23 3B	NA	HALB	S.Real/AutoBF	85.23	S1_PASE FOB CUSW_A.ADRI	NO	4985024208			
557010	28/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C00019459	250				1253	sticker identi spool unprin	VUT019064	ROH	NA	177.5	S1_CUSW UF RFHM_A.ADRIA	NO				
557011	28/11/2014	MB1A	951	025-3	NA	'015	NA	08AC	A2C86022600	15				1253	parts kit assy Var 2	VUT015657	FERT	NA	5144.85	S1_CUSW UF RFHM_A.ADRIA	NO	**			
557012	28/11/2014	MB1A	951	025-3	NA	'015	NA	0404AA	A2C93174800	7				1253	parts kit assy 315 Var #7	VUT015657	FERT	NA	2562.7	S1_RFHM CUSW_A.ADRIANA	NO	**			
557013	28/11/2014	MB1A	951	025-3	NA	'015	NA	501AA	A2C93174400	28				1253	parts kit assy 433 Var #3	VUT019064	FERT	NA	10654.84	S1_RFHM CUSW_A.ADRIANA	NO	**			
557014	28/11/2014	MB1A	951	025-3	NA	'015	NA	0402AA	A2C93493000	32				1253	parts kit assy 433 WK	VUT019064	FERT	NA	11417.28	S1_WK_WD RFHUB_A.ADRIAN	NO	**			
557015	28/11/2014	MB1A	951	025-3	NA	'015	NA	66AA	A2C93492700	10				1253	parts kit assy 433 WK SRT	VUT019064	FERT	NA	3567.4	S1_WK_WD RFHUB_A.ADRIAN	NO	**			
557016	28/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C87409001	99				1253	module assy 433 Var #1	VUT015657	HALB	S.Real/AutoBF	17567.55	S1_CUSW UF RFHM_A.ADRIA	NO				
557017	28/11/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C87409001	17				1253	module assy 433 Var #1	VUT015657	HALB	S.Real/AutoBF	3016.65	S1_CUSW UF RFHM_A.ADRIA	NO				
557020	28/11/2014	ZSCR	551	040-3	NA	'015	A2C74094301	NA	A2C74094301	13				1403	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	1061.06	S1_PASE FOB CUSW_A.ADRI	NO	4985023772			
557032	28/11/2014	ZSCR	551	030-1	NA	'015	A2C74493401	NA	A2C7449340193	2	3011	015	 	1301	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO				
557033	28/11/2014	ZSCR	551	040-4	NA	'015	A2C74493401	NA	A2C74493401	1				1404	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023890			
557034	28/11/2014	ZSCR	551	034-2	NA	'015	A2C74510300	NA	A2C74510300	1				1342	pcb top PF BCU CHR high DS/TEST	NA	HALB	S.Real/AutoBF	422.08	S1_CBC_P.PABLO PALMER-C	NO	4985023526			
557036	28/11/2014	ZSCR	551	040-5	NA	'015	A2C90502800	NA	A2C9113260093	8	3011	015	 	1405	pcb assy PASE 433 Top	NA	HALB	S.Real	1160.32	S1_CUSW UF RFHM_A.ADRIA	NO				
557044	28/11/2014	ZSCR	551	034-2	NA	'015	A2C87302200	NA	A2C8730220093	3	3011	015	 	1342	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	442.95	S1_CUSW UF RFHM_A.ADRIA	NO				
557048	28/11/2014	ZSCR	551	030-1	NA	'015	A2C8730220093	NA	A2C8730220093	1	3011	015	 	1301	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	147.65	S1_CUSW UF RFHM_A.ADRIA	NO				
