No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	015	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
557490	29/11/2014	ZSCR	551	034-2	NA	'050	A2C30821600	NA	A2C40014082	1				1342	"IC VOLT REG/TLE7270G,TO263-5-1"	NA	ROH	NA	7.03	S1_TIPM LOGIC_P.PABLO P	NO				
557490	29/11/2014	ZSCR	551	034-2	NA	'050	A2C30821600	NA	A2C40016793	1				1342	"IC SMART POW/L9823,SOLIC24,8,45V,1Ohm,Lo"	NA	ROH	NA	6.31	S1_TIPM LOGIC_P.PABLO P	NO				
557490	29/11/2014	ZSCR	551	034-2	NA	'050	68163903AB	NA	A2C53428197	100				1342	TERMINAL STRIP	NA	ROH	NA	213	S1_TIPM LOGIC_P.PABLO P	NO				
557496	29/11/2014	ZSCR	551	034-2	NA	'015	A2C82167600	NA	A2C82167600	1				1342	pcb assy	NA	HALB	S.Real/AutoBF	174.12	S1_WK_WD RFHUB_A.ADRIAN	NO	4985023546			
557500	29/11/2014	ZSCR	551	034-2	NA	'015	A2C73789705	NA	A2C73789705	1				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	417.3	S1_CBC MY15_. (APROBAC	NO	4985023484			
557501	29/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	1				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023502			
557560	29/11/2014	ZSCR	551	034-2	NA	'015	A2C89861500	NA	A2C3229710093	2	3011	015	 	1342	CUSW PCB ASSY BOT	NA	HALB	S.Real	48.3	S1_RKE FOB CUSW_A.ADRIA	NO				
557561	29/11/2014	ZSCR	551	040-3	NA	'015	A2C89861600	NA	A2C3229710093	18	3011	015	 	1403	CUSW PCB ASSY BOT	NA	HALB	S.Real	434.7	S1_RKE FOB CUSW_A.ADRIA	NO				
557563	29/11/2014	ZSCR	551	034-2	NA	'015	A2C86022500	NA	A2C7395960192	3	3011	015	 	1342	pcb topSMD CHR UF 4-BTN bottom	NA	HALB	S.Real	141.48	S1_PASE FOB CUSW_A.ADRI	NO				
557564	29/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7395960192	1				1104	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	47.16	410098771_PASE F	NO				
557564	29/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	3				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	134.7	410098771_PASE F	NO				
557617	29/11/2014	ZSCR	551	034-2	NA	'015	A2C73789605	NA	A2C7378970593	6	3011	015	 	1342	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	2488.2	S1_CBC MY15_. (APROBAC	NO				
557630	30/11/2014	ZSCR	551	030-1	NA	'015	A2C87408800	NA	A2C8216760093	2	3011	015	 	1301	pcb assy Top	NA	HALB	S.Real	341.32	S1_WK_WD RFHUB_A.ADRIAN	NO				
557633	30/11/2014	ZSCR	551	034-2	NA	'015	A2C8730230092	NA	A2C8730230092	8				1342	pcb assy RKE 433 w/oKG Var#4	NA	HALB	S.Real/AutoBF	510.64	S1_CUSW UF RFHM_A.ADRIA	NO	4985023640			
557666	30/11/2014	ZSCR	551	034-2	NA	'015	A2C86022600	NA	A2C8730230093	4	3011	015	 	1342	pcb assy RKE 433 w/oKG Var#4	NA	HALB	S.Real	623.96	S1_CUSW UF RFHM_A.ADRIA	NO				
557678	30/11/2014	ZSCR	551	034-2	NA	'015	A2C73789605	NA	A2C73789705	2				1342	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	834.6	S1_CBC MY15_. (APROBAC	NO	4985023484			
557680	30/11/2014	ZSCR	551	040-3	NA	'015	A2C74493401	NA	A2C74493401	1				1403	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023785			
557683	30/11/2014	ZSCR	551	040-3	NA	'015	A2C74493401	NA	A2C74493401	2				1403	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	833.52	S1_CBC MY15_. (APROBAC	NO	4985023785			
557687	30/11/2014	ZSCR	551	040-4	NA	'015	A2C86022700	NA	A2C86398501	16	3011	015	 	1404	housing assy	NA	ROH	NA	109.28	S1_WK_WD RFHUB_A.ADRIAN	NO				
557709	30/11/2014	ZSCR	551	040-2	NA	'015	A2C74513301	NA	A2C7451320093	1	3011	015	 	1402	pcb top PF BCU CHR high Ws	NA	HALB	S.Real	400.12	S1_CBC_P.PABLO PALMER-C	NO				
557791	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557804	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557806	30/11/2014	ZSCR	551	042-4	NA	'015	A2C73789605	NA	A2C7378970593	2	3011	015	 	1424	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	829.4	S1_CBC MY15_. (APROBAC	NO				
557809	30/11/2014	ZSCR	551	034-2	NA	'015	A2C73789605	NA	A2C7378970593	1	3011	015	 	1342	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	414.7	S1_CBC MY15_. (APROBAC	NO				
557809	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	3	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1242.48	S1_CBC MY15_. (APROBAC	NO				
557814	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74511901	NA	A2C7451030093	6	3011	015	 	1342	pcb top PF BCU CHR high DS/TEST }	NA	HALB	S.Real	2400.72	S1_CBC_P.PABLO PALMER-C	NO				
557816	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	2	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	828.32	S1_CBC MY15_. (APROBAC	NO				
557915	30/11/2014	ZSCR	551	034-2	NA	'050	A2C8216760093	NA	A2C8216760092	4				1342	pcb assy Bottom	NA	HALB	S.Real/AutoBF	280.6	S1_WK_WD RFHUB_A.ADRIAN	NO	4985023585			
557918	30/11/2014	ZSCR	551	034-2	NA	'050	A2C32293500	NA	A2C35130200	4				1342	"RF-JACK FOR RS, KEY-H"	NA	ROH	NA	30.12	S1_WK_WD RFHUB_A.ADRIAN	NO				
557918	30/11/2014	ZSCR	551	034-2	NA	'050	A2C32292200	NA	A2C35130400	9				1342	"16-way connector, PIN&PASTE"	NA	ROH	NA	69.93	S1_WK_WD RFHUB_A.ADRIAN	NO				
557918	30/11/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	2				1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	42.16	S1_WK_WD RFHUB_A.ADRIAN	NO				
557920	30/11/2014	ZSCR	551	034-2	NA	'050	A2C53428272T	NA	A2C00833800	17				1342	"IC SMART POW/-,12.00 X 12.00 / 1.00,4,41"	NA	ROH	NA	333.71	S1_TIPM LOGIC_P.PABLO P	NO				
557941	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557942	30/11/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
557943	30/11/2014	ZSCR	551	042-4	NA	'015	A2C74493401	NA	A2C74493401	1				1424	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023929			
557944	30/11/2014	ZSCR	551	034-2	NA	'015	A2C32292400	NA	A2C8016290093	1	3011	015	 	1342	pcb assy RKE 433 w/oKG Var#3 TOP	NA	HALB	S.Real	116.55	S1_RFHM CUSW_A.ADRIANA	NO	4985024407			
557946	30/11/2014	ZSCR	551	034-2	NA	'015	A2C81624200	NA	A2C8216760093	1	3011	015	 	1342	pcb assy Top	NA	HALB	S.Real	170.66	S1_WK_WD RFHUB_A.ADRIAN	NO				
557957	30/11/2014	ZSCR	551	034-2	NA	'015	A2C93174401	NA	A2C3813640092	1	3011	015	 	1342	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	NA	HALB	S.Real	50.24	S1_PASE FOB CUSW_A.ADRI	NO				
557958	30/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C38136400	11				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS)"""	QN410098771	HALB	S.Real/AutoBF	555.39	410098771_PASE F	NO				
557959	30/11/2014	MB1A	551	010-4	95000021	'050	NA	NA	A2C7395960193	9				1104	pcb topSMD CHR UF 4-BTN	QN410098771	HALB	S.Real/AutoBF	324.72	410098771_PASE F	NO				
557960	30/11/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	2				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	89.8	410098771_PASE F	NO				
557961	30/11/2014	ZSCR	551	034-2	NA	'015	A2C7395960192	NA	A2C7395960192	10	3011	015	 	1342	pcb topSMD CHR UF 4-BTN bottom	NA	HALB	S.Real	471.6	S1_PASE FOB CUSW_A.ADRI	NO				
557964	01/12/2014	ZSCR	551	034-2	NA	'015	A2C3808140092	NA	A2C3808140092	1	3011	015	 	1342	"""SUB FOBIK PCB T-ASM, NA/EU(U L T) B"""	NA	HALB	S.Real	45.34	S1_PASE FOB CUSW_A.ADRI	NO	4985024717			
557965	01/12/2014	ZSCR	551	034-2	NA	'015	A2C7441340092	NA	A2C7441340092	4	3011	015	 	1342	electronic assy PASE 433 Fiat E45 Bottom	NA	HALB	S.Real	179.6	S1_PASE FOB CUSW_A.ADRI	NO				
557966	01/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	5				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	224.5	410098771_PASE F	NO				
557967	01/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3808140092	3				1104	"""SUB FOBIK PCB T-ASM, NA/EU(U L T) B"""	QN410098771	HALB	S.Real	136.02	410098771_PASE F	NO				
557968	01/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	2				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	89.8	410098771_PASE F	NO				
558012	01/12/2014	ZSCR	551	034-2	NA	'015	A2C7449340193	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
558017	01/12/2014	ZSCR	551	030-1	NA	'015	A2C8016290093	NA	A2C8016290093	1	3011	015	 	1301	pcb assy RKE 433 w/oKG Var#3 TOP	NA	HALB	S.Real	116.55	S1_RFHM CUSW_A.ADRIANA	NO				
558018	01/12/2014	ZSCR	551	034-2	NA	'015	A2C8016290093	NA	A2C8016290093	1	3011	015	 	1342	pcb assy RKE 433 w/oKG Var#3 TOP	NA	HALB	S.Real	116.55	S1_RFHM CUSW_A.ADRIANA	NO				
558024	01/12/2014	ZSCR	551	040-1	NA	'015	A2C74493401	NA	A2C74493401	2				1401	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	833.52	S1_CBC MY15_. (APROBAC	NO	4985023706			
558026	01/12/2014	ZSCR	551	040-1	NA	'015	A2C73789705	NA	A2C73789705	1				1401	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	417.3	S1_CBC MY15_. (APROBAC	NO	4985023691			
558028	01/12/2014	ZSCR	551	040-4	NA	'015	A2C74493301	95AA	A2C74493301	1				1404	BCU CHRDX MY15 CBC2	NA	FERT	NA	451.98	S1_CBC MY15_. (APROBAC	NO	4985017100			
558029	01/12/2014	MB1A	551	010-3	B30301-00410	'015	NA	NA	A2C73637100	1				1103	"HOUSING, UPPER CBC"	QN410103068	ROH	NA	24.02	410103068_CBC MY	NO				
558032	01/12/2014	ZSCR	551	040-4	NA	'015	A2C73751901	NA	A2C73751400	80	3011	015	 	1404	pad Vent	NA	ROH	NA	100.8	S1_RKE FOB CUSW_A.ADRIA	NO				
558032	01/12/2014	ZSCR	551	040-4	NA	'015	A2C85886700	NA	A2C85520000	80	3011	015	 	1404	housing bottom LWR HSG	NA	ROH	NA	148.8	S1_RKE FOB CUSW_A.ADRIA	NO				
558032	01/12/2014	ZSCR	551	040-4	NA	'015	A2C85886700	NA	A2C85520100	80	3011	015	 	1404	sticker Dodge Jwl	NA	ROH	NA	483.2	S1_RKE FOB CUSW_A.ADRIA	NO				
558091	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74094301	7				1232	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	571.34	S1_PASE FOB CUSW_A.ADRI	NO				
558091	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	6				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	495.66	S1_PASE FOB CUSW_A.ADRI	NO				
558091	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023400	2				1232	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	170.46	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C73752902S	NA	A2C73752902	14	3011	015	 	1505	transmitter CHR PASE 433 GV#01 5B	NA	HALB	S.Real	1360.38	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C92629100	NA	A2C73753002	1	3011	015	 	1505	transmitter CHR PASE 433 GV#04 5B	NA	HALB	S.Real	97.17	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C73753202S	NA	A2C73753202	13	3011	015	 	1505	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	1247.22	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C73753602S	NA	A2C73753602	1	3011	015	 	1505	transmitter CHR PASE 433 GV#10 3B	NA	HALB	S.Real	91.05	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C87408401	NA	A2C73937402	4	3011	015	 	1505	transmitter CHR PASE 315 GV#13 2B	NA	HALB	S.Real	354.28	S1_PASE FOB CUSW_A.ADRI	NO				
558095	01/12/2014	ZSCR	551	050-5	NA	'015	A2C93493000	NA	A2C74101702	2				1505	transmitter CHR PASE 433 GV#15 4B	NA	HALB	S.Real/AutoBF	170.56	S1_PASE FOB CUSW_A.ADRI	NO	4985024184			
558293	01/12/2014	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C82135400	16				1342	pcb panel 4-up	NA	ROH	NA	546.24	S1_WK_WD RFHUB_A.ADRIAN	NO				
558295	01/12/2014	ZSCR	551	034-2	NA	'050	A2C31231300T	NA	A2C31229200	2				1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	122.74	S1_TIPM MEDIUM_P.PABLO	NO				
558295	01/12/2014	ZSCR	551	034-2	NA	'050	5WY8842	NA	A2C53428227	4				1342	PIN	NA	ROH	NA	1.12	S1_TIPM MEDIUM_P.PABLO	NO				
558295	01/12/2014	ZSCR	551	034-2	NA	'050	A2C30889500	NA	A2C53428228	42				1342	PIN	NA	ROH	NA	10.92	S1_TIPM MEDIUM_P.PABLO	NO				
558295	01/12/2014	ZSCR	551	034-2	NA	'050	A2C33279100	NA	A2C53428229	4				1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	1.2	S1_TIPM MEDIUM_P.PABLO	NO				
558297	01/12/2014	ZSCR	551	034-2	NA	'050	A2C31229100T	NA	A2C53428225	2				1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	102.12	S1_TIPM LOGIC_P.PABLO P	NO				
558302	01/12/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	2				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	833.52	S1_CBC MY15_. (APROBAC	NO	4985023502			
558304	01/12/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C74493401	1				1342	pcb topTHD BCU CHRDX CBC2	NA	HALB	S.Real/AutoBF	416.76	S1_CBC MY15_. (APROBAC	NO	4985023502			
558306	01/12/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
558308	01/12/2014	ZSCR	551	042-4	NA	'015	A2C73789605	NA	A2C7378970593	1	3011	015	 	1424	pcb topTHD BCU CHR Wx CBC2 TOP	NA	HALB	S.Real	414.7	S1_CBC MY15_. (APROBAC	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00021664	739				1232	"15pF,1%,50V,C0G,0402,Sn,CER CAP/RF appli"	NA	ROH	NA	14.78	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00021665	246				1232	"3.9pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"	NA	ROH	NA	4.92	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00025034	246				1232	"2.7pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"	NA	ROH	NA	4.92	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00026320	264				1232	"1.2pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"	NA	ROH	NA	5.28	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00026679	1478				1232	"8pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/RF"	NA	ROH	NA	29.56	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00040663	492				1232	"47nH,100mA,SMD,COIL/MLK1005S47NJT"	NA	ROH	NA	39.36	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00040667	264				1232	"L COIL/-,100nH,100mA,SMD"	NA	ROH	NA	21.12	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00042287	264				1232	"C CER,X7R,1uF,10%,16V,0603,Sn"	NA	ROH	NA	15.84	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C00419400	492				1232	"C CER,X7R,100nF,10%,16V,0402,Sn,STANDARD"	NA	ROH	NA	49.2	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C40006551	264				1232	"C CER,C0G,100pF,5%,50V,C0402,Sn"	NA	ROH	NA	2.64	S1_CUSW UF PASE_A.ADRIA	NO				
558341	01/12/2014	MB1A	551	023-2	K96019	'050	NA	NA	A2C40007095	264				1232	"C CER,X7R,47nF,5%,16V,0402,Sn,STANDARD"	NA	ROH	NA	7.92	S1_CUSW UF PASE_A.ADRIA	NO				
558354	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C73753202	26				1232	transmitter CHR PASE 433 GV#06 5B	NA	HALB	S.Real	2494.44	S1_PASE FOB CUSW_A.ADRI	NO				
558360	01/12/2014	ZSCR	551	050-3	NA	'015	A2C32293500	NA	A2C32296000	4				1503	pcb assy PASE 433 w KG Var#6	NA	HALB	S.Real/AutoBF	646.92	S1_RFHM CUSW_A.ADRIANA	NO	4985024087			
558361	01/12/2014	ZSCR	551	050-3	NA	'015	A2C81624200	NA	A2C82167600	4				1503	pcb assy	NA	HALB	S.Real/AutoBF	696.48	S1_WK_WD RFHUB_A.ADRIAN	NO	4985024106			
558396	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C74094301	10				1232	transmitter PASE 433 GV#20 3B	NA	HALB	S.Real/AutoBF	816.2	S1_PASE FOB CUSW_A.ADRI	NO				
558396	01/12/2014	MB1A	551	023-2	K96019	'015	NA	NA	A2C86023300	18				1232	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	1486.98	S1_PASE FOB CUSW_A.ADRI	NO				
558401	01/12/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
558408	01/12/2014	ZSCR	551	034-2	NA	'015	A2C74493401	NA	A2C7449340193	1	3011	015	 	1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	414.16	S1_CBC MY15_. (APROBAC	NO				
558417	01/12/2014	ZSCR	551	034-2	NA	'015	A2C81624200	NA	A2C82167600	9				1342	pcb assy	NA	HALB	S.Real/AutoBF	1567.08	S1_WK_WD RFHUB_A.ADRIAN	NO	4985023546			
558420	01/12/2014	ZSCR	551	034-2	NA	'015	A2C81624200	NA	A2C82167600	1				1342	pcb assy	NA	HALB	S.Real/AutoBF	174.12	S1_WK_WD RFHUB_A.ADRIAN	NO	4985023546			
558581	02/12/2014	ZSCR	551	034-2	NA	'015	A2C7395980192	NA	A2C7395980192	1	3011	015	 	1342	pcb topSMD CHR UF 5-BTN top	NA	HALB	S.Real	50.18	S1_CUSW UF PASE_A.ADRIA	NO				
558582	02/12/2014	MB1A	551	010-4	B30301-00410	'050	NA	NA	A2C7395960193	3				1104	pcb topSMD CHR UF 4-BTN	QN410098771	HALB	S.Real/AutoBF	108.24	410098771_CUSW U	NO				
558583	02/12/2014	MB1A	551	010-4	B30301-00410	'050	NA	NA	A2C8393100093	2				1104	"""SUB FOBIK PCB TOP-ASM, JP(U L) Top"""	QN410098771	HALB	S.Real/AutoBF	62.62	410098771_CUSW U	NO				
558586	02/12/2014	MB1A	551	010-4	B30301-00410	'050	NA	NA	A2C7395980193	1				1104	pcb topSMD CHR UF 5-BTN top	QN410098771	HALB	S.Real/AutoBF	38.62	410098771_CUSW U	NO				
558589	02/12/2014	MB1A	551	010-4	B30301-00410	'050	NA	NA	A2C3813640093	13				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) T"""	QN410098771	HALB	S.Real/AutoBF	502.84	410098771_CUSW U	NO				
558596	02/12/2014	MB1A	551	010-4	B30301-00410	'015	NA	NA	A2C3813640092	3				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	150.72	410098771_CUSW U	NO				
558596	02/12/2014	MB1A	551	010-4	B30301-00410	'015	NA	NA	A2C7395960192	2				1104	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	94.32	410098771_CUSW U	NO				
558596	02/12/2014	MB1A	551	010-4	B30301-00410	'015	NA	NA	A2C7441340092	8				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	359.2	410098771_CUSW U	NO				
558630	02/12/2014	ZSCR	551	030-1	NA	'050	A2C73785403	NA	A2C73599005	4				1301	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	398.56	S1_CBC MY15_. (APROBAC	NO				
558639	02/12/2014	ZSCR	551	034-2	NA	'050	68163903AB	NA	A2C53428196	56				1342	"CONN,1 ROW,7CONT,1 ROW,MALE,7CONT,2.54MM"	NA	ROH	NA	356.72	S1_TIPM LOGIC_P.PABLO P	NO				
558639	02/12/2014	ZSCR	551	034-2	NA	'050	A2C30889500	NA	A2C53428230	1320				1342	CONNECTOR FEADER	NA	ROH	NA	105.6	S1_TIPM LOGIC_P.PABLO P	NO				
558647	02/12/2014	ZSCR	551	034-2	NA	'050	A2C32292200	NA	A2C35130000	28				1342	"20-way connector, PIN&PASTE"	NA	ROH	NA	247.8	S1_WK_WD RFHUB_A.ADRIAN	NO				
558647	02/12/2014	ZSCR	551	034-2	NA	'050	A2C32293100	NA	A2C35130200	41				1342	"RF-JACK FOR RS, KEY-H"	NA	ROH	NA	308.73	S1_WK_WD RFHUB_A.ADRIAN	NO				
558647	02/12/2014	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C35130400	51				1342	"16-way connector, PIN&PASTE"	NA	ROH	NA	396.27	S1_WK_WD RFHUB_A.ADRIAN	NO				
558649	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8844	NA	A2C00062952	21				1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	172.62	S1_TIPM MEDIUM_P.PABLO	NO				
558649	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40018533	18				1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	78.48	S1_TIPM MEDIUM_P.PABLO	NO				
558649	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C53428219	5486				1342	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	438.88	S1_TIPM MEDIUM_P.PABLO	NO				
558650	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40018531	26				1342	"EM RELAY,TBD,TWIN,12V, EX2-2U1J"	NA	ROH	NA	193.96	S1_TIPM MEDIUM_P.PABLO	NO				
558651	02/12/2014	ZSCR	551	034-2	NA	'050	A2C73784000	NA	A2C00184100	3				1342	"IC SMART POW/BOSS PENTA 3/2 or SPLP0717,"	NA	ROH	NA	44.1	S1_CBC_P.PABLO PALMER-C	NO				
558652	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40015254	3				1342	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	50.55	S1_TIPM MEDIUM_P.PABLO	NO				
558655	02/12/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40018529	17				1342	"IC OTH/MC14051D,SO-16"	NA	ROH	NA	16.15	S1_TIPM MEDIUM_P.PABLO	NO				
558668	02/12/2014	ZSCR	551	034-2	NA	'015	A2C3229710093	NA	A2C3229710093	7	3011	015	 	1342	CUSW PCB ASSY BOT	NA	HALB	S.Real	169.05	S1_RKE FOB CUSW_A.ADRIA	NO	4985024539			
558817	02/12/2014	ZSCR	551	035-1	0	'015	A2C85886700	NA	A2C85520100	189	3011	015	 	1351	sticker Dodge Jwl		ROH	NA	1141.56	S1_PASE FOB CUSW_J.JORG	NO				
558912	02/12/2014	ZSCR	551	034-2	NA	'015	A2C81624700	NA	A2C8216770093	2	3011	015	 	1342	pcb assy Top	NA	HALB	S.Real	336.48	S1_WK_WD RFHUB_A.ADRIAN	NO				
