No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	p
295509	29/04/2013	ZSCR	551	040-1	NA	'045	A2C87230500	NA	A2C87230500	1	1401	pcb assy BCU L42A NAM	NA	HALB	S.Real/AutoBF	262.81	S2_BCM_RODRIGO CERVANTE	NO	4966993853
295510	29/04/2013	ZSCR	551	040-1	NA	'045	A2C87230500	NA	A2C87230500	1	1401	pcb assy BCU L42A NAM	NA	HALB	S.Real/AutoBF	262.81	S2_BCM_RODRIGO CERVANTE	NO	4966993853
295512	29/04/2013	ZSCR	551	040-1	NA	'045	A2C87230500	NA	A2C87230500	3	1401	pcb assy BCU L42A NAM	NA	HALB	S.Real/AutoBF	788.43	S2_BCM_RODRIGO CERVANTE	NO	4966993853
295523	30/04/2013	ZSCR	551	034-2	NA	'015	6598177632	NA	6598177632	35	1342	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	850.85	S1_CORPORATE_ADRIAN CEB	NO	4966994010
295528	30/04/2013	ZSCR	551	034-2	NA	'015	6598177632	NA	6598177632	35	1342	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	850.85	S1_CORPORATE_ADRIAN CEB	NO	4966994010
295567	30/04/2013	ZSCR	551	040-3	NA	'045	A2C34710800	NA	A2C34710800	1	1403	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	479.61	S1_GLOBAL A_LUIS LIZARR	NO	4966993517
295571	30/04/2013	ZSCR	551	040-2	NA	'045	A2C30852700	NA	A2C30852700	2	1402	pcb assy	NA	HALB	S.Real	319.92	S6_WEBASTO_MIGUEL ZAVAL	NO	4966993258
295572	30/04/2013	ZSCR	551	040-1	NA	'045	A2C53353727	NA	A2C53353727	1	1401	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	174.09	S1_PEPS_JAVIER BECERRA	NO	4966993498
295577	30/04/2013	ZSCR	551	040-3	NA	'045	A2C30852700	NA	A2C30852700	3	1403	pcb assy	NA	HALB	S.Real	479.88	S6_WEBASTO_MIGUEL ZAVAL	NO	4966993268
295860	30/04/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	4	1342	circuit board assy	NA	HALB	S.Real	238.56	S1_DCU_ADRIAN CEBALLOS	NO	4966994079
295864	30/04/2013	ZSCR	551	034-8	NA	'015	5WK49210	NA	A2C53190307	2	1348	circuit board assy	NA	HALB	S.Real	161.94	S5_RXM_JORGE AGUILAR (A	NO	4966994097
295867	30/04/2013	ZSCR	551	040-3	NA	'015	5WK49215	NA	A2C53216751	1	1403	circuit board assy HONDA ZZDI V01 / E	NA	HALB	S.Real	78.09	S5_RXM_JORGE AGUILAR (A	NO	4966994203
