No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
644787	23/07/2015	MB1A	551	040-1	K96019	'054	NA	NA	A2C8522140193	4				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	709.8	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646149	28/07/2015	ZSCR	551	030-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1301	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	317.05	PS_HONDA HRS6_J.JUAN CH	NO	4992173517			
646153	28/07/2015	ZSCR	551	030-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1301	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	317.05	PS_HONDA HRS6_J.JUAN CH	NO	4992173517			
646157	28/07/2015	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1				1301	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992173490			
646176	28/07/2015	ZSCR	551	030-1	NA	'054	A2C33330515	NA	A2C9663150092	6				1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	943.2	PSAD_DAIMLER STAR2_ISC_	NO	4992174095			
646234	28/07/2015	ZSCR	551	030-1	NA	'054	A2C9666050092	NA	A2C9666050092	1				1301	pcb assy FIA326 OCS V15_1 SMD BOT	NA	HALB	S.Real/AutoBF	81.9	PS_FIAT BRAZIL_. (APRO	NO	4992174118			
646236	28/07/2015	ZSCR	551	030-1	NA	'054	A2C9666050092	NA	A2C9666050092	1				1301	pcb assy FIA326 OCS V15_1 SMD BOT	NA	HALB	S.Real/AutoBF	81.9	PS_FIAT BRAZIL_. (APRO	NO	4992174118			
646241	28/07/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610192	1				1301	pcb assy DAGSTAR2 D_12 SMD BOT	NA	HALB	S.Real/AutoBF	152.29	PSAD_DAIMLER STAR 2_A.A	NO	4992173469			
646242	28/07/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610192	1				1301	pcb assy DAGSTAR2 D_12 SMD BOT	NA	HALB	S.Real/AutoBF	152.29	PSAD_DAIMLER STAR 2_A.A	NO	4992173469			
646245	28/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646310	28/07/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C83317201	12	3011	054	 	1301	pcb 6-lay DAGSTR2ISC	NA	ROH	NA	330.84	PSAD_DAIMLER STAR2_ISC_	NO	4992174526			
646330	28/07/2015	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1				1301	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992173490			
646331	28/07/2015	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1				1301	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992173490			
646332	28/07/2015	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1				1301	pcb assy	NA	HALB	S.Real/AutoBF	103.53	OC_BOSE VW_A.ANA TAPIA-	NO	4992173490			
646382	28/07/2015	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660092	6				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	305.7	PS_HONDA HRS6_J.JUAN CH	NO	4992173532			
646450	28/07/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C9663160092	1				1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	4992174107			
646451	28/07/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C9663160092	1				1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	4992174107			
646452	28/07/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C9663160092	1				1301	pcb assy DAGSTAR2 ISC with SW SMD BOT	NA	HALB	S.Real/AutoBF	169.71	PSAD_DAIMLER STAR2_ISC_	NO	4992174107			
646453	28/07/2015	MB1A	551	030-1	K96019	'054	A2C91408600	NA	A2C9140860092	1				1095	pcb assy HONHRS6 D_16 SMD BOT	NA	HALB	S.Real/AutoBF	50.36	PS_HONDA HRS7_. (APROB	NO	4992172294			
646454	28/07/2015	MB1A	551	030-1	K96019	'054	A2C91408600	NA	A2C9140860092	1				1095	pcb assy HONHRS6 D_16 SMD BOT	NA	HALB	S.Real/AutoBF	50.36	PS_HONDA HRS7_. (APROB	NO	4992172294			
646455	28/07/2015	MB1A	551	030-1	K96019	'054	A2C91408600	NA	A2C9140860092	1				1095	pcb assy HONHRS6 D_16 SMD BOT	NA	HALB	S.Real/AutoBF	50.36	PS_HONDA HRS7_. (APROB	NO	4992172294			
646456	28/07/2015	MB1A	551	030-1	K96019	'054	A2C91408600	NA	A2C9140860093	1				1095	pcb assy HONHRS6 D_16 SMD TOP	NA	HALB	S.Real	250.05	PS_HONDA HRS7_. (APROB	NO	4992172294			
646465	28/07/2015	ZSCR	551	040-1	NA	'054	A2C38122200		A2C38122200	1				1401	ACU FIAD200 MY10 S10 06 02 0 0 0 000	NA	FERT	NA	194.24	PS_FIAT BRAZIL_. (APRO	NO	4992173008			
646508	28/07/2015	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1401	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_. (APROBACI	NO	4992174752			
646509	28/07/2015	ZSCR	551	040-1	NA	'054	5WK44285	NA	A2C53367544	1	3011	054	 	1401	ACU VW10 MY10 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.69	PS_VW10 LC_. (APROBACI	NO	4992174809			
646536	28/07/2015	ZSCR	551	040-5	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1405	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_. (APROBACI	NO	4992174752			
646543	28/07/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C00013374	0.003	3011	054	 	1401	protective laquer BECTRON PK4340	NA	ROH	NA	1.23	PSAD_DAIMLER STAR2_ISC_	NO	4992174526			
646543	28/07/2015	ZSCR	551	040-1	NA	'054	A2C33330515	NA	A2C96631500	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	4992174479			
646546	28/07/2015	ZSCR	551	040-1	NA	'054	A2C85220900	NA	A2C84965300	1	3011	054	 	1401	pcb assy HONHRS6 D_13	NA	HALB	S.Real	206.73	PS_HONDA HRS6_J.JUAN CH	NO	4992174619			
646623	28/07/2015	ZSCR	551	040-3	NA	'054	5WK44508	NA	A2C53416946	2	3011	054	 	1403	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	451.88	PS_VW10 LC_. (APROBACI	NO	4992174752			
646624	28/07/2015	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	2	3011	054	 	1401	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	451.88	PS_VW10 LC_. (APROBACI	NO	4992174752			
646625	28/07/2015	ZSCR	551	042-4	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1424	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_. (APROBACI	NO	4992174752			
646715	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010092	1				1301	pcb assy HONHRS6 D_23 SMD BOT	NA	HALB	S.Real/AutoBF	50.72	PS_HONDA HRS6_J.JUAN CH	NO	4992173609			
646716	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010092	1				1301	pcb assy HONHRS6 D_23 SMD BOT	NA	HALB	S.Real/AutoBF	50.72	PS_HONDA HRS6_J.JUAN CH	NO	4992173609			
646717	29/07/2015	ZSCR	551	030-1	NA	'054	A2C38122200	NA	A2C3320990093	1	3011	054	 	1301	SMD A FIAT D200 V18	NA	HALB	S.Real	127.08	PS_FIAT BRAZIL_. (APRO	NO	4992174863			
646718	29/07/2015	ZSCR	551	030-1	NA	'054	5WK44465	NA	A2C53295039	6	3011	054	 	1301	pcb HONDA ACU16 main	NA	ROH	NA	105.6	PS_HONDA HRS5_. (APROB	NO				
646719	29/07/2015	ZSCR	551	030-1	NA	'054	A2C37964112	NA	A2C3511620193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_13 SMD TOP	NA	HALB	S.Real	330.06	PSAD_DAIMLER STAR 2_A.A	NO	4992174871			
646720	29/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646721	29/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646722	29/07/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4992172543			
646725	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010092	1				1301	pcb assy HONHRS6 D_23 SMD BOT	NA	HALB	S.Real/AutoBF	50.72	PS_HONDA HRS6_J.JUAN CH	NO	4992173609			
646727	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646728	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646729	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646730	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646731	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646732	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646733	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646735	29/07/2015	ZSCR	551	030-1	NA	'054	A2C91374200	NA	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	NA	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4992174598			
646736	29/07/2015	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	3011	054	 	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	272.68	PS_HONDA HRS6_J.JUAN CH	NO	4992174714			
