No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
119576	ZSCR	551	040-3	NA	5WK50314C	NA	A2C53385465	1	1403	housing	NA	ROH	NA	1.04	4956143238
119606	ZSCR	551	040-3	NA	5WK49616	NA	A2C53279258	196	1403	certification label	NA	ROH	NA	3529.96	4956143218
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C00004906	15	1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	20.55	4956143386
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53297309B	2	1402	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	101.6	4956143441
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53319341	16	1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.64	4956143386
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53323911	16	1402	housing	NA	ROH	NA	16.96	4956143386
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53323916	16	1402	slide	NA	ROH	NA	12.8	4956143386
119727	ZSCR	551	040-2	NA	5WK49612C	NA	A2C53358639	16	1402	contact spring	NA	ROH	NA	8.96	4956143386
119727	ZSCR	551	040-2	NA	S180143002	NA	A2C53365040	16	1402	housing bottom	NA	ROH	NA	15.36	4956143433
119730	ZSCR	551	040-2	NA	5WK49608C	NA	A2C53394918	49	1402	certification label	NA	ROH	NA	233.73	4956143374
119732	ZSCR	551	040-2	NA	5WK49608C	NA	A2C53394918	23	1402	certification label	NA	ROH	NA	109.71	4956143374
120158	ZSCR	551	040-5	NA	5WK48902C	NA	A2C00004906	273	1405	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	374.01	4956143166
120158	ZSCR	551	040-5	NA	5WK48902C	NA	A2C53319341	273	1405	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	10.92	4956143166
120158	ZSCR	551	040-5	NA	5WK48902C	NA	A2C53323911	273	1405	housing	NA	ROH	NA	289.38	4956143166
120158	ZSCR	551	040-5	NA	5WK48902C	NA	A2C53323916	273	1405	slide	NA	ROH	NA	218.4	4956143166
120158	ZSCR	551	040-5	NA	5WK48902C	NA	A2C53358639	273	1405	contact spring	NA	ROH	NA	152.88	4956143166
120158	ZSCR	551	040-5	NA	S180143002	NA	A2C53365040	273	1405	housing bottom	NA	ROH	NA	262.08	4956143166
120174	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143987
120175	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4956143925
120232	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	1	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	55.86	4956143932
120233	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	1	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	55.86	4956143932
120240	ZSCR	551	030-1	NA	5WK49622C	NA	A2C53297306B	2	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	103.98	4956143894
120241	ZSCR	551	030-1	NA	5WK49622C	NA	A2C53297306B	1	1301	SMD Subassy NIS US 315MH 2bundle	NA	HALB	S.Real	51.99	4956143894
