No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
671102	08/10/2015	ZSCR	551	040-3	NA	'054	A2C83016100	A2C83016100	#N/A	A2C83015500	2	3011	054	 	1403	PIN CONNECTOR / 56/28 POL. KOD. X-C	1	ROH	NA	33.44	PSAD_OPEL 3300_.	NO	
671104	08/10/2015	ZSCR	551	040-1	NA	'054	A2C83377700	A2C83377600	#N/A	A2C8337770093	1	3011	054	 	1401	pcb assy RCMT5 LR lado top	2	HALB	S.Real	455.54	PSAD_LAND ROVER_.	NO	
671105	08/10/2015	ZSCR	551	040-4	NA	'054	A2C89557900	A2C89557900	#N/A	A2C40005836	36	3011	054	 	1404	"C ELEC,AL,2.2mF,20%,35V"	1	ROH	NA	101.16	PS_LEGACY_C.CAROLINA OT	NO	
671165	08/10/2015	ZSCR	551	030-1	NA	'054	5WK44771	5WK44771	#N/A	A2C53338029	18	3011	054	 	1301	pcb panel multiple 6-up main	5	ROH	NA	380.52	PS_ARAMIS III_. (APROB	NO	
671166	08/10/2015	ZSCR	551	030-1	NA	'054	A2C8327790092	A2C82735100	#N/A	A2C83277500	4	3011	054	 	1301	pcb	8	ROH	NA	96.56	PS_SDM30_. (APROBACION	NO	
671167	08/10/2015	ZSCR	551	030-1	NA	'054	A2C3320950092	A2C38070400	01	A2C53387067	16	3011	054	 	1301	pcb FIAT ACU MA	31	ROH	NA	194.4	PS_FIAT BRAZIL_. (APRO	NO	4995016271
671169	08/10/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	5WK44285	#N/A	A2C53374377	6	3011	054	 	1301	pcb VW ZZDIV AC	18	ROH	NA	102.6	PS_VW10 LC_. (APROBACI	NO	4995020188
671170	08/10/2015	ZSCR	551	030-1	NA	'054	A2C53374378A	5WK44285	#N/A	A2C53374377	12	3011	054	 	1301	pcb VW ZZDIV AC	18	ROH	NA	205.2	PS_VW10 LC_. (APROBACI	NO	4995020188
671275	09/10/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	#N/A	A2C8021770093	1	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	#N/A	HALB	S.Real	272.45	PS_HONDA HRS6_J.JUAN CH	NO	
671276	09/10/2015	ZSCR	551	030-1	NA	'054	A2C8021770002	#N/A	#N/A	A2C8021770093	1	3011	054	 	1301	pcb assy HONHRS6 V20 TOP	#N/A	HALB	S.Real	272.45	PS_HONDA HRS6_J.JUAN CH	NO	
671278	09/10/2015	ZSCR	551	030-1	NA	'054	A2C91374200	A2C91374200	#N/A	A2C91390100	1	3011	054	 	1301	pcb assy HONHRS6 D_23	22	HALB	S.Real	294.82	PS_HONDA HRS6_J.JUAN CH	NO	4995019179
671279	09/10/2015	ZSCR	551	030-1	NA	'054	A2C91374200	A2C91374200	#N/A	A2C9139010093	1	3011	054	 	1301	pcb assy HONHRS6 D_23 SMD TOP	22	HALB	S.Real	249.85	PS_HONDA HRS6_J.JUAN CH	NO	4995019179
