No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
184270	27/07/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660093	1	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_GERARDO E	NO	4959974877
184271	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53375499MI	NA	A2C53375499A	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	291.62	PS_ARAMIS III_GERARDO E	NO	4959975033
184272	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	NO	4959975009
184275	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53390474	NA	A2C53391237A	1	1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	NO	4959975043
184276	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53390474	NA	A2C53391237A	1	1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	NO	4959975043
184277	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44385	NA	A2C00023541	3	1342	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	8.55	PS_VW10 LC_GERARDO ECHE	NO	4959975276
184279	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53383913B	NA	A2C53186312	6	1301	pcb HONDA MY08( MIDDLE CLASS	NA	ROH	NA	118.86	PS_HONDA ACCORD_GERARDO	NO	4959975351
184281	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53375496B	NA	A2C53338029	6	1301	pcb panel multiple 6-up main	NA	ROH	NA	151.68	PS_ARAMIS III_GERARDO E	NO	4959975338
184282	27/07/2012	ZSCR	551	030-1	NA	'054	A2C53216799B	NA	A2C53108389	6	1301	pcb panel multiple 6-up main	NA	ROH	NA	149.64	PS_ARAMIS I_GERARDO ECH	NO	4959975314
184284	27/07/2012	ZSCR	551	030-1	NA	'054	5WY89340	NA	A2C53380966	4	1301	pcb panel multiple 4-up	NA	ROH	NA	70.92	PSAD_EPSILON_GERARDO EC	NO	4959975297
