No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00003837	15	3011	050		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.15	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010447	32	3011	050		1351	"4K7,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.32	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00044178	9	3011	050		1351	"1,N_CHAN,MOS,POWER,60V,12A,104mOhm,DPACK"		ROH	NA	9.45	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000415	16	3011	050		1351	"70V,250mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	1.76	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000262	16	3011	050		1351	"Dual 40W,22V,SOT23, common cathode SUP D"		ROH	NA	2.4	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00030963	1	3011	050		1351	"4,EQ ISO,X7R,0612,16V,47nF,20%,20%,CAP A"		ROH	NA	0.27	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00002578	2	3011	050		1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	1.72	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010472	9	3011	050		1351	"R LIN,47K,5%,TK200,63mW,0402"		ROH	NA	0.09	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00021728	8	3011	050		1351	"LIN Transceiver with wake up function,OT"		ROH	NA	21.6	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010441	4	3011	050		1351	"R LIN,1K,5%,TK200,63mW,0402"		ROH	NA	0.04	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00044201	2	3011	050		1351	"600V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.34	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00049244	4	3011	050		1351	"10K,1%,TK50,100mW,0603,LIN RES/M11 0603"		ROH	NA	0.2	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00041098	6	3011	050		1351	"IC SMART POW/ATIC111_LR,PSO20,2,40V,150m"		ROH	NA	68.7	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258490	ZSCR	551	035-1	0	'050	6521017610A	NA	A2C00034730	1	3011	050		1351	"SAK-C167CR-LM HA+step, A1, P-MQFP144 ,RO"		ROH	NA	40.16	ES_CEC_NORA ANCHONDO	NO	4964324337
258490	ZSCR	551	035-1	0	'050	6521017610A	NA	6592362057	1	3011	050		1351	QUARTZES / 8MHZ/50PPM/		ROH	NA	3.07	ES_CEC_NORA ANCHONDO	NO	4964324337
258490	ZSCR	551	035-1	0	'050	6521017610A	NA	A2C00044887	1	3011	050		1351	"SAK-C167CR-4RM,HA+,QFP144_065(green),MAS"		ROH	NA	57.12	ES_CEC_NORA ANCHONDO	NO	4964324337
258491	ZSCR	551	035-1	0	'050	6578527602A	NA	6576362050	66	3011	050		1351	"10NF,10%,100V,X7R,0805,NISN,CE"		ROH	NA	2.64	ES_IDM_NORA ANCHONDO	NO	4964324717
