No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
543520	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86887710	NA	A2C86884501	1	3011	054	 	1301	pcb assy DAGSTAR2 D_14	NA	HALB	S.Real	499.67	PSAD_DAIMLER STAR 2_A.A	NO		
543614	01/11/2014	ZSCR	551	034-8	NA	'054	A2C94490800	NA	A2C94490800	2	3011	054	 	1348	pcb assy HONHRS5 V37	NA	HALB	S.Real	361.24	PS_HONDA HRS6_J.JUAN CH	NO		
543616	01/11/2014	ZSCR	551	040-1	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1401	pcb assy HONHRS5 V37	NA	HALB	S.Real	180.62	PS_HONDA HRS6_J.JUAN CH	NO		
543906	02/11/2014	ZSCR	551	030-1	NA	'054	A2C8665110093	NA	A2C8665110093	2	3011	054	 	1301	ARMADA 12 BR 171 PCB SMD ASSEMBLY	NA	HALB	S.Real	839	OES_ARMADA_.	NO		
544099	02/11/2014	ZSCR	551	034-2	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1342	pcb assy HONHRS5 V37	NA	HALB	S.Real	180.62	PS_HONDA HRS5_.	NO		
544100	02/11/2014	ZSCR	551	040-3	NA	'054	A2C94490800	NA	A2C94490800	1	3011	054	 	1403	pcb assy HONHRS5 V37	NA	HALB	S.Real	180.62	PS_HONDA HRS5_.	NO		
544117	02/11/2014	ZSCR	551	034-1	NA	'054	A2C91764300	NA	A2C40000025	6	3011	054	 	1341	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	40.98	PS_SDM10+_.	NO		
544155	02/11/2014	ZSCR	551	034-2	NA	'054	A2C83016100	NA	A2C82535500	150	3011	054	 	1342	certification label identificati	NA	ROH	NA	37.5	PSAD_OPEL 4400_J.JOSE O	NO	4984023851	
544156	02/11/2014	ZSCR	551	034-2	NA	'054	A2C83046900	NA	A2C83043900	75	3011	054	 	1342	label identificati	NA	ROH	NA	84.75	PSAD_LAND ROVER_J.JOSE	NO	4984023891	
544157	02/11/2014	ZSCR	551	034-2	NA	'054	A2C86329900	NA	A2C83008400	60	3011	054	 	1342	label identificati	NA	ROH	NA	12.6	PSAD_VOLVO P15_J.JOSE O	NO		
544158	02/11/2014	ZSCR	551	034-2	NA	'054	A2C89711901	NA	A2C83021500	20	3011	054	 	1342	label identificati	NA	ROH	NA	543.2	PSAD_ARMIN_J.JOSE ORTIZ	NO		
