No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
141544	ZSCR	551	034-2	NA	5WK49830	NA	A2C53251339	2	1342	Housing cover JPN variant 4 buttons	NA	ROH	NA	12.38	S5 FOB ACURA 08 (APRO	4957298278
141544	ZSCR	551	034-2	NA	5WK49830	NA	A2C53251346	3	1342	FOB HONDA LOGO	NA	ROH	NA	16.35	S5 FOB ACURA 08 (APRO	4957298278
141544	ZSCR	551	034-2	NA	5WK49826	NA	A2C53251742	1	1342	Housing cover JPN variant 2 buttons	NA	ROH	NA	6.19	S5 FOB ACURA 08 (APRO	4957298265
141545	ZSCR	551	040-2	NA	5WK49521	NA	A2C53248674	3	1402	Housing bottom fob	NA	ROH	NA	18.33	S5 FOB ACURA 08 (APRO	4957298258
141545	ZSCR	551	040-2	NA	5WK49521	NA	A2C53251346	3	1402	FOB HONDA LOGO	NA	ROH	NA	16.35	S5 FOB ACURA 08 (APRO	4957298258
141545	ZSCR	551	040-2	NA	5WK49521	NA	A2C53285408	3	1402	"label D= 3,00mm white paper"	NA	ROH	NA	2.28	S5 FOB ACURA 08 (APRO	4957298258
141546	ZSCR	551	034-2	NA	5WY8146	NA	A2C53278287	1	1342	sticker	NA	ROH	NA	5.48	S5 FOB ACURA 09 (APRO	4957298328
141546	ZSCR	551	034-2	NA	5WY8146	NA	A2C53278289	1	1342	housing bottom	NA	ROH	NA	29.06	S5 FOB ACURA 09 (APRO	4957298328
141547	ZSCR	551	040-1	NA	5WK47834	NA	A2C53249431	1	1401	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	S5 ECU 08 (APROBACION	4957298207
141548	ZSCR	551	030-1	NA	5WK47834	NA	A2C53249431	1	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	S5 ECU 08 (APROBACION	4957298207
141549	ZSCR	551	040-1	NA	5WK47834	NA	A2C53249431	2	1401	multipoint connector 73P H 3SYS BK	NA	ROH	NA	50.94	S5 ECU 08 (APROBACION	4957298207
141557	ZSCR	551	034-1	NA	5WK47837	NA	A2C53249431	1	1341	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	S5 ECU 09 (APROBACION	4957298225
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00010059	8	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	0.64	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00010059	9	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	0.72	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00010059	36	1351	"F BEAD/BLM18A,700mOhm,1KOhm,100mA,SMD"		ROH	NA	2.88	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00019139	4	1351	"47uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	3.76	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00019139	4	1351	"47uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	3.76	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00019139	18	1351	"47uF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	16.92	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00020895	17	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.53	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00020895	18	1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.62	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00037737	71	1351	"1,N_CHAN,MOS,SMALLSIGNAL,28V,150mA,0Ohm,"		ROH	NA	49.7	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C00039698	18	1351	"5V,450mA,STEP DOWN,DPAK,VOLT REG/NCV4275"		ROH	NA	52.2	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00051824	8	1351	"12V,500mW,SOD123,ZENER/MMSZ5242BT"		ROH	NA	1.04	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00051824	9	1351	"12V,500mW,SOD123,ZENER/MMSZ5242BT"		ROH	NA	1.17	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00057184	4	1351	"L COIL/Wire wound Chip Inductor,23nH,0A,"		ROH	NA	1.92	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C00061943	25	1351	"IC SMART POW/VN5E010NAHTR-E,7 pins HPAK,"		ROH	NA	129.25	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C00061943	26	1351	"IC SMART POW/VN5E010NAHTR-E,7 pins HPAK,"		ROH	NA	134.42	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C32119500	4	1351	PCB -MY12 1SPDJB W/ HELIX ANTENNA ST DRV		ROH	NA	259.4	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40000569	4	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.08	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40000569	4	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.08	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40000569	18	1351	"C CER,C0G,3.3pF,0%,50V,1.05*0.55*0.55,-"		ROH	NA	0.36	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40000930	13	1351	"C CER,C0G,100pF,5%,50V,1.05*0.55*0.55,-"		ROH	NA	0.26	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40000930	13	1351	"C CER,C0G,100pF,5%,50V,1.05*0.55*0.55,-"		ROH	NA	0.26	S1 SPDJB	4957298668
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40000930	53	1351	"C CER,C0G,100pF,5%,50V,1.05*0.55*0.55,-"		ROH	NA	1.06	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40001030	4	1351	"R LIN,120K,5%,TK200,63mW,0402"		ROH	NA	0.04	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40001174	8	1351	"C CER,C0G,220pF,5%,50V,0402,++ only for"		ROH	NA	0.24	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40001174	9	1351	"C CER,C0G,220pF,5%,50V,0402,++ only for"		ROH	NA	0.27	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40001174	36	1351	"C CER,C0G,220pF,5%,50V,0402,++ only for"		ROH	NA	1.08	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40001809	4	1351	"R LIN,1K,1%,TK100,125mW,0805"		ROH	NA	0.08	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40001843	4	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.04	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40001843	4	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.04	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40001843	18	1351	"R LIN,182R,1%,TK100,125mW,0805"		ROH	NA	0.18	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40001999	17	1351	"R LIN,10R,5%,TK200,750mW,2010"		ROH	NA	1.87	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40001999	18	1351	"R LIN,10R,5%,TK200,750mW,2010"		ROH	NA	1.98	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40001999	71	1351	"R LIN,10R,5%,TK200,750mW,2010"		ROH	NA	7.81	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40002004	8	1351	"R LIN,1K3,5%,TK200,750mW,2010"		ROH	NA	0.88	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40002004	9	1351	"R LIN,1K3,5%,TK200,750mW,2010"		ROH	NA	0.99	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40002004	36	1351	"R LIN,1K3,5%,TK200,750mW,2010"		ROH	NA	3.96	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40002006	17	1351	"R LIN,2K2,5%,TK200,750mW,2010"		ROH	NA	1.87	S1 SPDJB	4957298818
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40002006	18	1351	"R LIN,2K2,5%,TK200,750mW,2010"		ROH	NA	1.98	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40002006	71	1351	"R LIN,2K2,5%,TK200,750mW,2010"		ROH	NA	7.81	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40002209	25	1351	"R LIN,4K7,5%,TK200,100mW,0603"		ROH	NA	0.25	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40002209	107	1351	"R LIN,4K7,5%,TK200,100mW,0603"		ROH	NA	1.07	S1 SPDJB	4957298575
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40002211	4	1351	"R LIN,RESISTANCE ENTRY MISSING,5%,TK400,"		ROH	NA	0.04	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40002302	8	1351	"R LIN,24K9,1%,TK100,63mW,0402"		ROH	NA	0.08	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40002302	9	1351	"R LIN,24K9,1%,TK100,63mW,0402"		ROH	NA	0.09	S1 SPDJB	4957298720
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40002302	36	1351	"R LIN,24K9,1%,TK100,63mW,0402"		ROH	NA	0.36	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40002317	53	1351	"R LIN,68K1,1%,TK100,63mW,0402"		ROH	NA	0.53	S1 SPDJB	4957298619
141762	ZSCR	551	035-1	0	A2C8083670093	NA	A2C40003069	17	1351	"R LIN,2K21,1%,TK100,100mW,0603"		ROH	NA	0.17	S1 SPDJB	4957298846
141762	ZSCR	551	035-1	0	A2C8083500093	NA	A2C40003069	18	1351	"R LIN,2K21,1%,TK100,100mW,0603"		ROH	NA	0.18	S1 SPDJB	4957298757
141762	ZSCR	551	035-1	0	A2C53430026T	NA	A2C40005518	36	1351	"R NET,1K,5%,63mW,1206"		ROH	NA	1.08	S1 SPDJB	4957298619
