No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
575230	15/01/2015	ZSCR	551	042-4	NA	'054	A2C37924700	NA	A2C37744300	2	3011	054	 	1424	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	312.48	PS_FIAT BRAZIL_.	NO	No stock		
575230	15/01/2015	ZSCR	551	042-4	NA	'054	A2C37924700	NA	A2C53332369	2				1424	base plate B	NA	ROH	NA	13.92	PS_FIAT BRAZIL_.	NO	4985735899		
575230	15/01/2015	ZSCR	551	042-4	NA	'054	A2C37924700	NA	A2C53337250	8				1424	"pan head screw M3 x 8,00 1242"	NA	ROH	NA	1.52	PS_FIAT BRAZIL_.	NO	4985735899		
575231	15/01/2015	ZSCR	551	034-9	NA	'054	A2C30910800	NA	A2C32509000	1				1349	pcb assy VW20 V01	NA	HALB	S.Real	137.33	PSAD_VW20_.	NO	4985735831		
575234	15/01/2015	ZSCR	551	042-4	NA	'054	A2C30910800	NA	A2C31769100	1				1424	pin header 50P H 2R PF 1018 13	NA	ROH	NA	13.26	PSAD_VW20_.	NO	4985735831		
575238	15/01/2015	ZSCR	551	042-4	NA	'054	A2C86816800	NA	A2C86617100	1				1424	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_.	NO	4985736054		
575240	15/01/2015	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1				1401	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_.	NO	4985735793		
575241	15/01/2015	ZSCR	551	040-1	NA	'054	A2C96660500	NA	A2C96660500	1				1401	pcb assy FIA326 OCS V15_1	NA	HALB	S.Real	156.04	PS_FIAT BRAZIL_.	NO	4985739304		
575242	15/01/2015	ZSCR	551	040-2	NA	'054	A2C86852400	NA	A2C87110200	1				1402	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	4985736085		
575243	15/01/2015	ZSCR	551	040-1	NA	'054	A2C85801000	NA	A2C8397190093	1				1401	pcb topSMD top	NA	HALB	S.Real	332.31	PS_SDM10+_.	NO	4985736037		
575245	15/01/2015	ZSCR	551	040-3	NA	'054	5WY89350	NA	A2C31080700	2				1403	airbag	NA	HALB	S.Real	663.64	PS_CHRYSLER MY2013_.	NO	4985735793		
575250	15/01/2015	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C30901300	2				1342	base plate	NA	ROH	NA	20.24	PS_HYUNDAI_.	NO	4985735773		
575250	15/01/2015	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53381596	2				1342	cover	NA	ROH	NA	11	PS_HYUNDAI_.	NO	4985735773		
																								
