No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
594251	02/03/2015	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	5	1342	NA	ROH	NA	108.25	S1_WK_WD RFHUB_A.ADRIAN	NO	4988225269		
594255	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00059268	7	1342	NA	ROH	NA	68.18	S1_CBC MY15_. (APROBAC	NO			
594255	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00062486	4	1342	NA	ROH	NA	33.32	S1_CBC MY15_. (APROBAC	NO			
594255	02/03/2015	ZSCR	551	034-2	NA	'050	A2C37574400	NA	A2C00063691	2	1342	NA	ROH	NA	86.8	S1_CBC MY15_. (APROBAC	NO	4988225806		
594255	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00184100	37	1342	NA	ROH	NA	536.87	S1_CBC MY15_. (APROBAC	NO			
594255	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00278300	13	1342	NA	ROH	NA	317.33	S1_CBC MY15_. (APROBAC	NO			
594257	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00184100	9	1342	NA	ROH	NA	130.59	S1_CBC MY15_. (APROBAC	NO			
594257	02/03/2015	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00278300	5	1342	NA	ROH	NA	122.05	S1_CBC MY15_. (APROBAC	NO			
594461	03/03/2015	ZSCR	551	034-2	NA	'050	A2C73784000	NA	A2C00184100	3	1342	NA	ROH	NA	43.53	S1_CBC MY15_. (APROBAC	NO			
594512	03/03/2015	ZSCR	551	040-2	NA	'015	A2C73601800	NA	A2C73637100	6	1402	NA	ROH	NA	146.46	S1_CBC MY15_. (APROBAC	NO			
594752	03/03/2015	ZSCR	551	042-4	NA	'050	A2C81624200	NA	A2C82135300	4	1424	NA	ROH	NA	116.6	S1_WK_WD RFHUB_A.ADRIAN	NO			
594771	03/03/2015	ZSCR	551	040-2	NA	'050	A2C73789604	NA	A2C73599005	12	1402	NA	ROH	NA	957.48	S1_CBC MY15_. (APROBAC	NO			
594816	03/03/2015	ZSCR	551	034-2	NA	'050	A2C3808140092	NA	A2C38081500	20	1342	NA	ROH	NA	81	S1_PASE FOB CUSW_A.ADRI	NO			
594867	04/03/2015	ZSCR	551	040-2	NA	'015	A2C73601800	NA	A2C73637100	3	1402	NA	ROH	NA	73.23	S1_CBC MY15_. (APROBAC	NO			
594883	04/03/2015	ZSCR	551	034-2	NA	'015	A2C86022500	NA	A2C73750400	2	1342	NA	ROH	NA	16.82	S1_CUSW UF PASE_A.ADRIA	NO	4988224433		
594883	04/03/2015	ZSCR	551	034-2	NA	'015	A2C74094300	NA	A2C73750500	1	1342	NA	ROH	NA	8.41	S1_CUSW UF PASE_A.ADRIA	NO	4988224381		
594883	04/03/2015	ZSCR	551	034-2	NA	'015	A2C86022500	NA	A2C73750700	2	1342	NA	ROH	NA	11.2	S1_CUSW UF PASE_A.ADRIA	NO	4988224433		
594883	04/03/2015	ZSCR	551	034-2	NA	'015	A2C74094300	NA	A2C73750900	1	1342	NA	ROH	NA	6.51	S1_CUSW UF PASE_A.ADRIA	NO	4988224381		
594883	04/03/2015	ZSCR	551	034-2	NA	'015	A2C73751901	NA	A2C73751400	4	1342	NA	ROH	NA	5.12	S1_CUSW UF PASE_A.ADRIA	NO	4988224150		
