No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
562105	09/12/2014	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	1			1301	circuit board assy	NA	HALB	S.Real	80.24	S1_DCU_A.ADRIAN CEBALLO	NO	4985092606
562157	09/12/2014	ZSCR	551	034-2	NA	'015	A2C92738800	NA	A2C92738800	2			1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	80.72	S1_TG1C NISSAN_J.JAIME	NO	4985094879
562164	09/12/2014	ZSCR	551	034-2	NA	'050	A2C31563500	NA	A2C31563500	48			1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	1344.48	S1_TG1C NISSAN_J.JAIME	NO	4985094272
562181	09/12/2014	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C3156350093	4			1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	112.04	S1_TG1C NISSAN_J.JAIME	NO	4985093118
562183	09/12/2014	ZSCR	551	034-2	NA	'015	A2C3144240093	NA	A2C3144240093	2			1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	55.86	S1_TG1C DCX_J.JAIME JIM	NO	4985092974
562184	09/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	2			1342	module assy TPM	NA	HALB	S.Real/AutoBF	82.6	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
562187	09/12/2014	ZSCR	551	034-2	NA	'015	A2C32880100	NA	A2C32880100	5			1342	module assy TPM	NA	HALB	S.Real/AutoBF	206.5	S1_TIS 1D CHRYSLER_J.JA	NO	4985094854
562473	09/12/2014	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	2			1342	circuit board assy	NA	HALB	S.Real	160.48	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
562476	09/12/2014	ZSCR	551	034-2	NA	'015	5WY8836	NA	A2C53328412	2			1342	circuit board assy	NA	HALB	S.Real	160.48	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
562477	09/12/2014	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	1			1342	circuit board assy	NA	HALB	S.Real	51.82	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
562520	09/12/2014	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	6			1342	circuit board assy	NA	HALB	S.Real	310.92	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
562528	09/12/2014	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	1			1342	circuit board assy	NA	HALB	S.Real	80.24	S1_DCU_A.ADRIAN CEBALLO	NO	4985092643
562536	09/12/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C87144100	1			1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	34.51	S5_TIS1C127 NISSAN_A.AD	NO	4985094618
562537	09/12/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C87144100	2			1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	69.02	S5_TIS1C127 NISSAN_A.AD	NO	4985094618
