No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00000415	18	"70V,250mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	1.98	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00000576	3	"1,PNP,NORMAL,100mA,50V,SOT23,BIP/BCR192"		ROH	NA	0.3	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00002060	3	"47pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.06	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00002190	24	"2.2nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.48	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00002196	10	"4.7nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.2	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00002211	7	"47nF,10%,16V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.14	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00002578	15	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	12.45	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00002578	2	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	1.66	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00003455	20	"2K,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.4	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00003465	8	"R LIN,470R,5%,TK200,250mW,1206"		ROH	NA	0.24	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00003492	10	"R LIN,1K5,5%,TK200,250mW,1206"		ROH	NA	0.2	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00003517	7	"R LIN,150R,5%,TK200,250mW,1206"		ROH	NA	0.14	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300T	NA	A2C00003551	1	"R LIN,10K,1%,TK50,250mW,MINIMELF0204"		ROH	NA	0.08	ES_EMS 2208_ARTURO NERI	NO	4963087827	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00003633	1	"4K75,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.08	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00003685	4	"R LIN,10K,5%,TK200,100mW,0603"		ROH	NA	0.04	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00003689	3	"R LIN,4K7,5%,TK200,100mW,0603"		ROH	NA	0.03	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C31734300B	NA	A2C00004071	3	"100K,1%,TK100,125mW,0805,LIN RES/RC"		ROH	NA	0.06	ES_EMS 2208_ARTURO NERI	NO	4963087788	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00004150	77	"R LIN,324K,1%,TK100,125mW,0805"		ROH	NA	1.54	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00004349	21	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.21	ES_EMS 2208_ARTURO NERI	NO	4963087842	
238667	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560192	NA	A2C00004383	3	"3K74,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.06	ES_EMS 2208_ARTURO NERI	NO	4963087842	
