No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	 	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
638629	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53243155MI	5WK43967	06	A2C53243155A	1	3011	054	 	1301	SMD assy C207 WITH PPS/WITHOUT RO side A	#N/A	HALB	S.Real	346.37	PS_ARAMIS II MCG_F.FERN	NO	4991582494
638631	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53243155MI	5WK43967	06	A2C53243155A	1	3011	054	 	1301	SMD assy C207 WITH PPS/WITHOUT RO side A	#N/A	HALB	S.Real	346.37	PS_ARAMIS II MCG_F.FERN	NO	4991582494
638658	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80612810	A2C80612810	#N/A	A2C81455800	1	3011	054	 	1301	pcb assy RENT4 V01	#N/A	HALB	S.Real	134.62	PS_RENAULT_.	NO	4991583178
638660	06/07/2015	ZSCR	551	030-1	NA	'054	A2C80612810	A2C80612810	#N/A	A2C81455800	1	3011	054	 	1301	pcb assy RENT4 V01	#N/A	HALB	S.Real	134.62	PS_RENAULT_.	NO	4991583178
638667	06/07/2015	ZSCR	551	030-1	NA	'054	A2C83711000	A2C83711000	#N/A	A2C84661700	1	3011	054	 	1301	pcb assy VW20 D_4	#N/A	HALB	S.Real	268.94	PS_VW20 MQB_.	NO	
638670	06/07/2015	ZSCR	551	030-1	NA	'054	5WY78881	5WY78881	#N/A	A2C53241830	1	3011	054	 	1301	circuit board assy	#N/A	HALB	S.Real	268.84	PS_FORD_.	NO	4991582779
638674	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81543200	A2C81542300	01	A2C53388687	3	3011	054	 	1301	circuit board assy	#N/A	HALB	S.Real	1134.72	PS_ARAMIS 2013_.	NO	4991583271
638675	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53388687	5WY90220	01	A2C53342620	3	3011	054	 	1301	pcb DC main	#N/A	ROH	NA	57.87	PS_ARAMIS 2013_.	NO	4991582990
638676	06/07/2015	ZSCR	551	030-1	NA	'054	A2C81543200	A2C81542300	01	A2C53388687	3	3011	054	 	1301	circuit board assy	#N/A	HALB	S.Real	1134.72	PS_ARAMIS 2013_.	NO	4991583271
638677	06/07/2015	ZSCR	551	030-1	NA	'054	A2C53388687	5WY90220	01	A2C53342620	3	3011	054	 	1301	pcb DC main	#N/A	ROH	NA	57.87	PS_ARAMIS 2013_.	NO	4991582990
