No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
482888	7/1/2014	ZSCR	551	035-1	0	'054	A2C9202530093	NA	A2C00004500	1	"R LIN,56K2,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_HONDA HRS5_L.LPL AUT	NO				
483256	7/2/2014	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C53395713	1	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO				
483256	7/2/2014	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C40000022	2	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	13.46	PS_SDM10+_C.CAROLINA OT	NO				
483256	7/2/2014	ZSCR	551	034-2	NA	'054	A2C85801200	NA	A2C53338471	4	contact element	NA	ROH	NA	4.08	PS_SDM10+_C.CAROLINA OT	NO				
483273	7/2/2014	ZSCR	551	040-3	NA	'054	5WY88040	NA	A2C53108387	4	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	0.72	PSAD_GM BRASIL_A.ANA TA	NO				
483273	7/2/2014	ZSCR	551	040-3	NA	'054	5WY88040	NA	A2C53408690	1	cover	NA	ROH	NA	3.97	PSAD_GM BRASIL_A.ANA TA	NO				
483273	7/2/2014	ZSCR	551	040-3	NA	'054	5WY88040	NA	A2C53408549	1	housing D= 2	NA	ROH	NA	20.53	PSAD_GM BRASIL_A.ANA TA	NO				
483275	7/2/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	certification label identificati	NA	ROH	NA	33	PSAD_GM BRASIL_A.ANA TA	NO				
483281	7/2/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C53408548	150	"LSS*D7500CM 3,5X 10 A3K"	NA	ROH	NA	33	PSAD_OPEL 4400_J.JOSE O	NO				
483288	7/2/2014	ZSCR	551	040-3	NA	'054	A2C83008900	NA	A2C83008200	1	"housing 165,5x 104,5"	NA	ROH	NA	7.5	PSAD_VOLVO P15_J.JOSE O	NO				
483290	7/2/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	70	certification label identificati	NA	ROH	NA	23.1	PSAD_GM BRASIL_A.ANA TA	NO				
483291	7/2/2014	ZSCR	551	040-3	NA	'054	5WY90360	NA	A2C53408690	2	cover	NA	ROH	NA	7.94	PSAD_GM BRASIL_A.ANA TA	NO				
483292	7/2/2014	ZSCR	551	040-3	NA	'054	A2C80612805	NA	A2C53409092	1	cover	NA	ROH	NA	3.44	PS_RENAULT_.	NO				
483304	7/2/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	100	sticker	NA	ROH	NA	51	PS_VW10 LC_U.ULISES VIL	NO				
483306	7/2/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53338471	3	contact element	NA	ROH	NA	3.06	PS_SDM30_C.CAROLINA OTA	NO				
483306	7/2/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C40000025	5	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	34.15	PS_SDM30_C.CAROLINA OTA	NO				
483306	7/2/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	1	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM30_C.CAROLINA OTA	NO				
483322	7/2/2014	ZSCR	551	034-3	NA	'054	5WK44591	NA	A2C53397780	3	cover	NA	ROH	NA	9.54	PS_HONDA HRS6_J.JUAN CH	NO				
483322	7/2/2014	ZSCR	551	034-3	NA	'054	5WK44004	NA	A2C53108387	15	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2.7	PS_HONDA HRS6_J.JUAN CH	NO				
483322	7/2/2014	ZSCR	551	034-3	NA	'054	5WK44547	NA	6593831401	3	WARNING LABEL c/d/i HONDA	NA	ROH	NA	3.33	PS_HONDA HRS6_J.JUAN CH	NO				
483322	7/2/2014	ZSCR	551	034-3	NA	'054	A2C92116000	NA	A2C53405780	3	housing	NA	ROH	NA	79.11	PS_HONDA HRS6_J.JUAN CH	NO				
483323	7/2/2014	ZSCR	551	034-2	NA	'054	A2C83377600	NA	A2C83043700	19	cover BK	NA	ROH	NA	75.62	PSAD_LAND ROVER_J.JOSE	NO				
483323	7/2/2014	ZSCR	551	034-2	NA	'054	A2C83377600	NA	A2C83043600	11	"housing 129,3x 112,6"	NA	ROH	NA	216.81	PSAD_LAND ROVER_J.JOSE	NO				
483324	7/2/2014	ZSCR	551	034-2	NA	'054	A2C82540900	NA	A2C82535400	10	cover	NA	ROH	NA	33.7	PSAD_OPEL 4400_J.JOSE O	NO				
483326	7/2/2014	ZSCR	551	034-2	NA	'054	A2C30910808	NA	A2C86055000	2	cover	NA	ROH	NA	19.82	PSAD_VW20_U.ULISES VILL	NO				
483359	7/2/2014	ZSCR	551	040-3	NA	'054	5WK44354	NA	A2C53381596	1	cover	NA	ROH	NA	5.5	PS_HYUNDAI_.	NO				
483363	7/2/2014	ZSCR	551	040-3	NA	'054	A2C83045900	NA	A2C83043800	8	bracket capacitor	NA	ROH	NA	23.68	PSAD_LAND ROVER_J.JOSE	NO				
483697	7/3/2014	ZSCR	551	034-2	NA	'054	A2C83047000	NA	A2C83043800	34	bracket capacitor	NA	ROH	NA	100.64	PS_LEGACY_C.CAROLINA OT	NO				
483697	7/3/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C82541100	4	PIN CONNECTOR / 56/32 POL. KOD. Y-F	NA	ROH	NA	61.96	PS_LEGACY_C.CAROLINA OT	NO				
483701	7/3/2014	ZSCR	551	034-2	NA	'054	A2C82735600	NA	A2C40000022	4	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	26.92	PS_SDM10+_C.CAROLINA OT	NO				
483703	7/3/2014	ZSCR	551	034-2	NA	'054	A2C83749400	NA	A2C53333520	300	TYPE LABLE	NA	ROH	NA	114	PS_SDM10+_C.CAROLINA OT	NO				
483931	7/3/2014	ZSCR	551	034-2	NA	'054	A2C38171903	NA	A2C53424040	100	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	27	PSAD_DAIMLER STAR 2_A.A	NO				
483931	7/3/2014	ZSCR	551	034-2	NA	'054	A2C38172101	NA	A2C83435000	16	cover FIP T BK	NA	ROH	NA	304.32	PSAD_DAIMLER STAR 2_A.A	NO				
483932	7/3/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C53424040	4	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	1.08	PSAD_VW20_U.ULISES VILL	NO				
483932	7/3/2014	ZSCR	551	034-2	NA	'054	A2C30910808	NA	A2C86055000	1	cover	NA	ROH	NA	9.91	PSAD_VW20_U.ULISES VILL	NO				
483933	7/3/2014	ZSCR	551	034-2	NA	'054	A2C81768402	NA	A2C83435000	17	cover FIP T BK	NA	ROH	NA	323.34	PSAD_DAIMLER SMART_F.FE	NO				
483933	7/3/2014	ZSCR	551	034-2	NA	'054	A2C30910806	NA	A2C53424040	17	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	4.59	PSAD_DAIMLER SMART_F.FE	NO				
484053	7/3/2014	ZSCR	551	034-2	NA	'054	A2C53374378A	NA	A2C53374377	9	pcb VW ZZDIV AC	NA	ROH	NA	142.74	PS_VW10 LC_U.ULISES VIL	NO				
484055	7/3/2014	ZSCR	551	034-2	NA	'054	A2C53392310B	NA	A2C53390127	6	pcb DIVACU>6 main	NA	ROH	NA	75.3	PS_HYUNDAI_.	NO				
484269	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82134800	NA	A2C53333520	200	TYPE LABLE	NA	ROH	NA	76	PS_SDM10+_C.CAROLINA OT	NO				
484269	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735200	NA	A2C40000022	5	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	33.65	PS_SDM10+_C.CAROLINA OT	NO				
484269	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735700	NA	A2C53395713	1	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO				
484269	7/4/2014	ZSCR	551	034-2	NA	'054	A2C87074900	NA	A2C53338471	4	contact element	NA	ROH	NA	4.08	PS_SDM10+_C.CAROLINA OT	NO				
484272	7/4/2014	ZSCR	551	034-2	NA	'054	A2C38172003	NA	A2C83435000	1	cover FIP T BK	NA	ROH	NA	19.02	PSAD_DAIMLER STAR 2_A.A	NO				
484274	7/4/2014	ZSCR	551	034-2	NA	'054	A2C30910808	NA	A2C86055000	3	cover	NA	ROH	NA	29.73	PSAD_VW20_U.ULISES VILL	NO				
484278	7/4/2014	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	1	cover	NA	ROH	NA	3.18	PS_HONDA HRS6_J.JUAN CH	NO				
484279	7/4/2014	ZSCR	551	034-2	NA	'054	5WK44508SP	NA	A2C00014697	150	sticker	NA	ROH	NA	76.5	PS_VW10 LC_U.ULISES VIL	NO				
484282	7/4/2014	ZSCR	551	034-2	NA	'054	A2C38172001	NA	A2C83435000	2	cover FIP T BK	NA	ROH	NA	38.04	PSAD_DAIMLER STAR 2_A.A	NO				
484284	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	1	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM10+_C.CAROLINA OT	NO				
484284	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735300	NA	A2C92598000	1	cover FIP T BK Laser Weld	NA	ROH	NA	2.48	PS_SDM10+_C.CAROLINA OT	NO				
484284	7/4/2014	ZSCR	551	034-2	NA	'054	A2C82735500	NA	A2C53395715	1	housing WIC P BK A-B	NA	ROH	NA	34.8	PS_SDM10+_C.CAROLINA OT	NO				
