No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
155021	ZSCR	551	034-2	NA	5WK44354	NA	A2C30901300	1	3011	054		1342	base plate	NA	ROH	NA	9.84	PS_HYUNDAI_GERARDO ECHE	4958154420
155021	ZSCR	551	034-2	NA	5WK44354	NA	A2C53381596	1	3011	054		1342	COVER	NA	ROH	NA	5.39	PS_HYUNDAI_GERARDO ECHE	4958154420
155178	ZSCR	551	040-5	NA	A2C53189515MI	NA	A2C53189515A	1				1405	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958153610
155192	ZSCR	551	030-1	NA	A2C31267600MI	NA	A2C31267600	1				1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2012_GERARDO	4958153411
155226	ZSCR	551	030-1	NA	5WK44741	NA	A2C53375498MI2	1				1301	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	453.43	PS_ARAMIS III_GERARDO E	4958153485
155228	ZSCR	551	030-1	NA	A2C38081600	NA	A2C53375496A2	1				1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4958153477
155230	ZSCR	551	040-5	NA	5WY86980	NA	A2C53405101MI	1				1405	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4958153624
155232	ZSCR	551	030-1	NA	5WY86960	NA	A2C53405100MI	1				1301	circuit board assy	NA	HALB	S.Real	449.66	PS_ARAMIS 2011_GERARDO	4958153535
155236	ZSCR	551	030-1	NA	5WK44292	NA	A2C53395077	1				1301	pcb assy	NA	HALB	S.Real	76.22	OC_BOSE BMW_GERARDO EC	4958153516
155237	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958153459
155276	ZSCR	551	034-2	NA	5WK43871	NA	A2C53108376	2	3011	054		1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	43.08	PS_ARAMIS II MCG_GERARD	4958153886
155276	ZSCR	551	034-2	NA	5WK43871	NA	A2C53108377	8	3011	054		1342	cover FIP T GY	NA	ROH	NA	29.76	PS_ARAMIS II MCG_GERARD	4958153886
155276	ZSCR	551	034-2	NA	5WY86930	NA	A2C53108379	4	3011	054		1342	cover FIP T GY	NA	ROH	NA	13.28	PS_ARAMIS II MCG_GERARD	4958154882
155276	ZSCR	551	034-2	NA	5WY86930	NA	A2C53331574	1	3011	054		1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.77	PS_ARAMIS II MCG_GERARD	4958154882
155279	ZSCR	551	034-2	NA	5WK44354	NA	A2C30901300	19	3011	054		1342	base plate	NA	ROH	NA	186.96	PS_HYUNDAI_GERARDO ECHE	4958154420
155280	ZSCR	551	034-2	NA	5WK44385	NA	A2C00027390	42	3011	054		1342	COVER	NA	ROH	NA	142.8	PS_VW10 LC_GERARDO ECHE	4958154449
155281	ZSCR	551	034-2	NA	5WK44376	NA	A2C53239915	1	3011	054		1342	housing	NA	ROH	NA	22.39	PS_HONDA ACCORD_GERARDO	4958154438
