No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock			
663428	15/09/2015	ZSCR	551	040-3	NA	'054	A2C82134600	NA	A2C53333520	700	1403	TYPE LABLE	#N/A	ROH	NA	343	PS_SDM10+_.	NO	4993824386		
663429	15/09/2015	ZSCR	551	040-3	NA	'054	A2C87074500	NA	A2C83145200	200	1403	certification label identificati	#N/A	ROH	NA	60	PS_SDM30_.	NO	COST COLLECTOR		
663448	15/09/2015	ZSCR	551	040-1	NA	'054	5WK44592	NA	A2C53435477	1	1401	pcb assy HONHRS5 V36	#N/A	HALB	S.Real	228.68	PS_HONDA HRS5_.	NO	4993823907		
663462	15/09/2015	ZSCR	551	034-2	NA	'054	A2C37964112	NA	A2C35116201	4	1342	pcb assy DAGSTAR2 D_13	#N/A	HALB	S.Real	1642.44	PSAD_DAIMLER STAR 2_A.A	NO	4993823907		
663493	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83007700	NA	A2C83008400	100	1403	label identificati	#N/A	ROH	NA	23	PSAD_VOLVO P15_.	NO	STOCK		
663495	15/09/2015	ZSCR	551	040-3	NA	'054	A2C74675900	NA	A2C83021500	50	1403	label identificati	#N/A	ROH	NA	2258	PSAD_ARMIN_.	NO	4993824311		
663496	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83046900	NA	A2C83043900	40	1403	label identificati	#N/A	ROH	NA	51.6	PSAD_LAND ROVER_.	NO	STOCK		
663499	15/09/2015	ZSCR	551	034-2	NA	'054	A2C73614500	NA	A2C83017300	80	1342	certification label identificati	#N/A	ROH	NA	1396.8	PSAD_PSA CAN_.	NO	4993824292		
663646	17/09/2015	ZSCR	551	030-1	NA	'054	5WK44818	NA	A2C80256400	1	1301	pcb assy HONHRS6 D_7	#N/A	HALB	S.Real	185.34	PS_HONDA HRS6_J.JUAN CH	NO	4993824121		
663648	17/09/2015	ZSCR	551	030-1	NA	'054	A2C95268300	NA	A2C53241830	1	1301	circuit board assy	#N/A	HALB	S.Real	268.84	PS_FORD_.	NO	4993824882		
