No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Esp	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
658964	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C86398501	8				1253	housing assy	VUT019664	ROH	NA	63.04	S1_WK_WD RFHUB_. (APRO	NO	4993629863
658968	03/09/2015	ZSCR	551	040-1	NA	'015	A2C73789609	NA	A2C73789706	3				1401	pcb topTHD BCU CHR Wx CBC2	NA	HALB	S.Real/AutoBF	1158.78	S1_CBC MY15_. (APROBAC	NO	4993632868
658980	03/09/2015	ZSCR	551	034-3	NA	'015	A2C92629100	NA	A2C73753002	8				1343	transmitter CHR PASE 433 GV#04 5B	NA	HALB	S.Real	812.64	S1_PASE FOB CUSW_. (AP	NO	4993630912
658980	03/09/2015	ZSCR	551	034-3	NA	'015	A2C73753502S	NA	A2C73753502	2				1343	transmitter CHR PASE 433 GV#09 3B	NA	HALB	S.Real	190.72	S1_PASE FOB CUSW_. (AP	NO	4993630993
658980	03/09/2015	ZSCR	551	034-3	NA	'015	A2C93493000	NA	A2C74101702	1				1343	transmitter CHR PASE 433 GV#15 4B	NA	HALB	S.Real/AutoBF	86.91	S1_PASE FOB CUSW_. (AP	NO	4993632818
658980	03/09/2015	ZSCR	551	034-3	NA	'015	A2C86023300	NA	A2C86023300	5				1343	transceiver assy U/L/T/P	NA	HALB	S.Real/AutoBF	437.95	S1_PASE FOB CUSW_. (AP	NO	4993632831
658980	03/09/2015	ZSCR	551	034-3	NA	'015	A2C86022601	NA	A2C86023400	3				1343	transceiver assy ULTPRS	NA	HALB	S.Real/AutoBF	270.54	S1_PASE FOB CUSW_. (AP	NO	4993632847
658985	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C38136400	1				1253	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS)"""	VUT019664	HALB	S.Real/AutoBF	51.24	S1_PASE FOB CUSW_. (AP	NO	4993629792
658985	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C83930400	24				1253	"""SUB FOBIK PCB TOP-ASM, NA/EU(P U L)"""	VUT019664	HALB	S.Real/AutoBF	1112.4	S1_PASE FOB CUSW_. (AP	NO	4993629792
658985	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C83930600	1				1253	"""SUB FOBIK PCB TOP-ASM, NA/EU(U L)"""	VUT019664	HALB	S.Real/AutoBF	43.91	S1_PASE FOB CUSW_. (AP	NO	4993629792
659094	03/09/2015	ZSCR	551	034-2	NA	'015	A2C7501700093	NA	A2C7501700093	3				1342	pcb topTHD BCU CHRDX CBC2 TOP	NA	HALB	S.Real	1162.56	S1_CBC MY15_. (APROBAC	NO	4993630721
659331	03/09/2015	ZSCR	551	042-4	NA	'015	5WY7830H	NA	A2C00004906	2	3011	050	 	1424	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	3.26	S1_PASE FOB CUSW_. (AP	NO	4993633428
659331	03/09/2015	ZSCR	551	042-4	NA	'015	A2C73753101	NA	A2C73749700	2	3011	015	 	1424	housing cover assy up 4-btn	NA	ROH	NA	24.68	S1_PASE FOB CUSW_. (AP	NO	
659331	03/09/2015	ZSCR	551	042-4	NA	'015	A2C86022501	NA	A2C73750400	2	3011	015	 	1424	housing bottom assy CHR	NA	ROH	NA	16.82	S1_PASE FOB CUSW_. (AP	NO	
659331	03/09/2015	ZSCR	551	042-4	NA	'015	A2C86022501	NA	A2C73750700	5	3011	015	 	1424	pad Jewel	NA	ROH	NA	28	S1_PASE FOB CUSW_. (AP	NO	
659331	03/09/2015	ZSCR	551	042-4	NA	'015	A2C73752901	NA	A2C73751400	2	3011	015	 	1424	pad Vent	NA	ROH	NA	2.56	S1_PASE FOB CUSW_. (AP	NO	
659348	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C80656500	14				1253	module assy RKE 433 Var#8	VUG019952	HALB	S.Real/AutoBF	1851.36	S1_RFHM CUSW_. (APROBA	NO	4993629809
659352	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C86022900	44				1253	electronic assy ECU Var1	VUG020333	HALB	S.Real/AutoBF	7271	S1_RFHM CUSW_. (APROBA	NO	4993629809
659356	03/09/2015	ZSCR	551	034-3	NA	'015	A2C86022500	NA	A2C8730220093	20				1343	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	3030.8	S1_RFHM CUSW_. (APROBA	NO	4993631044
659359	03/09/2015	MB1A	951	025-3	NA	'015	NA	NA	A2C9113260093	20				1253	pcb assy PASE 433 Top	VUG020183	HALB	S.Real	2974.8	S1_CUSW UF RFHM_. (APR	NO	4993629740
