No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
560708	06/12/2014	ZSCR	551	034-2	NA	'050	68163903AB	NA	A2C53428197	3	3011	050	 	1342	TERMINAL STRIP	NA	ROH	NA	6.39	S1_TIPM LOGIC_P.PABLO P	NO	**
560721	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	3	3011	050	 	1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	63.24	S1_RFHM CUSW_A.ADRIANA	NO	
560721	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53331174	16	3011	050	 	1342	antenna	NA	ROH	NA	27.04	S1_RFHM CUSW_A.ADRIANA	NO	
560721	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	4	3011	050	 	1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	90.88	S1_RFHM CUSW_A.ADRIANA	NO	
560725	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32295700	NA	A2C00048062	1	3011	050	 	1342	"TLE8262E,SBC,CAN/LIN,DSO36-EP,BUS DRIVER"	NA	ROH	NA	11.36	S1_CUSW UF RFHM_A.ADRIA	NO	
560725	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53331174	18	3011	050	 	1342	antenna	NA	ROH	NA	30.42	S1_CUSW UF RFHM_A.ADRIA	NO	
560725	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53331174	3	3011	050	 	1342	antenna	NA	ROH	NA	5.07	S1_CUSW UF RFHM_A.ADRIA	NO	
560725	06/12/2014	ZSCR	551	034-2	NA	'050	A2C32291400	NA	A2C53375403	3	3011	050	 	1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	68.16	S1_CUSW UF RFHM_A.ADRIA	NO	
560802	06/12/2014	ZSCR	551	030-1	NA	'015	A2C87302200	NA	A2C8730220093	1				1301	pcb assy RKE 433 w/oKG Var#3	NA	HALB	S.Real	147.65	S1_CUSW UF RFHM_A.ADRIA	NO	
560888	06/12/2014	ZSCR	551	040-1	NA	'015	A2C93174400	NA	A2C3813640092	1				1401	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	NA	HALB	S.Real	50.24	S1_PASE FOB CUSW_A.ADRI	NO	
