No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
224122	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	3	1342	housing	NA	ROH	NA	12.12	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
224132	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C31080700	5	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	1929.55	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224136	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44741	NA	A2C53371768	1	1342	cover FIP T GY	NA	ROH	NA	3.64	PS_ARAMIS III_FERNANDO	NO	4962326185		
224138	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C30901300	4	1342	base plate	NA	ROH	NA	39.36	PS_HYUNDAI_	NO	4962327066		
224139	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	8	1095	cover RAP T BK	NA	ROH	NA	48.64	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224139	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C30199000	6	1095	base plate	NA	ROH	NA	41.28	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224141	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	28	1095	cover RAP T BK	NA	ROH	NA	170.24	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224143	28/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C40000025	15	1095	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	108.9	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224146	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	3	1342	housing	NA	ROH	NA	12.12	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
224146	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	3	1342	front plate	NA	ROH	NA	71.64	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
224158	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	4	1342	housing	NA	ROH	NA	16.16	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
224158	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	4	1342	front plate	NA	ROH	NA	95.52	OC_BOSE VW_ANA TAPIA-VI	NO	4962325071		
224159	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014717	5	1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	1.2	PS_VW10 LC_ULISES VILLE	NO	4962328301		
224159	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44385	NA	A2C00027390	2	1342	COVER	NA	ROH	NA	6.8	PS_VW10 LC_ULISES VILLE	NO	4962328287		
224159	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44288	NA	A2C53163642	2	1342	housing FIP	NA	ROH	NA	37.62	PS_VW10 LC_ULISES VILLE	NO	4962328266		
224160	28/10/2012		ZSCR	551	034-2	NA	'054	5WY86930	NA	A2C53108387	11	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2.09	PS_ARAMIS 2012_EDWIN RO	NO	4962325381		
224160	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44741	NA	A2C53245952	2	1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	38.32	PS_ARAMIS 2012_EDWIN RO	NO	4962325319		
224160	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44741	NA	A2C53371768	2	1342	cover FIP T GY	NA	ROH	NA	7.28	PS_ARAMIS 2012_EDWIN RO	NO	4962325319		
224160	28/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108377	2	1342	cover FIP T GY	NA	ROH	NA	7.44	PS_ARAMIS 2012_EDWIN RO	NO	4962325278		
224160	28/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108376	2	1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	43.08	PS_ARAMIS 2012_EDWIN RO	NO	4962325278		
224161	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44287	NA	A2C00014697	100	1342	sticker	NA	ROH	NA	51	PS_VW10 LC_ULISES VILLE	NO	4962328221		
224161	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44385	NA	A2C00027390	2	1342	COVER	NA	ROH	NA	6.8	PS_VW10 LC_ULISES VILLE	NO	4962328287		
224162	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44352	NA	A2C53381596	2	1342	COVER	NA	ROH	NA	10.78	PS_HYUNDAI_	NO	4962327045		
224163	28/10/2012		ZSCR	551	034-2	NA	'054	5WK43871	NA	A2C53108377	5	1342	cover FIP T GY	NA	ROH	NA	18.6	PS_ARAMIS II MCG_FERNAN	NO	4962326006		
224164	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397780	14	1342	COVER	NA	ROH	NA	118.3	PS_HONDA HRS5_	NO	4962326492		
224164	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53108387	152	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	28.88	PS_HONDA HRS5_	NO	4962326492		
224164	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44567	NA	A2C53405780	3	1342	housing	NA	ROH	NA	111.09	PS_HONDA HRS5_	NO	4962326531		
224164	28/10/2012		ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397769	8	1342	housing	NA	ROH	NA	186.48	PS_HONDA HRS5_	NO	4962326492		
224177	28/10/2012		ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287893	12	1301	pcb BMWOCE E70 OCE2007 EMC	NA	ROH	NA	83.76	OC_OCS NISSAN_ANA TAPIA	NO	4962325160		
224182	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224184	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	3	1095	pcb topSMD TOP	NA	HALB	S.Real	702.12	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224185	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8397190093	1	1095	pcb topSMD top	NA	HALB	S.Real	356.67	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224190	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224193	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224195	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224196	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224197	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224199	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224201	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021660093	1	1095	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	308.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
224205	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224206	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
224252	28/10/2012		ZSCR	551	030-1	NA	'054	5WY77380	NA	A2C53123847	1	1301	circuit board assy	NA	HALB	S.Real	257.78	PS_FORD_	NO			
224317	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
224321	28/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1	1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
