No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	Reason Code	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
237752	27/11/2012	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	11	1301	circuit board assy	NA	HALB	S.Real	658.79	S1_DCU_ADRIAN CEBALLOS	NO	4963177096		
237754	27/11/2012	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	32	1301	circuit board assy	NA	HALB	S.Real	1916.48	S1_DCU_ADRIAN CEBALLOS	NO	4963177096		
237755	27/11/2012	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	30	1301	circuit board assy	NA	HALB	S.Real	2793.9	S1_DCU_ADRIAN CEBALLOS	NO	4963177077		
237756	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	8	1342	circuit board assy	NA	HALB	S.Real	745.04	S1_DCU_ADRIAN CEBALLOS	NO	4963178014		
237757	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	32	1342	circuit board assy	NA	HALB	S.Real	1916.48	S1_DCU_ADRIAN CEBALLOS	NO	4963178036		
237762	27/11/2012	ZSCR	551	030-1	NA	'050	5WK49309	NA	A2C31535000	80	1301	pcb HONDA KEY U	NA	ROH	NA	176	S5_TXK_JORGE AGUILAR	NO	4963179924		
237763	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	26	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	872.82	S5_TXK_JORGE AGUILAR	NO	4963177049		
237768	27/11/2012	ZSCR	551	030-1	NA	'050	5WK50218	NA	A2C53385267	32	1301	pcb BMWZZDIV 315Mhz	NA	ROH	NA	170.24	S1_BMW_ADRIAN CEBALLOS	NO	4963180329		
237785	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	105.36	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
237786	27/11/2012	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C53402830	2	1402	parts kit assy TPM	NA	HALB	S.Real/AutoBF	105.36	S1_TG1C DCX_JAIME JIMEN	NO	4963178647		
237787	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	8	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	421.44	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
237788	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	11	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	579.48	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
237790	27/11/2012	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	3	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	184.29	S5_TG1C HONDA_MIGUEL QU	NO	4963178506		
237791	27/11/2012	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	3	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	184.29	S5_TG1C HONDA_MIGUEL QU	NO	4963178506		
237792	27/11/2012	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	61.43	S5_TG1C HONDA_MIGUEL QU	NO	4963178506		
237793	27/11/2012	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53345109	1	1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	61.43	S5_TG1C HONDA_MIGUEL QU	NO	4963178506		
237795	27/11/2012	ZSCR	551	030-1	NA	'015	5WY8547	NA	A2C3144240093	1	1301	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	36.44	S1_TG1C DCX_JAIME JIMEN	NO	4963177030		
237801	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	2	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	67.14	S5_TXK_JORGE AGUILAR	NO	4963177049		
237803	27/11/2012	ZSCR	551	030-1	NA	'015	A2C3752390093	NA	A2C3752390093	23	1301	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	1552.5	S1_BMW_ADRIAN CEBALLOS	NO	4963177038		
237870	27/11/2012	ZSCR	551	040-5	NA	'015	5WK47834	NA	A2C53249282	4	1405	circuit board assy HONDA ZZDI	NA	HALB	S.Real	725.48	S5_SMART ECU_ENRIQUE GA	NO	4963178350		
237876	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49308	NA	A2C53215449-B	1	1301	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR	NO	4963177049		
238002	27/11/2012	ZSCR	551	030-1	NA	'015	S180084340G	NA	A2C8058490093	1	1301	circuit board assy TPM TOP	NA	HALB	S.Real	36.44	S5_TG1C HONDA_MIGUEL QU	NO	4963177130		
238003	27/11/2012	ZSCR	551	030-1	NA	'015	S180084340G	NA	A2C8058490093	5	1301	circuit board assy TPM TOP	NA	HALB	S.Real	182.2	S5_TG1C HONDA_MIGUEL QU	NO	4963177130		
238004	27/11/2012	ZSCR	551	030-1	NA	'015	S180084340G	NA	A2C8058490093	2	1301	circuit board assy TPM TOP	NA	HALB	S.Real	72.88	S5_TG1C HONDA_MIGUEL QU	NO	4963177130		
238056	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C32163600	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	153.54	S1_TG1C DCX_JAIME JIMEN	NO	4963178453		
238059	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C32163600	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	51.18	S1_TG1C DCX_JAIME JIMEN	NO	4963178453		
238061	27/11/2012	ZSCR	551	042-4	NA	'015	5WY8547	NA	A2C53402830	3	1424	parts kit assy TPM	NA	HALB	S.Real/AutoBF	158.04	S1_TG1C DCX_JAIME JIMEN	NO	4963179803		
238063	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.68	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
238066	27/11/2012	ZSCR	551	042-4	NA	'015	5WY8547	NA	A2C53402830	1	1424	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.68	S1_TG1C DCX_JAIME JIMEN	NO	4963179803		
238072	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53348715	3	1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	190.32	S1_TG1C DCX_JAIME JIMEN	NO	4963178510		
238076	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.68	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
238083	27/11/2012	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C53402830	2	1402	parts kit assy TPM	NA	HALB	S.Real/AutoBF	105.36	S1_TG1C DCX_JAIME JIMEN	NO	4963178647		
238085	27/11/2012	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53402830	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.68	S1_TG1C DCX_JAIME JIMEN	NO	4963178542		
238089	27/11/2012	ZSCR	551	040-2	NA	'015	5WY8547	NA	A2C53402830	1	1402	parts kit assy TPM	NA	HALB	S.Real/AutoBF	52.68	S1_TG1C DCX_JAIME JIMEN	NO	4963178647		
238099	27/11/2012	ZSCR	551	042-4	NA	'015	A2C53345109	NA	A2C53402231	1	1424	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	52.39	S5_TG1C HONDA_MIGUEL QU	NO	4963178672		
238102	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53345109	NA	A2C53402231	2	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	104.78	S5_TG1C HONDA_MIGUEL QU	NO	4963178532		
238105	27/11/2012	ZSCR	551	040-2	NA	'015	A2C53345109	NA	A2C53402230	1	1402	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	51.07	S5_TG1C HONDA_MIGUEL QU	NO	4963178640		
238135	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49309	NA	A2C5321554092	2	1342	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	63.82	S5_TXK_JORGE AGUILAR	NO	4963177940		
238137	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	3	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	100.71	S5_TXK_JORGE AGUILAR	NO	4963177932		
238139	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	21	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	704.97	S5_TXK_JORGE AGUILAR	NO	4963177932		
238142	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49309	NA	A2C5321554092	4	1342	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	127.64	S5_TXK_JORGE AGUILAR	NO	4963177940		
238146	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	1	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR	NO	4963177932		
238200	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49524	NA	A2C53311812B	1	1301	SMD SUB ASSY SMART FOB BOT V7	NA	HALB	S.Real	73.26	S5_SMART FOB_ENRIQUE GA	NO	4963177072		
238209	27/11/2012	ZSCR	551	034-2	NA	'015	5WK50173H	NA	A2C53364288B	2	1342	SMD SUB ASSY SMART FOB BOT VARIANT 10	NA	HALB	S.Real	144.06	S5_SMART FOB_ENRIQUE GA	NO	4963178060		
238211	27/11/2012	ZSCR	551	040-1	NA	'015	5WK49830	NA	A2C53335967B	2	1401	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	148.82	S5_SMART FOB_ENRIQUE GA	NO	4963178201		
238220	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49829	NA	A2C53335966B	1	1301	SMD Assy Fob Mobilio HP (Bot)	NA	HALB	S.Real	73.23	S5_SMART FOB_ENRIQUE GA	NO	4963177087		
238260	27/11/2012	ZSCR	551	030-1	NA	'015	5WK49210	NA	A2C53190307	8	1301	circuit board assy	NA	HALB	S.Real	674.4	S5_RXM_JORGE AGUILAR	NO	4963177042		
238261	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49210	NA	A2C53190307	1	1342	circuit board assy	NA	HALB	S.Real	84.3	S5_RXM_JORGE AGUILAR	NO	4963177920		
238262	27/11/2012	ZSCR	551	040-3	NA	'015	5WK49210	NA	A2C53190307	5	1403	circuit board assy	NA	HALB	S.Real	421.5	S5_RXM_JORGE AGUILAR	NO	4963178310		
238263	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49210	NA	A2C53190307	3	1342	circuit board assy	NA	HALB	S.Real	252.9	S5_RXM_JORGE AGUILAR	NO	4963177920		
238264	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	10	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	335.7	S5_TXK_JORGE AGUILAR	NO	4963177932		
238268	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49790	NA	A2C53311811B	4	1342	SMD SUB ASSY SMART FOB BOT VARIANT 6	NA	HALB	S.Real	280.92	S5_SMART FOB_ENRIQUE GA	NO	4963178010		
238269	27/11/2012	ZSCR	551	034-2	NA	'015	5WK49830	NA	A2C53335967B	3	1342	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	223.23	S5_SMART FOB_ENRIQUE GA	NO	4963178021		
238272	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53165198	NA	A2C53165198	1	1342	housing assy NISD-PLATU	NA	HALB	S.Real/AutoBF	81.22	S5_ACURA FOB_ENRIQUE GA	NO	4963178468		
238272	27/11/2012	ZSCR	551	034-2	NA	'015	A2C53427192	NA	A2C53426161B	1	1342	SMD SUB ASSY SMART FOB BOT ACURA RDX 4B	NA	HALB	S.Real	67.7	S5_ACURA FOB_ENRIQUE GA	NO	4963178111		
