No.Item	Txs SAP	Mov	Código Scrap	O.I.	OKJ	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
129392	MB1A	551	034-2	B30301-01195	NA	NA	A2C00004906	2	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	4956704108
129392	MB1A	551	034-2	B30301-01195	NA	NA	A2C30115900	2	1095	housing bottom	NA	ROH	NA	7.58	4956704108
129392	MB1A	551	034-2	B30301-01195	NA	NA	A2C31221300	2	1095	circuit board assy TPM	NA	HALB	S.Real	98.2	4956704108
129392	MB1A	551	034-2	B30301-01195	NA	NA	A2C53358639	2	1095	contact spring	NA	ROH	NA	1.12	4956704108
129392	MB1A	551	034-2	B30301-01195	NA	NA	A2C53405271	2	1095	Foam PEPS PK MY11	NA	ROH	NA	0.8	4956704108
129408	MB1A	551	030-1	B30301-01195	NA	NA	A2C00004906	6	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.22	4956704108
129408	MB1A	551	030-1	B30301-01195	NA	NA	A2C30115900	6	1095	housing bottom	NA	ROH	NA	22.74	4956704108
129408	MB1A	551	030-1	B30301-01195	NA	NA	A2C53358639	6	1095	contact spring	NA	ROH	NA	3.36	4956704108
129413	MB1A	551	040-2	B30301-01195	NA	NA	A2C00004906	1	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	4956704108
129413	MB1A	551	040-2	B30301-01195	NA	NA	A2C30115900	1	1095	housing bottom	NA	ROH	NA	3.79	4956704108
129413	MB1A	551	040-2	B30301-01195	NA	NA	A2C53358639	1	1095	contact spring	NA	ROH	NA	0.56	4956704108
129466	MB1A	551	040-3	B30301-01195	NA	NA	A2C31221300	27	1095	circuit board assy TPM	NA	HALB	S.Real	1325.7	4956704108
129466	MB1A	551	040-3	B30301-01195	NA	NA	A2C53405271	10	1095	Foam PEPS PK MY11	NA	ROH	NA	4	4956704108
129468	MB1A	551	040-3	B30301-01195	NA	NA	A2C53405271	5	1095	Foam PEPS PK MY11	NA	ROH	NA	2	4956704108
129468	MB1A	551	040-3	B30301-01195	NA	NA	A2C53408731	5	1095	circuit board assy TPM	NA	HALB	S.Real	232.95	4956704108
129473	MB1A	551	030-1	B30301-01195	NA	NA	A2C53405271	5	1095	Foam PEPS PK MY11	NA	ROH	NA	2	4956704108
129473	MB1A	551	030-1	B30301-01195	NA	NA	A2C53408731	5	1095	circuit board assy TPM	NA	HALB	S.Real	232.95	4956704108
129480	ZSCR	551	030-1	NA	5WK48902C	NA	A2C53100307T	150	1301	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real/AutoBF	4173	4956706882
129482	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370	6	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	375.84	4956703617
129484	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370	1	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	62.64	4956703617
129488	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370	8	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	501.12	4956703617
129551	MB1A	551	040-2	B30301-02395	NA	NA	A2C53311196	1	1095	cover LOP B BK	NA	ROH	NA	6.22	4956704374
129551	MB1A	551	040-2	B30301-02395	NA	NA	A2C53340509	1	1095	"housing UPP 170,0x 180,0"	NA	ROH	NA	8.26	4956704374
129551	MB1A	551	040-2	B30301-02395	NA	NA	A2C53420002	2	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	798.12	4956704374
129702	MB1A	551	040-2	B30301-00495	NA	NA	A2C31197800	39	1095	key	NA	ROH	NA	16.77	4956703617
129702	MB1A	551	040-2	B30301-00495	NA	NA	A2C53395685	39	1095	housing assy FOG FORD P	NA	ROH	NA	1056.51	4956703617
129708	MB1A	551	040-2	B30301-00495	NA	NA	A2C53333379	1	1095	LINCOLN LOGO	NA	ROH	NA	5.41	4956703617
129711	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
129716	ZSCR	551	030-1	NA	5WK50244	NA	A2C53361994	2	1301	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	672.58	4956706183
129733	MB1A	951	025-3	NA	NA	NA	A2C53297341	2130	1253	pcb NIS	VUG10187923	ROH	NA	6752.1	4956705059
129764	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
129766	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
129768	MB1A	551	030-1	B30301-02395	NA	NA	A2C53420006	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	374.87	4956704374
129771	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999	3	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	1112.73	4956704374
129776	ZSCR	551	030-1	NA	5WY8800	NA	A2C53282673	4	1301	pcb panel ABM	NA	ROH	NA	64.96	4956707222
129785	ZSCR	551	034-2	NA	5WY8540	NA	A2C53349317	4	1342	electronic assy GM EZKEY P	NA	HALB	S.Real	798.76	4956707567
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00000430	4	1095	"40V,3A,1,SCHOTTKY,DO214AB,RECT DIODE/MBR"	NA	ROH	NA	1.96	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00024927	26	1095	"1,COUNT,SO16,LOGIC/MC14060BDR2. The lead"	NA	ROH	NA	20.54	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00042395	2	1095	"4,40V,140mOhm,SO20L,GENERAL PURPOSE,HIGH"	NA	ROH	NA	19.02	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00045608	2	1095	"220uF,20%,35V,SMD,AL,ELEC CAP/"	NA	ROH	NA	2	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00046464	2	1095	"Switch Monitor Interface,PC33972AEWR2 re"	NA	ROH	NA	24.32	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00049905	52	1095	"1,42V,23mOhm,TO252/DPAK,GENERAL PURPOSE,"	NA	ROH	NA	195.52	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00050588	26	1095	"1,28V,10mOhm,TO252/DPAK,GENERAL PURPOSE,"	NA	ROH	NA	127.14	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00056375	98	1095	"1,41V,10Ohm,7 pins HPAK,GENERAL PURPOSE,"	NA	ROH	NA	595.84	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00056376	6	1095	"2,36V,50mOhm,PowerSSO-24,GENERAL PURPOSE"	NA	ROH	NA	33.42	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00056377	8	1095	"4,41V,50mOhm,PowerSSO-24,GENERAL PURPOSE"	NA	ROH	NA	74.56	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C00057295	26	1095	"TRANSCEIVER,CAN,LIN,HTSSOP32,BUS DRIVER"	NA	ROH	NA	410.02	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C53375402	2	1095	receiver DIVZZDIV RXI-35-3	NA	ROH	NA	53.34	4956704374
129987	MB1A	551	062-4	B30301-02395	NA	NA	A2C53395243	32	1095	circuit board main 1353	NA	ROH	NA	1514.24	4956704374
130020	ZSCR	551	022-2	NA	5WG50029	NA	A2C53390797	1	1222	circuit board assy VW PQ35	NA	HALB	S.Real	99.36	4956704468
130141	ZSCR	551	030-1	NA	5WY8806	NA	A2C53349876	9	1301	circuit board assy GM EZKEY P NA/JP PC	NA	HALB	S.Real	1236.87	4956706149
130167	MB1A	551	040-2	B30301-00495	NA	NA	A2C31197800	35	1095	key	NA	ROH	NA	15.05	4956703617
130167	MB1A	551	040-2	B30301-00495	NA	NA	A2C53395685	25	1095	housing assy FOG FORD P	NA	ROH	NA	677.25	4956703617
130173	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370B	20	1095	SMD SUB ASSY FORD PK 315 Mhz bot side	NA	HALB	S.Real/AutoBF	952.8	4956703617
130195	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
130210	MB1A	551	034-2	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
130212	MB1A	551	040-2	B30301-02395	NA	NA	A2C53420006	2	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	749.74	4956704374
130216	MB1A	551	040-2	B30301-02395	NA	NA	A2C53419999	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	370.91	4956704374
130232	MB1A	551	034-1	B30301-00495	NA	NA	A2C31197800	32	1095	key	NA	ROH	NA	13.76	4956703617
130232	MB1A	551	034-1	B30301-00495	NA	NA	A2C53395685	32	1095	housing assy FOG FORD P	NA	ROH	NA	866.88	4956703617
130233	ZSCR	551	030-1	NA	5WY8800	NA	A2C53282668	1	1301	pcb assy FOG FORD ABM base+alm	NA	HALB	S.Real	112.18	4956705897
130234	MB1A	551	030-1	B30301-00495	NA	NA	A2C53333370	2	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	125.28	4956703617
130235	MB1A	551	034-2	B30301-01195	NA	NA	A2C31221300	6	1095	circuit board assy TPM	NA	HALB	S.Real	294.6	4956704108
130248	MB1A	551	040-2	B30301-01195	NA	NA	A2C31221300	4	1095	circuit board assy TPM	NA	HALB	S.Real	196.4	4956704108
130266	MB1A	551	040-3	B30301-01195	NA	NA	A2C30115900	9	1095	housing bottom	NA	ROH	NA	34.11	4956704108
130266	MB1A	551	040-3	B30301-01195	NA	NA	A2C53358639	7	1095	contact spring	NA	ROH	NA	3.92	4956704108
130318	MB1A	551	023-2	NA	NA	NA	A2C53141571	6	1232	housing assy NIS D-PLAT	NA	ROH	NA	193.32	4956704674
130323	ZSCR	551	022-2	NA	S122736090A	NA	A2C53386110	1	1222	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4956704496
130332	ZSCR	551	040-4	NA	5WK50331	NA	A2C53398079	1	1404	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4956707821
130338	ZSCR	551	034-2	NA	5WK50331	NA	A2C53398079	1	1342	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4956707414
130341	ZSCR	551	034-2	NA	5WY8604	NA	A2C00005633	55	1342	35V 0%~+30% ELECTROLYTIC CAPACITOR	NA	ROH	NA	66.55	4956707613
130397	MB1A	551	030-1	B30301-02395	NA	NA	A2C53419999T	10	1095	pcb assy VW PQ35 ZE Top	NA	HALB	S.Real	3454.8	4956704374
130401	ZSCR	551	030-1	NA	5WK50331	NA	A2C53398079	2	1301	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	652.84	4956706605
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C00004906	71	1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	97.27	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C31197800	519	1095	key	NA	ROH	NA	223.17	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53105128	72	1095	contact spring	NA	ROH	NA	23.04	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53333348	19	1095	frame pk peps	NA	ROH	NA	75.24	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53333370	21	1095	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	1315.44	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53333378	39	1095	FORD LOGO	NA	ROH	NA	191.1	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53395685	1007	1095	housing assy FOG FORD P	NA	ROH	NA	27279.63	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53405271	72	1095	Foam PEPS PK MY11	NA	ROH	NA	28.8	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53430559	72	1095	housing	NA	ROH	NA	319.68	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53434669	70	1095	housing assy FOG FORD P	NA	ROH	NA	311.5	4956703617
130409	MB1A	551	022-2	B30301-00495	NA	NA	A2C53441221	54	1095	sticker	NA	ROH	NA	60.48	4956703617
