area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,Prueba Final,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Muestra De Oro Obsoleta,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Pines De Conector Sumidos,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Pines De Conector Sumidos,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Set Up De Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Prueba Final,Unidad Caida Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Conector Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Conector Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Conector Dañado,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Exceso De Pruebas,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Muestra De Oro Obsoleta,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Pines De Conector Sumidos,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Pines De Conector Sumidos,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Set Up De Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Roll Over,Unidad Caida Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Componente Dañado/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Componente Dañado/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Conector Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Conector Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Conector Dañado,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Conector Manchado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Conector Manchado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Exceso De Pruebas,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Mal Diseño,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Muestra De Oro Obsoleta,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Pines De Conector Sumidos,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Pines De Conector Sumidos,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Set Up De Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Run-In,Unidad Caida Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Arrancados,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Arrancados,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Dañados/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Dañados/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Pcb Mal Cortado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Pcb Mal Cortado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Unidad Caída Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Sawing,Unidad Caída Al Piso,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Aoi,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aoi,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Aoi,Componente Dañado (Golpeado),Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aoi,Componente Dañado (Golpeado),MAQUINA,PSAD,DAIMLER STAR 2
SMD,Aoi,Exceso De Pruebas,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aoi,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Aoi,Pcb Abortado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Aoi,Pruebas De Ingeniería,METODO,PSAD,DAIMLER STAR 2
SMD,Aoi,Sin Prueba Anterior,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aoi,Unidad Caida Al Piso,Equipo,PSAD,DAIMLER STAR 2
SMD,Aoi,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aspi,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Aspi,Pánel Barrido,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Aspi,Pcb Abortado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Aspi,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
SMD,Aspi,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Asys,Desplazado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Asys,Desplazado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Asys,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Asys,Panel Atorado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Asys,Panel Atorado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Asys,Panel Atorado,METODO,PSAD,DAIMLER STAR 2
SMD,Asys,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
SMD,Asys,Set Up Equipo,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Asys,Set Up Equipo,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Asys,Unidad Caida Al Piso,Equipo,PSAD,DAIMLER STAR 2
SMD,Asys,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Dañado (Golpeado),Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Dañado (Golpeado),MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Componente De Canto (De Lado),MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Componente De Canto (De Lado),METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Faltante,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Componente Faltante,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Contaminación,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Contaminación,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Contaminación,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Contaminación,Proveedor,PSAD,DAIMLER STAR 2
SMD,Horno,Cortos /Puente De Soldadura,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Cortos /Puente De Soldadura,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Cortos /Puente De Soldadura,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Desplazado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Insuficiencia De Soldadura Lado A ,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Insuficiencia De Soldadura Lado A ,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Insuficiencia De Soldadura Lado B ,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Insuficiencia De Soldadura Lado B ,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Liberación De Equipo,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Panel Atorado,Mano De Obra,PSAD,DAIMLER STAR 2
SMD,Horno,Panel Atorado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Panel Atorado,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Pcb Abortado,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Perlas De Soldadura,MAQUINA,PSAD,DAIMLER STAR 2
SMD,Horno,Perlas De Soldadura,METODO,PSAD,DAIMLER STAR 2
SMD,Horno,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
