No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00003596	2	1351	"17R8,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.18	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00003596	3	1351	"17R8,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.27	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003613	2	1351	"681R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.18	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003613	1	1351	"681R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.09	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003778	2	1351	"R LIN,10R,5%,TK250,125mW,0805"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003778	1	1351	"R LIN,10R,5%,TK250,125mW,0805"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00003779	24	1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.24	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003779	9	1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.09	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003779	3	1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.03	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00003779	8	1351	"100R,5%,TK200,63mW,0603,LIN RES/RC"		ROH	NA	0.08	4955579452
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00003818	5	1351	"R LIN,330R,5%,TK200,100mW,0603"		ROH	NA	0.05	4955581476
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00003818	2	1351	"R LIN,330R,5%,TK200,100mW,0603"		ROH	NA	0.02	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00003818	3	1351	"R LIN,330R,5%,TK200,100mW,0603"		ROH	NA	0.03	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00003885	7	1351	"75R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.63	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00003885	2	1351	"75R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.18	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004025	2	1351	"1K3,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.06	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004025	1	1351	"1K3,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.03	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004031	2	1351	"4K99,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.06	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004031	2	1351	"4K99,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.06	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004031	1	1351	"4K99,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.03	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004031	1	1351	"4K99,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.03	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004031	1	1351	"4K99,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.03	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004318	2	1351	"R LIN,1K,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004318	1	1351	"R LIN,1K,1%,TK100,100mW,0603"		ROH	NA	0.01	4955579416
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004322	5	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.05	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004322	9	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.09	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004322	3	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.03	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004322	2	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004322	3	1351	"5K62,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.03	4955579416
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004324	19	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.19	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004324	25	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.25	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004324	7	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.07	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004324	5	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.05	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004324	11	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.11	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004336	2	1351	"2K55,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004336	1	1351	"2K55,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004336	1	1351	"2K55,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955579452
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004337	2	1351	"4K12,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004337	9	1351	"4K12,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.09	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004337	2	1351	"4K12,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004349	2	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004349	30	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.3	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004349	8	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.08	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004349	1	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.01	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004349	1	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	0.01	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004368	5	1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.05	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004368	1	1351	"R LIN,100K,1%,TK100,100mW,0603"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004449	5	1351	"2K,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.2	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004449	1	1351	"2K,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.04	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004463	2	1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00004555	2	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004555	16	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.16	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004555	4	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.04	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00004555	1	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.01	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00004555	1	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	0.01	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00004567	2	1351	"51K1,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00004567	1	1351	"51K1,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00005646	2	1351	"100R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	4955581476
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00005646	1	1351	"100R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.02	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00005646	1	1351	"100R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.02	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00006416	5	1351	"PTN ! 70V,200mA,2,FAST,SOT323_3,RECT DIO"		ROH	NA	0.45	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00006416	1	1351	"PTN ! 70V,200mA,2,FAST,SOT323_3,RECT DIO"		ROH	NA	0.09	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00006435	2	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.04	4955581534
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00006946	5	1351	"40V,750mA,1,SCHOTTKY,SOD323,RECT DIODE/B"		ROH	NA	1.85	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00006946	1	1351	"40V,750mA,1,SCHOTTKY,SOD323,RECT DIODE/B"		ROH	NA	0.37	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00006946	4	1351	"40V,750mA,1,SCHOTTKY,SOD323,RECT DIODE/B"		ROH	NA	1.48	4955579452
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00007051	2	1351	"499R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00007051	1	1351	"499R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00007054	14	1351	"4K99,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.14	4955581476
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00007054	5	1351	"4K99,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.05	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00007054	8	1351	"4K99,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.08	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00007265	5	1351	"1,NPN,NORMAL,100mA,1.5V,SOT23,BIP/BCR112"		ROH	NA	0.5	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00007265	1	1351	"1,NPN,NORMAL,100mA,1.5V,SOT23,BIP/BCR112"		ROH	NA	0.1	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00007695	5	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.8	4955581476
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00007695	2	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.32	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00007695	3	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	0.48	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00007713	2	1351	"681R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.04	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00007713	1	1351	"681R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00007729	7	1351	"12K4,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.07	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00007729	2	1351	"12K4,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00007895	2	1351	"C CER,C0G,470pF,5%,50V,0603,Sn"		ROH	NA	0.06	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00008506	2	1351	"0R1,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	1.46	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00008506	1	1351	"0R1,5%,TK100,1W,MELF0207,LIN RES/MMB"		ROH	NA	0.73	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00010442	2	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010442	16	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.16	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00010442	5	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.05	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00010442	1	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.01	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00010442	1	1351	"1K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.01	4955579416
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00010541	2	1351	"R LIN,43R,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010541	2	1351	"R LIN,43R,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00010541	1	1351	"R LIN,43R,1%,TK100,100mW,0603"		ROH	NA	0.01	4955581393
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010760	2	1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR158"		ROH	NA	0.2	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00010760	1	1351	"1,PNP,NORMAL,100mA,50V,SOT323,BIP/BCR158"		ROH	NA	0.1	4955581393
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00010877	2	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010877	11	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.11	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00010877	2	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.02	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00010877	1	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.01	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00010877	1	1351	"R LIN,3K24,1%,TK100,100mW,0603"		ROH	NA	0.01	4955579416
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00010918	2	1351	"100K,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.02	4955581534
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00011374	5	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.05	4955581476
112260	ZSCR	551	035-1	0	A2C53375498B2	NA	A2C00011374	16	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.16	4955581534
112260	ZSCR	551	035-1	0	A2C53375497B2	NA	A2C00011374	4	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.04	4955581393
112260	ZSCR	551	035-1	0	A2C53350937A	NA	A2C00011374	2	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.02	4955579452
112260	ZSCR	551	035-1	0	A2C53345669A	NA	A2C00011374	3	1351	"8K25,1%,TK100,63mW,0402,LIN RES/ERJ"		ROH	NA	0.03	4955579416
112260	ZSCR	551	035-1	0	A2C53375498A2	NA	A2C00016442	5	1351	"R LIN,165R,1%,TK100,100mW,0603"		ROH	NA	0.1	4955581476
