No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
619602	13/05/2015	ZSCR	551	030-1	NA	'054	A2C33330515	NA	A2C9663150093	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	433.58	PSAD_DAIMLER STAR2_ISC_	NO	
619605	13/05/2015	ZSCR	551	030-1	NA	'054	A2C3320950092	NA	A2C53387067	40	3011	054	 	1301	pcb FIAT ACU MA	NA	ROH	NA	486	PS_FIAT BRAZIL_.	NO	
619611	13/05/2015	ZSCR	551	030-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619612	13/05/2015	ZSCR	551	030-1	NA	'054	A2C33330515	NA	A2C96631500	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	
619620	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619621	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619623	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619625	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619626	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619627	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619629	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619639	13/05/2015	ZSCR	551	040-3	NA	'054	5WK43025	NA	6593331401	50	3011	054	 	1403	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	13.5	PS_HONDA HRS6_J.JUAN CH	NO	4990249101
619639	13/05/2015	ZSCR	551	040-3	NA	'054	5WK43242	NA	6593571403	30	3011	054	 	1403	ETIQUETA C/ROTULO DE ADVERTENC s/d	NA	ROH	NA	25.2	PS_HONDA HRS6_J.JUAN CH	NO	4990249127
619645	13/05/2015	ZSCR	551	040-1	NA	'054	5WK44508	NA	A2C53416946	1	3011	054	 	1401	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	225.94	PS_VW10 LC_.	NO	
619652	13/05/2015	ZSCR	551	040-3	NA	'054	5WK44285	NA	A2C00027016	2	3011	054	 	1403	housing	NA	ROH	NA	29.82	PS_VW10 LC_.	NO	4990249402
619653	13/05/2015	ZSCR	551	040-3	NA	'054	5WK43025	NA	6593331401	114	3011	054	 	1403	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	30.78	PS_HONDA HRS6_J.JUAN CH	NO	4990249101
619653	13/05/2015	ZSCR	551	040-3	NA	'054	5WK43242	NA	6593571403	30	3011	054	 	1403	ETIQUETA C/ROTULO DE ADVERTENC s/d	NA	ROH	NA	25.2	PS_HONDA HRS6_J.JUAN CH	NO	4990249127
619654	13/05/2015	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53098572	70	3011	054	 	1403	label	NA	ROH	NA	30.8	OC_BOSE VW_A.ANA TAPIA-	NO	4990249195
619656	13/05/2015	ZSCR	551	040-3	NA	'054	5WK44748	NA	A2C53108387	15	3011	054	 	1403	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	3	PS_HONDA HRS6_J.JUAN CH	NO	
619656	13/05/2015	ZSCR	551	040-3	NA	'054	5WK44748	NA	A2C53397769	3	3011	054	 	1403	housing	NA	ROH	NA	68.58	PS_HONDA HRS6_J.JUAN CH	NO	
619657	13/05/2015	ZSCR	551	040-3	NA	'054	5WK44673	NA	A2C53332366	4	3011	054	 	1403	cover RAP T BK	NA	ROH	NA	31.16	PS_FIAT BRAZIL_.	NO	
619707	13/05/2015	ZSCR	551	040-1	NA	'054	A2C92704001	NA	A2C96631600	1	3011	054	 	1401	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	411.05	PSAD_DAIMLER STAR2_ISC_	NO	
619708	13/05/2015	ZSCR	551	040-2	NA	'054	5WK44252	NA	A2C53355144	2	3011	054	 	1402	housing	NA	ROH	NA	8.54	OC_BOSE VW_A.ANA TAPIA-	NO	4990249394
619829	13/05/2015	ZSCR	551	035-1	0	'054	A2C8496530092	NA	A2C40017302	5	3011	054	 	1351	"R LIN,3R9,5%,TK500,125mW,0805"		ROH	NA	0.05	PS_HONDA HRS6_A.APROBAC	NO	
620015	14/05/2015	ZSCR	551	030-1	NA	'054	A2C80612810	NA	A2C81455800	1	3011	054	 	1301	pcb assy RENT4 V01	NA	HALB	S.Real	134.62	PS_RENAULT_.	NO	
620020	14/05/2015	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	395.76	PS_SDM30_.	NO	
620028	14/05/2015	ZSCR	551	030-1	NA	'054	A2C33330515	NA	A2C96631500	1	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW	NA	HALB	S.Real	511.46	PSAD_DAIMLER STAR2_ISC_	NO	
620054	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	169.81	PS_HYUNDAI_.	NO	
620055	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	169.81	PS_HYUNDAI_.	NO	
620066	14/05/2015	ZSCR	551	030-1	NA	'054	A2C81455800	NA	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO	
620068	14/05/2015	ZSCR	551	030-1	NA	'054	A2C81455800	NA	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO	
620069	14/05/2015	ZSCR	551	030-1	NA	'054	A2C81455800	NA	A2C8145580093	1	3011	054	 	1301	pcb assy RENT4 V01 TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO	
620071	14/05/2015	ZSCR	551	030-1	NA	'054	A2C33330515	NA	A2C9663150093	4	3011	054	 	1301	pcb assy DAGSTAR2 ISC with SW SMD TOP	NA	HALB	S.Real	1734.32	PSAD_DAIMLER STAR2_ISC_	NO	
620072	14/05/2015	ZSCR	551	030-1	NA	'054	A2C91764100	NA	A2C9257230093	1	3011	054	 	1301	pcb assy GMSMD30 Top	NA	HALB	S.Real	260.88	PS_SDM30_.	NO	
620079	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	1	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	175.7	PS_VW10 LC_.	NO	
620082	14/05/2015	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	175.99	PS_VW10 LC_.	NO	
